,A
2014-01-02,36.74704360961914
2014-01-03,37.21120071411133
2014-01-06,37.02815628051758
2014-01-07,37.55768585205078
2014-01-08,38.17219924926758
2014-01-09,38.18529510498047
2014-01-10,38.525238037109375
2014-01-13,38.525238037109375
2014-01-14,39.14628219604492
2014-01-15,39.447017669677734
2014-01-16,39.551612854003906
2014-01-17,39.68891143798828
2014-01-21,39.78042221069336
2014-01-22,39.832725524902344
2014-01-23,38.878257751464844
2014-01-24,37.8322639465332
2014-01-27,38.11337661743164
2014-01-28,37.982627868652344
2014-01-29,37.688446044921875
2014-01-30,38.90440368652344
2014-01-31,38.01531219482422
2014-02-03,36.707820892333984
2014-02-04,37.79304122924805
2014-02-05,37.544612884521484
2014-02-06,38.10683059692383
2014-02-07,38.8455810546875
2014-02-10,38.57754135131836
2014-02-11,39.048221588134766
2014-02-12,39.1528205871582
2014-02-13,39.27705001831055
2014-02-14,36.119449615478516
2014-02-18,36.05406951904297
2014-02-19,36.57052230834961
2014-02-20,37.45307159423828
2014-02-21,36.8320198059082
2014-02-24,37.10006332397461
2014-02-25,37.191585540771484
2014-02-26,37.32887649536133
2014-02-27,36.8451042175293
2014-02-28,37.217742919921875
2014-03-03,37.073909759521484
2014-03-04,37.7734260559082
2014-03-05,37.78649139404297
2014-03-06,38.42063522338867
2014-03-07,38.191829681396484
2014-03-10,38.01531219482422
2014-03-11,37.17197799682617
2014-03-12,37.302734375
2014-03-13,36.511695861816406
2014-03-14,36.243656158447266
2014-03-17,36.479007720947266
2014-03-18,37.126216888427734
2014-03-19,37.02162170410156
2014-03-20,37.067386627197266
2014-03-21,36.668601989746094
2014-03-24,36.12599182128906
2014-03-25,36.060611724853516
2014-03-26,36.06715393066406
2014-03-27,35.753353118896484
2014-03-28,35.753353118896484
2014-03-31,36.55746078491211
2014-04-01,36.8451042175293
2014-04-02,37.047760009765625
2014-04-03,37.00200271606445
2014-04-04,36.32863998413086
2014-04-07,35.531063079833984
2014-04-08,35.73371887207031
2014-04-09,36.416587829589844
2014-04-10,35.42049026489258
2014-04-11,34.58168411254883
2014-04-14,34.50303649902344
2014-04-15,34.804481506347656
2014-04-16,35.17802810668945
2014-04-17,35.81370162963867
2014-04-21,35.83992004394531
2014-04-22,36.02338790893555
2014-04-23,36.04961013793945
2014-04-24,36.22655487060547
2014-04-25,35.64330291748047
2014-04-28,35.21078872680664
2014-04-29,34.92898941040039
2014-04-30,35.413936614990234
2014-05-01,35.69572448730469
2014-05-02,35.74161148071289
2014-05-05,36.259307861328125
2014-05-06,36.04961013793945
2014-05-07,36.062713623046875
2014-05-08,36.239646911621094
2014-05-09,36.29863739013672
2014-05-12,36.96706771850586
2014-05-13,37.24230194091797
2014-05-14,36.600074768066406
2014-05-15,35.7088508605957
2014-05-16,36.062713623046875
2014-05-19,36.02338790893555
2014-05-20,35.59087371826172
2014-05-21,36.036502838134766
2014-05-22,36.396934509277344
2014-05-23,36.81635284423828
2014-05-27,36.881866455078125
2014-05-28,37.425804138183594
2014-05-29,37.32749938964844
2014-05-30,37.314388275146484
2014-06-02,37.2816276550293
2014-06-03,37.497886657714844
2014-06-04,37.648597717285156
2014-06-05,38.40223693847656
2014-06-06,38.67092514038086
2014-06-09,38.847869873046875
2014-06-10,38.592281341552734
2014-06-11,38.60539245605469
2014-06-12,38.27117919921875
2014-06-13,38.33670425415039
2014-06-16,38.218746185302734
2014-06-17,38.57917022705078
2014-06-18,38.841312408447266
2014-06-19,38.415340423583984
2014-06-20,38.513648986816406
2014-06-23,38.08113098144531
2014-06-24,37.7796745300293
2014-06-25,37.989383697509766
2014-06-26,37.89108657836914
2014-06-27,37.767601013183594
2014-06-30,37.72819519042969
2014-07-01,38.260223388671875
2014-07-02,38.12885665893555
2014-07-03,38.398155212402344
2014-07-07,38.174835205078125
2014-07-08,37.537723541259766
2014-07-09,37.37348937988281
2014-07-10,37.10421371459961
2014-07-11,37.176456451416016
2014-07-14,37.32095718383789
2014-07-15,37.21585464477539
2014-07-16,37.41291046142578
2014-07-17,36.22405242919922
2014-07-18,36.880882263183594
2014-07-21,37.248695373535156
2014-07-22,37.91210174560547
2014-07-23,37.74789047241211
2014-07-24,37.3341064453125
2014-07-25,37.130470275878906
2014-07-28,36.97283935546875
2014-07-29,36.80207061767578
2014-07-30,37.294681549072266
2014-07-31,36.84147644042969
2014-08-01,36.828338623046875
2014-08-04,36.953128814697266
2014-08-05,36.28316879272461
2014-08-06,36.513057708740234
2014-08-07,36.15837097167969
2014-08-08,36.28316879272461
2014-08-11,36.256900787353516
2014-08-12,35.69202423095703
2014-08-13,35.98101806640625
2014-08-14,36.53275680541992
2014-08-15,37.820152282714844
2014-08-18,38.43756103515625
2014-08-19,38.46384048461914
2014-08-20,38.31276321411133
2014-08-21,38.08943176269531
2014-08-22,37.85955047607422
2014-08-25,37.92523956298828
2014-08-26,37.997474670410156
2014-08-27,37.68878173828125
2014-08-28,37.537723541259766
2014-08-29,37.544288635253906
2014-09-02,38.14198684692383
2014-09-03,38.13542938232422
2014-09-04,37.892391204833984
2014-09-05,38.043460845947266
2014-09-08,37.86612319946289
2014-09-09,37.734745025634766
2014-09-10,37.892391204833984
2014-09-11,37.82670974731445
2014-09-12,38.490108489990234
2014-09-15,38.043460845947266
2014-09-16,38.03688430786133
2014-09-17,38.68058776855469
2014-09-18,38.35874938964844
2014-09-19,38.260223388671875
2014-09-22,37.800437927246094
2014-09-23,37.42604064941406
2014-09-24,38.069740295410156
2014-09-25,37.36693572998047
2014-09-26,37.19707489013672
2014-09-29,37.625022888183594
2014-09-30,37.513084411621094
2014-10-01,36.999568939208984
2014-10-02,36.755977630615234
2014-10-03,37.46700668334961
2014-10-06,37.24317169189453
2014-10-07,36.209537506103516
2014-10-08,37.170745849609375
2014-10-09,36.22929382324219
2014-10-10,35.31417465209961
2014-10-13,34.754581451416016
2014-10-14,34.09621810913086
2014-10-15,34.09621810913086
2014-10-16,34.04356002807617
2014-10-17,34.41223907470703
2014-10-20,34.464908599853516
2014-10-21,35.551185607910156
2014-10-22,34.92576217651367
2014-10-23,35.360267639160156
2014-10-24,35.584102630615234
2014-10-27,35.54460525512695
2014-10-28,35.98569869995117
2014-10-29,35.88037109375
2014-10-30,35.76186752319336
2014-10-31,36.39389419555664
2014-11-03,37.58836364746094
2014-11-04,36.98090744018555
2014-11-05,36.93488311767578
2014-11-06,38.07615280151367
2014-11-07,37.67118453979492
2014-11-10,38.223419189453125
2014-11-11,38.343055725097656
2014-11-12,38.14978790283203
2014-11-13,38.14978790283203
2014-11-14,38.26022720336914
2014-11-17,37.95650863647461
2014-11-18,37.5515251159668
2014-11-19,37.5515251159668
2014-11-20,37.97492218017578
2014-11-21,38.88608932495117
2014-11-24,38.88608932495117
2014-11-25,39.30945587158203
2014-11-26,39.33707046508789
2014-11-28,39.33707046508789
2014-12-01,38.27864074707031
2014-12-02,38.63759231567383
2014-12-03,38.86769485473633
2014-12-04,38.90449905395508
2014-12-05,38.932106018066406
2014-12-08,38.205013275146484
2014-12-09,38.103763580322266
2014-12-10,37.128173828125
2014-12-11,37.3858642578125
2014-12-12,36.557533264160156
2014-12-15,35.6003303527832
2014-12-16,35.40704345703125
2014-12-17,36.594337463378906
2014-12-18,37.459503173828125
2014-12-19,38.08536148071289
2014-12-22,38.5455436706543
2014-12-23,38.07615280151367
2014-12-24,37.85526657104492
2014-12-26,38.08536148071289
2014-12-29,38.03933334350586
2014-12-30,38.07615280151367
2014-12-31,37.68039321899414
2015-01-02,37.42205047607422
2015-01-05,36.72084045410156
2015-01-06,36.1488151550293
2015-01-07,36.628578186035156
2015-01-08,37.72651290893555
2015-01-09,37.44973373413086
2015-01-12,37.00687026977539
2015-01-13,36.49018859863281
2015-01-14,36.0380973815918
2015-01-15,35.069332122802734
2015-01-16,35.29075622558594
2015-01-20,34.995521545410156
2015-01-21,35.20772933959961
2015-01-22,36.582454681396484
2015-01-23,35.80745315551758
2015-01-26,36.12113952636719
2015-01-27,35.7520866394043
2015-01-28,35.06010055541992
2015-01-29,35.48452377319336
2015-01-30,34.84790802001953
2015-02-02,35.696739196777344
2015-02-03,36.55476760864258
2015-02-04,36.084228515625
2015-02-05,36.471736907958984
2015-02-06,36.29644012451172
2015-02-09,36.01963806152344
2015-02-10,36.600894927978516
2015-02-11,36.287208557128906
2015-02-12,36.92382049560547
2015-02-13,37.043785095214844
2015-02-17,37.385154724121094
2015-02-18,38.326236724853516
2015-02-19,37.96640396118164
2015-02-20,38.704505920410156
2015-02-23,38.50153732299805
2015-02-24,38.805999755859375
2015-02-25,38.9351692199707
2015-02-26,39.082794189453125
2015-02-27,38.94439697265625
2015-03-02,39.39647674560547
2015-03-03,38.990535736083984
2015-03-04,38.75065231323242
2015-03-05,38.95361328125
2015-03-06,38.3170051574707
2015-03-09,38.510765075683594
2015-03-10,37.486629486083984
2015-03-11,37.689613342285156
2015-03-12,37.92027282714844
2015-03-13,37.708065032958984
2015-03-16,38.57535934448242
2015-03-17,38.363136291503906
2015-03-18,38.861358642578125
2015-03-19,38.94439697265625
2015-03-20,38.94439697265625
2015-03-23,38.9351692199707
2015-03-24,37.91106414794922
2015-03-25,37.65271759033203
2015-03-26,37.55122375488281
2015-03-27,38.02292251586914
2015-03-30,38.58710479736328
2015-03-31,38.42987823486328
