,AVB
2014-01-02,83.05451202392578
2014-01-03,84.12218475341797
2014-01-06,85.37250518798828
2014-01-07,85.00726318359375
2014-01-08,85.21797180175781
2014-01-09,84.91592407226562
2014-01-10,85.55511474609375
2014-01-13,84.87380981445312
2014-01-14,85.50596618652344
2014-01-15,86.14517211914062
2014-01-16,86.2927017211914
2014-01-17,85.611328125
2014-01-21,85.79396057128906
2014-01-22,85.63241577148438
2014-01-23,84.74734497070312
2014-01-24,83.95361328125
2014-01-27,83.15283966064453
2014-01-28,82.55579376220703
2014-01-29,82.6190185546875
2014-01-30,85.80801391601562
2014-01-31,86.7492446899414
2014-02-03,86.60173797607422
2014-02-04,87.77478790283203
2014-02-05,88.51934814453125
2014-02-06,89.20071411132812
2014-02-07,89.77670288085938
2014-02-10,90.8443832397461
2014-02-11,91.06915283203125
2014-02-12,90.51426696777344
2014-02-13,90.14900207519531
2014-02-14,90.60556030273438
2014-02-18,90.96377563476562
2014-02-19,90.1560287475586
2014-02-20,90.53532409667969
2014-02-21,90.3737564086914
2014-02-24,90.76712036132812
2014-02-25,90.7741470336914
2014-02-26,90.2121810913086
2014-02-27,89.41847229003906
2014-02-28,90.59152221679688
2014-03-03,90.61959838867188
2014-03-04,91.63813781738281
2014-03-05,90.50019836425781
2014-03-06,89.7977523803711
2014-03-07,90.06468963623047
2014-03-10,89.59405517578125
2014-03-11,90.35269165039062
2014-03-12,90.71795654296875
2014-03-13,90.7109146118164
2014-03-14,91.13938903808594
2014-03-17,91.38525390625
2014-03-18,91.37120056152344
2014-03-19,90.64069366455078
2014-03-20,90.40890502929688
2014-03-21,91.2026138305664
2014-03-24,91.05513000488281
2014-03-25,92.4178237915039
2014-03-26,91.35014343261719
2014-03-27,91.8108139038086
2014-03-28,92.22897338867188
2014-03-31,93.0723876953125
2014-04-01,93.03695678710938
2014-04-02,93.4125747680664
2014-04-03,93.61102294921875
2014-04-04,94.56781768798828
2014-04-07,94.65287780761719
2014-04-08,94.8442611694336
2014-04-09,94.4969253540039
2014-04-10,94.13549041748047
2014-04-11,93.73152160644531
2014-04-14,94.44025421142578
2014-04-15,95.36164093017578
2014-04-16,95.82231140136719
2014-04-17,94.7166748046875
2014-04-21,95.1490249633789
2014-04-22,95.3758316040039
2014-04-23,94.51113891601562
2014-04-24,94.92929077148438
2014-04-25,95.9144515991211
2014-04-28,96.98463439941406
2014-04-29,96.77201080322266
2014-04-30,96.77912139892578
2014-05-01,96.65151977539062
2014-05-02,97.14767456054688
2014-05-05,97.97689819335938
2014-05-06,97.46662139892578
2014-05-07,98.59351348876953
2014-05-08,98.97624206542969
2014-05-09,98.74942779541016
2014-05-12,99.5361328125
2014-05-13,98.61474609375
2014-05-14,98.57225036621094
2014-05-15,99.38729095458984
2014-05-16,99.67078399658203
2014-05-19,99.83381652832031
2014-05-20,99.47232818603516
2014-05-21,99.10380554199219
2014-05-22,98.77070617675781
2014-05-23,99.26679992675781
2014-05-27,99.6637191772461
2014-05-28,99.41565704345703
2014-05-29,99.47943878173828
2014-05-30,100.52836608886719
2014-06-02,100.53547668457031
2014-06-03,100.90399169921875
2014-06-04,101.0953598022461
2014-06-05,102.34984588623047
2014-06-06,101.03868865966797
2014-06-09,99.16756439208984
2014-06-10,98.5793228149414
2014-06-11,98.48009490966797
2014-06-12,98.72103881835938
2014-06-13,99.23846435546875
2014-06-16,98.6218490600586
2014-06-17,99.4014663696289
2014-06-18,99.755859375
2014-06-19,100.21652221679688
2014-06-20,100.14566040039062
2014-06-23,100.4433364868164
2014-06-24,100.97486877441406
2014-06-25,101.23710632324219
2014-06-26,101.01557159423828
2014-06-27,101.71586608886719
2014-06-30,101.60154724121094
2014-07-01,101.7515869140625
2014-07-02,101.8587875366211
2014-07-03,101.4872055053711
2014-07-07,101.95165252685547
2014-07-08,102.50900268554688
2014-07-09,102.54470825195312
2014-07-10,102.75196075439453
2014-07-11,102.7948226928711
2014-07-14,103.80238342285156
2014-07-15,104.35965728759766
2014-07-16,104.80986022949219
2014-07-17,104.40970611572266
2014-07-18,105.26717376708984
2014-07-21,104.51687622070312
2014-07-22,104.5883560180664
2014-07-23,103.70943450927734
2014-07-24,106.57482147216797
2014-07-25,105.73875427246094
2014-07-28,107.32505798339844
2014-07-29,106.92491912841797
2014-07-30,107.88239288330078
2014-07-31,105.81019592285156
2014-08-01,106.23892211914062
2014-08-04,107.40365600585938
2014-08-05,106.34614562988281
2014-08-06,106.7391586303711
2014-08-07,106.51763153076172
2014-08-08,107.03925323486328
2014-08-11,107.56800079345703
2014-08-12,107.49657440185547
2014-08-13,108.93279266357422
2014-08-14,108.2468032836914
2014-08-15,107.86812591552734
2014-08-18,109.52587127685547
2014-08-19,110.07604217529297
2014-08-20,110.76917266845703
2014-08-21,111.0621566772461
2014-08-22,109.77597045898438
2014-08-25,109.47583770751953
2014-08-26,109.43296813964844
2014-08-27,109.46870422363281
2014-08-28,109.07569885253906
2014-08-29,110.1118392944336
2014-09-02,110.14750671386719
2014-09-03,110.26181030273438
2014-09-04,110.3904800415039
2014-09-05,111.369384765625
2014-09-08,111.9267349243164
2014-09-09,111.34795379638672
2014-09-10,106.45331573486328
2014-09-11,106.81059265136719
2014-09-12,103.58799743652344
2014-09-15,102.96632385253906
2014-09-16,103.90239715576172
2014-09-17,103.8595199584961
2014-09-18,103.07350158691406
2014-09-19,103.60942077636719
2014-09-22,103.60942077636719
2014-09-23,103.1592788696289
2014-09-24,101.50151824951172
2014-09-25,100.70833587646484
2014-09-26,101.60896301269531
2014-09-29,101.53690338134766
2014-09-30,101.56570434570312
2014-10-01,102.01242065429688
2014-10-02,102.25016021728516
2014-10-03,102.80494689941406
2014-10-06,102.96345520019531
2014-10-07,102.47352600097656
2014-10-08,104.73583984375
2014-10-09,105.1248779296875
2014-10-10,105.3698501586914
2014-10-13,106.09752655029297
2014-10-14,108.11486053466797
2014-10-15,107.86267852783203
2014-10-16,107.01251983642578
2014-10-17,107.61772918701172
2014-10-20,108.32378387451172
2014-10-21,108.56153106689453
2014-10-22,109.0009994506836
2014-10-23,109.21719360351562
2014-10-24,108.95785522460938
2014-10-27,109.84400177001953
2014-10-28,109.19559478759766
2014-10-29,109.80073547363281
2014-10-30,110.63650512695312
2014-10-31,112.27924346923828
2014-11-03,113.92910766601562
2014-11-04,114.99539947509766
2014-11-05,113.9146957397461
