,BA
2014-01-02,116.80793762207031
2014-01-03,117.6198959350586
2014-01-06,118.29509735107422
2014-01-07,120.08987426757812
2014-01-08,120.35482025146484
2014-01-09,121.47445678710938
2014-01-10,121.27783966064453
2014-01-13,120.25226593017578
2014-01-14,119.66255187988281
2014-01-15,120.18388366699219
2014-01-16,119.83348846435547
2014-01-17,120.04715728759766
2014-01-21,121.08130645751953
2014-01-22,123.388916015625
2014-01-23,120.77362060546875
2014-01-24,116.7908706665039
2014-01-27,117.39766693115234
2014-01-28,117.1668930053711
2014-01-29,110.91925048828125
2014-01-30,108.14156341552734
2014-01-31,107.05613708496094
2014-02-03,105.19296264648438
2014-02-04,104.30411529541016
2014-02-05,103.7571029663086
2014-02-06,104.84251403808594
2014-02-07,108.56035614013672
2014-02-10,108.68001556396484
2014-02-11,111.24403381347656
2014-02-12,110.12671661376953
2014-02-13,111.30421447753906
2014-02-14,111.87145233154297
2014-02-18,112.27543640136719
2014-02-19,110.35016632080078
2014-02-20,111.35577392578125
2014-02-21,110.255615234375
2014-02-24,111.38153839111328
2014-02-25,108.96637725830078
2014-02-26,108.82027435302734
2014-02-27,110.49626159667969
2014-02-28,110.8056869506836
2014-03-03,110.20403289794922
2014-03-04,111.93161010742188
2014-03-05,110.69393920898438
2014-03-06,110.75413513183594
2014-03-07,110.47908782958984
2014-03-10,109.06092834472656
2014-03-11,108.0123519897461
2014-03-12,106.94658660888672
2014-03-13,104.76345825195312
2014-03-14,105.81205749511719
2014-03-17,107.7974624633789
2014-03-18,106.61138916015625
2014-03-19,105.06429290771484
2014-03-20,106.34495544433594
2014-03-21,105.35652160644531
2014-03-24,106.0784912109375
2014-03-25,106.59419250488281
2014-03-26,106.17303466796875
2014-03-27,105.89799499511719
2014-03-28,106.97235107421875
2014-03-31,107.85765075683594
2014-04-01,110.19546508789062
2014-04-02,110.28141021728516
2014-04-03,110.68537139892578
2014-04-04,109.48206329345703
2014-04-07,107.94358825683594
2014-04-08,106.70591735839844
2014-04-09,109.05231475830078
2014-04-10,106.2676010131836
2014-04-11,104.91818237304688
2014-04-14,105.932373046875
2014-04-15,106.80906677246094
2014-04-16,108.33036804199219
2014-04-17,109.94619750976562
2014-04-21,109.86023712158203
2014-04-22,109.6281967163086
2014-04-23,112.27543640136719
2014-04-24,111.6136245727539
2014-04-25,110.58222198486328
2014-04-28,109.18984985351562
2014-04-29,110.33296203613281
2014-04-30,110.89165496826172
2014-05-01,110.41034698486328
2014-05-02,111.68238830566406
2014-05-05,113.41854858398438
2014-05-06,112.44733428955078
2014-05-07,112.66340637207031
2014-05-08,112.85355377197266
2014-05-09,113.31166076660156
2014-05-12,114.60811614990234
2014-05-13,115.34278106689453
2014-05-14,114.94520568847656
2014-05-15,113.40672302246094
2014-05-16,113.06096649169922
2014-05-19,113.52772521972656
2014-05-20,111.99787139892578
2014-05-21,113.19064331054688
2014-05-22,113.95121765136719
2014-05-23,114.44389343261719
2014-05-27,115.96510314941406
2014-05-28,116.10338592529297
2014-05-29,116.80347442626953
2014-05-30,116.89856719970703
2014-06-02,117.46036529541016
2014-06-03,117.44306182861328
2014-06-04,116.96772003173828
2014-06-05,118.2555160522461
2014-06-06,119.49148559570312
2014-06-09,119.24085235595703
2014-06-10,118.62718200683594
2014-06-11,115.90458679199219
2014-06-12,114.25377655029297
2014-06-13,114.34015655517578
2014-06-16,114.55622863769531
2014-06-17,114.47846221923828
2014-06-18,114.5044174194336
2014-06-19,114.79827880859375
2014-06-20,114.17596435546875
2014-06-23,113.09557342529297
2014-06-24,111.62622833251953
2014-06-25,109.81980895996094
2014-06-26,110.64956665039062
2014-06-27,111.09899139404297
2014-06-30,109.96674346923828
2014-07-01,110.76190948486328
2014-07-02,110.30381774902344
2014-07-03,111.07305908203125
2014-07-07,111.57437133789062
2014-07-08,109.58645629882812
2014-07-09,109.58645629882812
2014-07-10,109.58645629882812
2014-07-11,110.71002960205078
2014-07-14,111.94603729248047
2014-07-15,111.58301544189453
2014-07-16,110.1309585571289
2014-07-17,108.79991912841797
2014-07-18,110.32109069824219
2014-07-21,110.89155578613281
2014-07-22,112.13614654541016
2014-07-23,109.51729583740234
2014-07-24,107.5207290649414
2014-07-25,106.48356628417969
2014-07-28,106.36255645751953
2014-07-29,105.72296905517578
2014-07-30,105.6970443725586
2014-07-31,104.13262939453125
2014-08-01,104.04620361328125
2014-08-04,103.65723419189453
2014-08-05,104.8154296875
2014-08-06,102.90241241455078
2014-08-07,104.20673370361328
2014-08-08,104.89369201660156
2014-08-11,105.04149627685547
2014-08-12,104.75457763671875
2014-08-13,106.06758117675781
2014-08-14,107.91971588134766
2014-08-15,107.09365844726562
2014-08-18,108.67623138427734
2014-08-19,109.1979751586914
2014-08-20,110.73705291748047
2014-08-21,110.86750030517578
2014-08-22,110.83272552490234
2014-08-25,111.5892333984375
2014-08-26,111.82400512695312
2014-08-27,111.4761734008789
2014-08-28,110.52836608886719
2014-08-29,110.25881958007812
2014-09-02,109.11100769042969
2014-09-03,109.510986328125
2014-09-04,109.09363555908203
2014-09-05,108.42406463623047
2014-09-08,111.28486633300781
2014-09-09,111.48487854003906
2014-09-10,111.49353790283203
2014-09-11,110.98921966552734
2014-09-12,110.38921356201172
2014-09-15,109.83273315429688
2014-09-16,110.71097564697266
2014-09-17,111.09358215332031
2014-09-18,111.8066177368164
2014-09-19,112.4761734008789
2014-09-22,111.83271026611328
2014-09-23,110.76313781738281
2014-09-24,111.8066177368164
2014-09-25,110.55445098876953
2014-09-26,111.90225982666016
2014-09-29,111.9718246459961
2014-09-30,110.76313781738281
2014-10-01,108.40667724609375
2014-10-02,107.97188568115234
2014-10-03,109.876220703125
2014-10-06,109.78923797607422
2014-10-07,107.23278045654297
2014-10-08,108.67623138427734
2014-10-09,106.74583435058594
2014-10-10,105.65019989013672
2014-10-13,104.73717498779297
2014-10-14,106.33715057373047
2014-10-15,104.51110076904297
2014-10-16,104.59803771972656
2014-10-17,107.1632080078125
2014-10-20,108.09363555908203
2014-10-21,110.53706359863281
2014-10-22,105.6067123413086
2014-10-23,106.11106872558594
2014-10-24,106.29367065429688
2014-10-27,106.1893081665039
2014-10-28,107.48493194580078
2014-10-29,107.02408599853516
2014-10-30,107.66755676269531
2014-10-31,108.61537170410156
2014-11-03,109.58927154541016
2014-11-04,109.42403411865234
2014-11-05,108.64563751220703
2014-11-06,108.96050262451172
2014-11-07,108.8467788696289
2014-11-10,109.01295471191406
2014-11-11,109.64269256591797
2014-11-12,110.08877563476562
2014-11-13,112.41525268554688
2014-11-14,112.7038803100586
2014-11-17,112.31903839111328
2014-11-18,114.27819061279297
2014-11-19,115.10908508300781
2014-11-20,115.18781280517578
2014-11-21,116.13241577148438
2014-11-24,117.73295593261719
2014-11-25,117.90789031982422
2014-11-26,117.88163757324219
2014-11-28,117.51428985595703
2014-12-01,115.79130554199219
2014-12-02,115.69507598876953
2014-12-03,115.42393493652344
2014-12-04,114.85545349121094
2014-12-05,115.63388061523438
2014-12-08,113.94586181640625
2014-12-09,113.40354919433594
2014-12-10,109.01295471191406
2014-12-11,107.90218353271484
2014-12-12,105.62818908691406
2014-12-15,106.77393341064453
2014-12-16,108.67186737060547
2014-12-17,109.38031768798828
2014-12-18,109.9138412475586
2014-12-19,110.40363311767578
2014-12-22,112.14409637451172
2014-12-23,113.7271728515625
2014-12-24,114.78549194335938
2014-12-26,115.12657928466797
2014-12-29,115.70381927490234
2014-12-30,115.30150604248047
2014-12-31,113.6834487915039
2015-01-02,113.65721130371094
2015-01-05,112.87006378173828
2015-01-06,111.5406265258789
2015-01-07,113.27238464355469
2015-01-08,115.2752685546875
2015-01-09,115.04786682128906
2015-01-12,114.46186828613281
2015-01-13,114.72425842285156
2015-01-14,114.03330993652344
2015-01-15,113.82340240478516
2015-01-16,114.38317108154297
2015-01-20,114.76799011230469
2015-01-21,115.80879211425781
2015-01-22,118.63381958007812
2015-01-23,117.74170684814453
2015-01-26,117.26068878173828
2015-01-27,115.87002563476562
2015-01-28,122.13230895996094
2015-01-29,129.25172424316406
2015-01-30,127.14390563964844
2015-02-02,127.9222412109375
2015-02-03,128.8668975830078
2015-02-04,128.761962890625
2015-02-05,129.9689483642578
2015-02-06,129.4441375732422
2015-02-09,129.07681274414062
2015-02-10,129.4791259765625
2015-02-11,130.17434692382812
2015-02-12,130.323974609375
2015-02-13,131.76722717285156
2015-02-17,131.93443298339844
2015-02-18,133.0344696044922
2015-02-19,135.30494689941406
2015-02-20,139.31787109375
2015-02-23,136.1761932373047
2015-02-24,135.85935974121094
2015-02-25,134.65371704101562
2015-02-26,133.5272979736328
2015-02-27,132.7528839111328
2015-03-02,135.34893798828125
2015-03-03,136.90663146972656
2015-03-04,135.8329620361328
2015-03-05,135.93856811523438
2015-03-06,134.75054931640625
2015-03-09,136.18499755859375
2015-03-10,134.13450622558594
2015-03-11,133.0344696044922
2015-03-12,133.8000946044922
2015-03-13,133.38648986816406
