,BK
2014-01-02,26.390607833862305
2014-01-03,26.6960506439209
2014-01-06,26.68840789794922
2014-01-07,26.375329971313477
2014-01-08,26.466955184936523
2014-01-09,26.497507095336914
2014-01-10,26.138608932495117
2014-01-13,25.58116340637207
2014-01-14,25.825529098510742
2014-01-15,26.08515167236328
2014-01-16,25.901884078979492
2014-01-17,24.97026824951172
2014-01-21,25.268075942993164
2014-01-22,25.5124454498291
2014-01-23,25.29098892211914
2014-01-24,24.695371627807617
2014-01-27,24.466283798217773
2014-01-28,24.603740692138672
2014-01-29,24.342893600463867
2014-01-30,24.864574432373047
2014-01-31,24.519338607788086
2014-02-03,23.713796615600586
2014-02-04,23.928611755371094
2014-02-05,23.729145050048828
2014-02-06,24.1434268951416
2014-02-07,24.388919830322266
2014-02-10,24.174114227294922
2014-02-11,24.527009963989258
2014-02-12,24.53468894958496
2014-02-13,24.53468894958496
2014-02-14,24.388919830322266
2014-02-18,24.365903854370117
2014-02-19,23.88257598876953
2014-02-20,23.920934677124023
2014-02-21,24.05135726928711
2014-02-24,24.396591186523438
2014-02-25,24.128082275390625
2014-02-26,24.089719772338867
2014-02-27,24.450300216674805
2014-02-28,24.550024032592773
2014-03-03,24.450300216674805
2014-03-04,24.85690689086914
2014-03-05,24.88759422302246
2014-03-06,25.133089065551758
2014-03-07,25.7084903717041
2014-03-10,25.578067779541016
2014-03-11,25.486003875732422
2014-03-12,25.54737091064453
2014-03-13,25.447641372680664
2014-03-14,25.416954040527344
2014-03-17,25.60108184814453
2014-03-18,25.693140029907227
2014-03-19,26.230167388916016
2014-03-20,27.020381927490234
2014-03-21,27.04339599609375
2014-03-24,27.296560287475586
2014-03-25,27.158470153808594
2014-03-26,26.966670989990234
2014-03-27,26.851598739624023
2014-03-28,26.92832374572754
2014-03-31,27.074081420898438
2014-04-01,27.1661434173584
2014-04-02,27.05873680114746
2014-04-03,27.15080451965332
2014-04-04,26.544715881347656
2014-04-07,25.94631576538086
2014-04-08,25.99234962463379
2014-04-09,26.061397552490234
2014-04-10,25.570392608642578
2014-04-11,25.409278869628906
2014-04-14,25.493671417236328
2014-04-15,25.509008407592773
2014-04-16,25.63944435119629
2014-04-17,25.90027618408203
2014-04-21,25.861928939819336
2014-04-22,25.89261245727539
2014-04-23,26.378385543823242
2014-04-24,25.923450469970703
2014-04-25,25.90802574157715
2014-04-28,25.722972869873047
2014-04-29,26.07767105102539
2014-04-30,26.1162166595459
2014-05-01,26.17790412902832
2014-05-02,26.54802894592285
2014-05-05,26.447776794433594
2014-05-06,25.90802574157715
2014-05-07,26.447776794433594
2014-05-08,26.578859329223633
2014-05-09,26.293561935424805
2014-05-12,26.81789779663086
2014-05-13,26.87958335876465
2014-05-14,26.355255126953125
2014-05-15,25.946590423583984
2014-05-16,26.239595413208008
2014-05-19,26.293561935424805
2014-05-20,26.278152465820312
2014-05-21,26.47091293334961
2014-05-22,26.655969619750977
2014-05-23,26.671398162841797
2014-05-27,26.7176570892334
2014-05-28,26.501758575439453
2014-05-29,26.66368293762207
2014-05-30,26.648263931274414
2014-06-02,26.7176570892334
2014-06-03,26.66368293762207
2014-06-04,26.69452476501465
2014-06-05,26.948976516723633
2014-06-06,27.134037017822266
2014-06-09,27.32680892944336
2014-06-10,27.357643127441406
2014-06-11,27.280527114868164
2014-06-12,27.2265625
2014-06-13,27.26512336730957
2014-06-16,26.87958335876465
2014-06-17,27.45789337158203
2014-06-18,27.689210891723633
2014-06-19,27.49643898010254
2014-06-20,27.76631736755371
2014-06-23,27.84343147277832
2014-06-24,27.735471725463867
2014-06-25,27.943668365478516
2014-06-26,27.650659561157227
2014-06-27,27.935951232910156
2014-06-30,28.8997859954834
2014-07-01,29.223642349243164
2014-07-02,29.000036239624023
2014-07-03,29.246774673461914
2014-07-07,29.084854125976562
2014-07-08,28.992321014404297
2014-07-09,29.015460968017578
2014-07-10,29.084854125976562
2014-07-11,29.000036239624023
2014-07-14,29.023168563842773
2014-07-15,29.485803604125977
2014-07-16,29.385568618774414
2014-07-17,29.300745010375977
2014-07-18,29.63231086730957
2014-07-21,29.640018463134766
2014-07-22,30.118093490600586
2014-07-23,30.172056198120117
2014-07-24,30.665546417236328
2014-07-25,30.53390884399414
2014-07-28,30.572622299194336
2014-07-29,30.371280670166016
2014-07-30,30.83591079711914
2014-07-31,30.231903076171875
2014-08-01,29.9918270111084
2014-08-04,30.35580062866211
2014-08-05,30.16219711303711
2014-08-06,30.456464767456055
2014-08-07,29.75177574157715
2014-08-08,29.81372833251953
2014-08-11,29.76726531982422
2014-08-12,29.75177574157715
2014-08-13,29.77501106262207
2014-08-14,29.651103973388672
2014-08-15,29.61238670349121
2014-08-18,29.867929458618164
2014-08-19,29.88341522216797
2014-08-20,30.030559539794922
2014-08-21,30.30933952331543
2014-08-22,30.293840408325195
2014-08-25,30.56488609313965
2014-08-26,30.456464767456055
2014-08-27,30.332569122314453
2014-08-28,30.20092010498047
2014-08-29,30.34030532836914
2014-09-02,30.704273223876953
2014-09-03,30.603601455688477
2014-09-04,30.56488609313965
2014-09-05,30.56488609313965
2014-09-08,30.541654586791992
2014-09-09,30.038291931152344
2014-09-10,30.301576614379883
2014-09-11,30.487438201904297
2014-09-12,30.89786148071289
2014-09-15,30.913349151611328
2014-09-16,31.106948852539062
2014-09-17,31.176631927490234
2014-09-18,31.168895721435547
2014-09-19,30.72750473022461
2014-09-22,30.464210510253906
2014-09-23,30.16994857788086
2014-09-24,30.371280670166016
2014-09-25,29.929895401000977
2014-09-26,30.154455184936523
2014-09-29,29.89890480041504
2014-09-30,29.9918270111084
2014-10-01,29.596899032592773
2014-10-02,29.58915138244629
2014-10-03,29.96860694885254
2014-10-06,30.030559539794922
2014-10-07,29.3336124420166
2014-10-08,29.860198974609375
2014-10-09,28.892210006713867
2014-10-10,28.566978454589844
2014-10-13,28.1488037109375
2014-10-14,28.303682327270508
2014-10-15,27.839054107666016
2014-10-16,28.00167465209961
2014-10-17,28.15654754638672
2014-10-20,28.15654754638672
2014-10-21,28.497276306152344
2014-10-22,28.172039031982422
2014-10-23,28.249486923217773
2014-10-24,28.87966537475586
2014-10-27,29.097505569458008
2014-10-28,28.87966537475586
2014-10-29,29.330904006958008
2014-10-30,29.540966033935547
2014-10-31,30.124469757080078
2014-11-03,29.929975509643555
2014-11-04,30.10891342163086
2014-11-05,30.085567474365234
2014-11-06,30.163372039794922
2014-11-07,30.272296905517578
