,BR
2014-01-02,32.15266418457031
2014-01-03,32.31633758544922
2014-01-06,32.40634536743164
2014-01-07,32.11175537109375
2014-01-08,31.457067489624023
2014-01-09,31.416154861450195
2014-01-10,31.448904037475586
2014-01-13,31.293424606323242
2014-01-14,31.489810943603516
2014-01-15,31.563457489013672
2014-01-16,31.489810943603516
2014-01-17,31.448904037475586
2014-01-21,31.326143264770508
2014-01-22,31.538896560668945
2014-01-23,31.105194091796875
2014-01-24,30.04134178161621
2014-01-27,29.673097610473633
2014-01-28,29.861305236816406
2014-01-29,29.542158126831055
2014-01-30,30.12319564819336
2014-01-31,29.69764518737793
2014-02-03,28.87111473083496
2014-02-04,29.2393798828125
2014-02-05,29.083890914916992
2014-02-06,29.558521270751953
2014-02-07,30.43414306640625
2014-02-10,30.25411605834961
2014-02-11,30.40960121154785
2014-02-12,30.499616622924805
2014-02-13,30.368682861328125
2014-02-14,30.50779914855957
2014-02-18,30.810590744018555
2014-02-19,30.483253479003906
2014-02-20,30.368682861328125
2014-02-21,30.29503059387207
2014-02-24,30.286848068237305
2014-02-25,30.327768325805664
2014-02-26,30.655092239379883
2014-02-27,30.72056770324707
2014-02-28,30.900602340698242
2014-03-03,31.00697898864746
2014-03-04,31.776233673095703
2014-03-05,31.743494033813477
2014-03-06,31.514373779296875
2014-03-07,31.727136611938477
2014-03-10,31.555288314819336
2014-03-11,31.326143264770508
2014-03-12,31.268545150756836
2014-03-13,30.667858123779297
2014-03-14,30.63494873046875
2014-03-17,30.840660095214844
2014-03-18,31.021692276000977
2014-03-19,30.56911277770996
2014-03-20,30.700777053833008
2014-03-21,29.894371032714844
2014-03-24,29.869688034057617
2014-03-25,30.05071258544922
2014-03-26,30.06717872619629
2014-03-27,29.886146545410156
2014-03-28,29.886146545410156
2014-03-31,30.560888290405273
2014-04-01,31.186262130737305
2014-04-02,31.24386978149414
2014-04-03,30.988779067993164
2014-04-04,30.083620071411133
2014-04-07,29.828536987304688
2014-04-08,30.231739044189453
2014-04-09,30.708999633789062
2014-04-10,30.10831642150879
2014-04-11,29.301918029785156
2014-04-14,29.441801071166992
2014-04-15,29.45002555847168
2014-04-16,30.026025772094727
2014-04-17,30.29756736755371
2014-04-21,30.330482482910156
2014-04-22,30.610261917114258
2014-04-23,30.610261917114258
2014-04-24,30.947622299194336
2014-04-25,30.585569381713867
2014-04-28,30.922948837280273
2014-04-29,30.89825439453125
2014-04-30,31.548324584960938
2014-05-01,31.457801818847656
2014-05-02,31.581235885620117
2014-05-05,31.762264251708984
2014-05-06,31.62238121032715
2014-05-07,31.770490646362305
2014-05-08,31.523637771606445
2014-05-09,31.67996597290039
2014-05-12,32.04202651977539
2014-05-13,32.73321533203125
2014-05-14,32.2559700012207
2014-05-15,31.6717529296875
2014-05-16,31.926830291748047
2014-05-19,32.53574752807617
2014-05-20,31.943283081054688
2014-05-21,32.53574752807617
2014-05-22,32.78260040283203
2014-05-23,33.30099105834961
2014-05-27,33.621910095214844
2014-05-28,33.58899688720703
2014-05-29,33.94282150268555
2014-05-30,33.753570556640625
2014-06-02,34.18967056274414
2014-06-03,33.926361083984375
2014-06-04,34.66695022583008
2014-06-05,34.15675735473633
2014-06-06,34.222599029541016
2014-06-09,33.94282150268555
2014-06-10,33.91814422607422
2014-06-11,33.9099235534668
2014-06-12,33.70314025878906
2014-06-13,33.71141052246094
2014-06-16,33.53773498535156
2014-06-17,33.843746185302734
2014-06-18,33.86855697631836
2014-06-19,33.80238723754883
2014-06-20,33.794124603271484
2014-06-23,33.835472106933594
2014-06-24,33.62869644165039
2014-06-25,33.736236572265625
2014-06-26,33.61216735839844
2014-06-27,33.719703674316406
2014-06-30,34.439239501953125
2014-07-01,34.480587005615234
2014-07-02,33.98434066772461
2014-07-03,34.373069763183594
2014-07-07,34.000892639160156
2014-07-08,33.7775764465332
2014-07-09,33.80238723754883
2014-07-10,33.71141052246094
2014-07-11,33.85201644897461
2014-07-14,34.0422477722168
2014-07-15,34.0753288269043
2014-07-16,33.769309997558594
2014-07-17,33.289608001708984
2014-07-18,33.769309997558594
2014-07-21,33.60390090942383
2014-07-22,33.86855697631836
2014-07-23,34.000892639160156
2014-07-24,34.0091552734375
2014-07-25,34.2490119934082
2014-07-28,34.2820930480957
2014-07-29,34.12495422363281
2014-07-30,34.14976119995117
2014-07-31,33.38884735107422
2014-08-01,33.51291275024414
2014-08-04,33.86028289794922
2014-08-05,33.670066833496094
2014-08-06,33.61216735839844
2014-08-07,32.98359680175781
2014-08-08,33.38884735107422
2014-08-11,33.636985778808594
2014-08-12,33.43848419189453
2014-08-13,33.49637222290039
2014-08-14,33.70314025878906
2014-08-15,33.76103973388672
2014-08-18,33.909912109375
2014-08-19,34.19938278198242
2014-08-20,34.76179504394531
2014-08-21,34.927215576171875
2014-08-22,34.83622360229492
2014-08-25,34.93547058105469
2014-08-26,34.83622360229492
2014-08-27,34.69562530517578
2014-08-28,35.03472137451172
2014-08-29,35.183597564697266
2014-09-02,35.39863967895508
2014-09-03,35.439979553222656
2014-09-04,35.61368179321289
2014-09-05,35.70465850830078
2014-09-08,35.7212028503418
2014-09-09,35.481346130371094
2014-09-10,35.54750061035156
2014-09-11,35.49756622314453
2014-09-12,35.38105010986328
2014-09-15,35.28948211669922
2014-09-16,35.52254104614258
2014-09-17,35.24787902832031
2014-09-18,35.52254104614258
2014-09-19,35.28117370605469
2014-09-22,35.11471176147461
2014-09-23,34.88999557495117
2014-09-24,34.981544494628906
2014-09-25,34.37397003173828
2014-09-26,34.6735954284668
2014-09-29,34.690250396728516
2014-09-30,34.64863204956055
2014-10-01,34.26576232910156
2014-10-02,33.89955520629883
2014-10-03,34.415584564208984
2014-10-06,34.22416305541992
2014-10-07,33.658203125
2014-10-08,34.34898376464844
2014-10-09,33.77470779418945
2014-10-10,33.1171989440918
2014-10-13,32.609500885009766
2014-10-14,32.76763153076172
2014-10-15,32.78427505493164
2014-10-16,32.55122756958008
2014-10-17,33.03396224975586
2014-10-20,33.68315124511719
2014-10-21,34.69856643676758
2014-10-22,34.607017517089844
2014-10-23,35.172969818115234
2014-10-24,35.47260284423828
2014-10-27,35.39769744873047
2014-10-28,36.05522155761719
2014-10-29,36.13844299316406
2014-10-30,36.2716178894043
2014-10-31,36.56290817260742
2014-11-03,36.637813568115234
2014-11-04,36.92913055419922
2014-11-05,36.987388610839844
2014-11-06,36.9041633605957
2014-11-07,36.987388610839844
2014-11-10,37.37025451660156
2014-11-11,37.361907958984375
2014-11-12,37.47844696044922
2014-11-13,37.52839279174805
2014-11-14,37.51173400878906
2014-11-17,37.53669738769531
2014-11-18,37.90291976928711
2014-11-19,37.79471206665039
2014-11-20,37.719818115234375
2014-11-21,37.78640365600586
2014-11-24,37.9694938659668
2014-11-25,37.65323257446289
2014-11-26,37.56167221069336
2014-11-28,37.69484329223633
2014-12-01,37.52839279174805
2014-12-02,37.87794876098633
2014-12-03,37.986141204833984
2014-12-04,37.7364616394043
2014-12-05,37.9195556640625
2014-12-08,37.7364616394043
2014-12-09,37.52839279174805
2014-12-10,36.674320220947266
2014-12-11,37.33580017089844
2014-12-12,36.9004020690918
2014-12-15,36.51523208618164
2014-12-16,36.5738410949707
2014-12-17,37.143218994140625
2014-12-18,38.05589294433594
2014-12-19,38.10612106323242
2014-12-22,38.39919662475586
2014-12-23,38.725746154785156
2014-12-24,38.77598190307617
2014-12-26,38.75923156738281
2014-12-29,38.968563079833984
2014-12-30,38.89320373535156
2014-12-31,38.6671257019043
2015-01-02,38.18150329589844
2015-01-05,37.61211395263672
2015-01-06,37.89679718017578
2015-01-07,38.51641082763672
2015-01-08,39.09415817260742
2015-01-09,39.11090850830078
2015-01-12,39.085784912109375
2015-01-13,39.169517517089844
2015-01-14,38.84296417236328
2015-01-15,38.466163635253906
2015-01-16,39.152767181396484
2015-01-20,38.935054779052734
2015-01-21,38.97694396972656
2015-01-22,39.74726104736328
2015-01-23,39.88960647583008
2015-01-26,40.61806106567383
2015-01-27,40.333377838134766
2015-01-28,40.02357482910156
2015-01-29,40.54270935058594
2015-01-30,40.18266677856445
2015-02-02,40.584571838378906
2015-02-03,41.304664611816406
2015-02-04,41.36328887939453
2015-02-05,42.635990142822266
2015-02-06,43.0295295715332
2015-02-09,42.661109924316406
2015-02-10,43.38121032714844
2015-02-11,43.35608673095703
2015-02-12,44.277122497558594
2015-02-13,44.034305572509766
2015-02-17,43.98406219482422
2015-02-18,44.35247802734375
2015-02-19,44.293880462646484
2015-02-20,45.05583572387695
2015-02-23,44.82975387573242
2015-02-24,44.8799934387207
2015-02-25,45.013954162597656
2015-02-26,44.48645782470703
2015-02-27,44.570186614990234
2015-03-02,45.742427825927734
2015-03-03,45.24003601074219
2015-03-04,44.70415496826172
2015-03-05,44.746028900146484
2015-03-06,44.344112396240234
2015-03-09,44.43622589111328
2015-03-10,43.456565856933594
2015-03-11,43.36396408081055
2015-03-12,44.30666732788086
2015-03-13,43.650150299072266
2015-03-16,44.508670806884766
2015-03-17,44.71910858154297
2015-03-18,45.46821212768555
2015-03-19,45.41769790649414
2015-03-20,45.40086364746094
2015-03-23,45.24936294555664
2015-03-24,44.895843505859375
2015-03-25,44.214080810546875
2015-03-26,44.399253845214844
2015-03-27,45.038936614990234
2015-03-30,45.88906478881836
2015-03-31,46.30147933959961
2015-04-01,46.208885192871094
2015-04-02,46.655006408691406
2015-04-06,46.73916244506836
2015-04-07,45.846961975097656
2015-04-08,45.93112564086914
2015-04-09,45.66179275512695
2015-04-10,45.577613830566406
2015-04-13,45.45979690551758
2015-04-14,45.384033203125
2015-04-15,45.358787536621094
2015-04-16,45.26618576049805
2015-04-17,44.26460266113281
2015-04-20,44.73593521118164
2015-04-21,45.10627746582031
2015-04-22,45.07261276245117
2015-04-23,45.341949462890625
2015-04-24,45.9395637512207
2015-04-27,45.25777816772461
2015-04-28,45.619712829589844
2015-04-29,45.77962875366211
2015-04-30,45.384033203125
2015-05-01,45.73754119873047
2015-05-04,45.69546127319336
2015-05-05,45.308284759521484
2015-05-06,45.26618576049805
2015-05-07,45.53554153442383
2015-05-08,42.95154571533203
2015-05-11,43.11988830566406
2015-05-12,43.28821563720703
2015-05-13,43.37238693237305
2015-05-14,43.52389907836914
2015-05-15,44.399253845214844
2015-05-18,45.26618576049805
2015-05-19,45.59446334838867
2015-05-20,45.905887603759766
2015-05-21,45.59446334838867
2015-05-22,45.51871109008789
