,C
2014-01-02,39.978477478027344
2014-01-03,40.84276580810547
2014-01-06,41.156349182128906
2014-01-07,41.43934631347656
2014-01-08,41.921199798583984
2014-01-09,42.21949768066406
2014-01-10,41.852359771728516
2014-01-13,41.0875129699707
2014-01-14,41.26342010498047
2014-01-15,42.05887222290039
2014-01-16,40.23088073730469
2014-01-17,39.978477478027344
2014-01-21,39.65724563598633
2014-01-22,39.69548797607422
2014-01-23,38.79296875
2014-01-24,37.72984313964844
2014-01-27,37.332115173339844
2014-01-28,37.93634796142578
2014-01-29,36.77378845214844
2014-01-30,36.94975280761719
2014-01-31,36.2841796875
2014-02-03,35.45033645629883
2014-02-04,35.78693389892578
2014-02-05,36.00113296508789
2014-02-06,36.91147232055664
2014-02-07,37.74534606933594
2014-02-10,37.73004150390625
2014-02-11,37.99014663696289
2014-02-12,38.21964645385742
2014-02-13,38.143150329589844
2014-02-14,37.8830451965332
2014-02-18,37.77593231201172
2014-02-19,36.86558532714844
2014-02-20,36.81968307495117
2014-02-21,36.919132232666016
2014-02-24,37.46993637084961
2014-02-25,37.026241302490234
2014-02-26,36.96501922607422
2014-02-27,37.248077392578125
2014-02-28,37.202186584472656
2014-03-03,36.421875
2014-03-04,37.35519027709961
2014-03-05,37.806541442871094
2014-03-06,38.02838897705078
2014-03-07,37.959537506103516
2014-03-10,37.92127990722656
2014-03-11,37.0491943359375
2014-03-12,36.704925537109375
2014-03-13,36.207679748535156
2014-03-14,35.863426208496094
2014-03-17,36.513675689697266
2014-03-18,36.827327728271484
2014-03-19,37.43932342529297
2014-03-20,38.41854476928711
2014-03-21,38.31144714355469
2014-03-24,38.288482666015625
2014-03-25,38.479736328125
2014-03-26,38.372642517089844
2014-03-27,36.29948806762695
2014-03-28,36.14646911621094
2014-03-31,36.414241790771484
2014-04-01,36.567222595214844
2014-04-02,36.90384292602539
2014-04-03,36.47543716430664
2014-04-04,36.03937911987305
2014-04-07,35.610984802246094
2014-04-08,35.649227142333984
2014-04-09,36.0776252746582
2014-04-10,35.366172790527344
2014-04-11,34.94541549682617
2014-04-14,36.4677734375
2014-04-15,36.95738983154297
2014-04-16,36.85794448852539
2014-04-17,36.88854217529297
2014-04-21,36.59782028198242
2014-04-22,36.73552703857422
2014-04-23,37.026241302490234
2014-04-24,36.972686767578125
2014-04-25,36.52897644042969
2014-04-28,36.18472671508789
2014-04-29,36.84263229370117
2014-04-30,36.65138626098633
2014-05-01,36.544273376464844
2014-05-02,36.52130126953125
2014-05-05,36.10047149658203
2014-05-06,35.47303009033203
2014-05-07,35.73318099975586
2014-05-08,36.069847106933594
2014-05-09,35.955078125
2014-05-12,36.16931915283203
2014-05-13,36.28410339355469
2014-05-14,36.05455780029297
2014-05-15,35.595455169677734
2014-05-16,35.534244537353516
2014-05-19,35.786766052246094
2014-05-20,35.618412017822266
2014-05-21,35.84794616699219
2014-05-22,36.069847106933594
2014-05-23,36.18463897705078
2014-05-27,36.39888000488281
2014-05-28,36.20758819580078
2014-05-29,36.176971435546875
2014-05-30,36.39888000488281
2014-06-02,36.544273376464844
2014-06-03,36.873291015625
2014-06-04,36.63609313964844
2014-06-05,37.2099494934082
2014-06-06,37.43950271606445
2014-06-09,37.93685531616211
2014-06-10,37.74557113647461
2014-06-11,37.34768295288086
2014-06-12,36.934486389160156
2014-06-13,36.41417694091797
2014-06-16,36.452430725097656
2014-06-17,36.56721115112305
2014-06-18,36.67433166503906
2014-06-19,36.39124298095703
2014-06-20,36.2228889465332
2014-06-23,36.77379608154297
2014-06-24,36.582515716552734
2014-06-25,36.590171813964844
2014-06-26,36.13872146606445
2014-06-27,36.069847106933594
2014-06-30,36.039249420166016
2014-07-01,36.31470489501953
2014-07-02,36.73554611206055
2014-07-03,36.911537170410156
2014-07-07,36.71259307861328
2014-07-08,36.28410339355469
2014-07-09,36.25349044799805
2014-07-10,35.88621139526367
2014-07-11,35.962730407714844
2014-07-14,37.049259185791016
2014-07-15,37.71495056152344
2014-07-16,38.12050247192383
2014-07-17,37.63079071044922
2014-07-18,37.92155838012695
2014-07-21,37.7608642578125
2014-07-22,37.95215606689453
2014-07-23,38.39595413208008
2014-07-24,38.32709884643555
2014-07-25,38.281185150146484
2014-07-28,38.02867126464844
2014-07-29,37.81442642211914
2014-07-30,38.258235931396484
2014-07-31,37.43169021606445
2014-08-01,36.81178665161133
2014-08-04,36.99546432495117
2014-08-05,36.65106964111328
2014-08-06,36.84238052368164
2014-08-07,36.78117370605469
2014-08-08,37.07964324951172
2014-08-11,37.033714294433594
2014-08-12,37.07197952270508
2014-08-13,37.30923843383789
2014-08-14,37.60005187988281
2014-08-15,37.286277770996094
2014-08-18,37.890869140625
2014-08-19,38.03628158569336
2014-08-20,38.11281204223633
2014-08-21,39.08476638793945
2014-08-22,38.977630615234375
2014-08-25,39.51334762573242
2014-08-26,39.89601516723633
2014-08-27,39.68937683105469
2014-08-28,39.32967758178711
2014-08-29,39.528663635253906
2014-09-02,39.765899658203125
2014-09-03,39.97254180908203
2014-09-04,40.156219482421875
2014-09-05,40.0261116027832
2014-09-08,39.83478927612305
2014-09-09,39.230167388916016
2014-09-10,39.666412353515625
2014-09-11,39.97254180908203
2014-09-12,40.08733367919922
2014-09-15,40.03376388549805
2014-09-16,40.072025299072266
2014-09-17,40.095001220703125
2014-09-18,41.066932678222656
2014-09-19,40.92918395996094
2014-09-22,40.59244155883789
2014-09-23,40.43937683105469
2014-09-24,40.76081085205078
2014-09-25,39.765899658203125
2014-09-26,40.1715202331543
2014-09-29,39.83478927612305
2014-09-30,39.658756256103516
2014-10-01,39.107723236083984
2014-10-02,39.22252655029297
2014-10-03,40.041419982910156
2014-10-06,40.01079559326172
2014-10-07,39.23783493041992
2014-10-08,40.20978927612305
2014-10-09,39.13835144042969
2014-10-10,38.350059509277344
2014-10-13,38.18935012817383
2014-10-14,39.39088821411133
2014-10-15,38.0209846496582
2014-10-16,38.074554443359375
2014-10-17,38.3194465637207
2014-10-20,38.67150115966797
2014-10-21,39.23783493041992
2014-10-22,38.80160903930664
2014-10-23,39.34497833251953
2014-10-24,39.6434440612793
2014-10-27,39.482730865478516
2014-10-28,40.13324737548828
2014-10-29,40.293968200683594
2014-10-30,40.684356689453125
2014-10-31,40.97523498535156
2014-11-03,40.92930603027344
2014-11-04,40.71498489379883
2014-11-05,41.35031509399414
2014-11-06,41.327335357666016
2014-11-07,41.143646240234375
2014-11-10,41.25080108642578
2014-11-11,41.1895637512207
2014-11-12,40.89104080200195
2014-11-13,40.906341552734375
2014-11-14,40.86040496826172
2014-11-17,41.00586700439453
2014-11-18,41.1895637512207
2014-11-19,41.07474899291992
2014-11-20,40.96757888793945
2014-11-21,41.07474899291992
2014-11-24,41.64118957519531
2014-11-25,41.587608337402344
2014-11-26,41.43450164794922
2014-11-28,41.31204605102539
2014-12-01,40.83744812011719
2014-12-02,41.61057662963867
2014-12-03,42.26121139526367
2014-12-04,42.238250732421875
2014-12-05,42.92716598510742
2014-12-08,43.14915084838867
2014-12-09,42.751102447509766
2014-12-10,41.694766998291016
2014-12-11,41.72539138793945
2014-12-12,40.87571716308594
2014-12-15,40.40879440307617
2014-12-16,39.168739318847656
2014-12-17,40.148529052734375
2014-12-18,41.41154861450195
2014-12-19,41.342647552490234
2014-12-22,41.304386138916016
2014-12-23,41.65650177001953
2014-12-24,41.74834060668945
2014-12-26,41.66415786743164
2014-12-29,41.8937873840332
2014-12-30,41.97799301147461
2014-12-31,41.41920471191406
2015-01-02,41.53401184082031
2015-01-05,40.225074768066406
2015-01-06,38.80897903442383
2015-01-07,39.168739318847656
2015-01-08,39.75814437866211
2015-01-09,38.87021255493164
2015-01-12,38.56403350830078
2015-01-13,38.2884635925293
2015-01-14,37.54597091674805
2015-01-15,36.15281677246094
2015-01-16,36.443695068359375
2015-01-20,36.175777435302734
2015-01-21,36.543209075927734
2015-01-22,37.944000244140625
2015-01-23,37.216819763183594
2015-01-26,37.423484802246094
2015-01-27,36.979530334472656
2015-01-28,36.06095504760742
2015-01-29,36.45909118652344
2015-01-30,35.94611358642578
2015-02-02,36.53565979003906
2015-02-03,37.42377853393555
2015-02-04,37.05628204345703
2015-02-05,37.16345977783203
2015-02-06,37.622825622558594
2015-02-09,37.676429748535156
2015-02-10,37.81424331665039
2015-02-11,38.036277770996094
2015-02-12,38.96269226074219
2015-02-13,39.20003128051758
2015-02-17,39.57517623901367
2015-02-18,39.368465423583984
