,CE
2014-01-02,43.90465545654297
2014-01-03,44.15216064453125
2014-01-06,43.14616775512695
2014-01-07,43.641178131103516
2014-01-08,42.922603607177734
2014-01-09,43.1381721496582
2014-01-10,43.23397445678711
2014-01-13,43.00244903564453
2014-01-14,44.23200607299805
2014-01-15,44.535400390625
2014-01-16,44.758968353271484
2014-01-17,43.992488861083984
2014-01-21,43.665122985839844
2014-01-22,43.95255661010742
2014-01-23,43.82481002807617
2014-01-24,42.05234146118164
2014-01-27,41.06230163574219
2014-01-28,41.054325103759766
2014-01-29,41.11820602416992
2014-01-30,41.126182556152344
2014-01-31,40.431549072265625
2014-02-03,38.9864387512207
2014-02-04,39.601219177246094
2014-02-05,39.58525085449219
2014-02-06,40.45551681518555
2014-02-07,40.886653900146484
2014-02-10,40.9585075378418
2014-02-11,41.070289611816406
2014-02-12,41.85548400878906
2014-02-13,42.304168701171875
2014-02-14,42.54452896118164
2014-02-18,41.99970245361328
2014-02-19,41.927589416503906
2014-02-20,42.400299072265625
2014-02-21,41.759342193603516
2014-02-24,42.11187744140625
2014-02-25,41.935611724853516
2014-02-26,42.400299072265625
2014-02-27,42.96916961669922
2014-02-28,42.776885986328125
2014-03-03,41.799400329589844
2014-03-04,42.35224151611328
2014-03-05,41.99970245361328
2014-03-06,42.752845764160156
2014-03-07,43.27363586425781
2014-03-10,42.80091094970703
2014-03-11,42.8489875793457
2014-03-12,43.137428283691406
2014-03-13,42.736812591552734
2014-03-14,43.04127883911133
2014-03-17,43.4659309387207
2014-03-18,43.65019989013672
2014-03-19,44.058815002441406
2014-03-20,43.94666290283203
2014-03-21,44.2350959777832
2014-03-24,44.034793853759766
2014-03-25,44.11490249633789
2014-03-26,43.2415771484375
2014-03-27,42.90507888793945
2014-03-28,43.21754455566406
2014-03-31,44.475460052490234
2014-04-01,44.892086029052734
2014-04-02,45.34878158569336
2014-04-03,45.53305435180664
2014-04-04,45.52504348754883
2014-04-07,44.01075744628906
2014-04-08,44.53955078125
2014-04-09,44.595638275146484
2014-04-10,44.0748405456543
2014-04-11,43.78641128540039
2014-04-14,44.50749206542969
2014-04-15,45.03630065917969
2014-04-16,45.68529510498047
2014-04-17,46.125953674316406
2014-04-21,46.5666389465332
2014-04-22,48.145023345947266
2014-04-23,47.74441146850586
2014-04-24,47.43193817138672
2014-04-25,47.49603271484375
2014-04-28,47.84857940673828
2014-04-29,48.70588302612305
2014-04-30,49.21865463256836
2014-05-01,49.2427978515625
2014-05-02,49.218658447265625
2014-05-05,49.403682708740234
2014-05-06,49.13819885253906
2014-05-07,48.840538024902344
2014-05-08,48.357852935791016
2014-05-09,47.8831901550293
2014-05-12,48.985355377197266
2014-05-13,48.3980827331543
2014-05-14,48.044097900390625
2014-05-15,46.9660758972168
2014-05-16,47.834930419921875
2014-05-19,48.036048889160156
2014-05-20,47.553367614746094
2014-05-21,48.62333297729492
2014-05-22,48.85662078857422
2014-05-23,49.218658447265625
2014-05-27,49.2427978515625
2014-05-28,49.25083923339844
2014-05-29,50.46561813354492
2014-05-30,50.441471099853516
2014-06-02,50.53801345825195
2014-06-03,50.82762908935547
2014-06-04,50.76327133178711
2014-06-05,51.382747650146484
2014-06-06,51.71256637573242
2014-06-09,51.310325622558594
2014-06-10,51.141380310058594
2014-06-11,51.80910873413086
2014-06-12,51.640174865722656
2014-06-13,51.616024017333984
2014-06-16,51.431007385253906
2014-06-17,51.358585357666016
2014-06-18,51.913692474365234
2014-06-19,52.01023483276367
2014-06-20,52.01023483276367
2014-06-23,52.04240417480469
2014-06-24,51.10115051269531
2014-06-25,51.57581329345703
2014-06-26,51.00460433959961
2014-06-27,51.53558349609375
2014-06-30,51.71256637573242
2014-07-01,52.31593322753906
2014-07-02,52.782554626464844
2014-07-03,53.13652420043945
2014-07-07,52.935401916503906
2014-07-08,52.88712692260742
2014-07-09,52.34006881713867
2014-07-10,51.58385467529297
2014-07-11,51.70452880859375
2014-07-14,51.784969329833984
2014-07-15,51.85737991333008
2014-07-16,51.56775665283203
2014-07-17,50.924171447753906
2014-07-18,50.385154724121094
2014-07-21,49.95073699951172
2014-07-22,50.35298538208008
2014-07-23,50.08749771118164
2014-07-24,50.232303619384766
2014-07-25,50.02314376831055
2014-07-28,50.385154724121094
2014-07-29,48.3980827331543
2014-07-30,47.770572662353516
2014-07-31,46.82932662963867
2014-08-01,47.12825393676758
2014-08-04,47.85542297363281
2014-08-05,47.16865921020508
2014-08-06,47.45952224731445
2014-08-07,46.82931900024414
2014-08-08,47.24138259887695
2014-08-11,47.790802001953125
2014-08-12,47.750404357910156
2014-08-13,47.95237350463867
2014-08-14,47.976619720458984
2014-08-15,47.968544006347656
