,CMI
2014-01-02,102.78347778320312
2014-01-03,103.22856903076172
2014-01-06,102.90220642089844
2014-01-07,103.77007293701172
2014-01-08,103.3694839477539
2014-01-09,102.86506652832031
2014-01-10,102.44226837158203
2014-01-13,100.99574279785156
2014-01-14,101.72272491455078
2014-01-15,102.21229553222656
2014-01-16,102.24939727783203
2014-01-17,102.17523193359375
2014-01-21,101.1886215209961
2014-01-22,100.05368041992188
2014-01-23,97.97665405273438
2014-01-24,93.69646453857422
2014-01-27,93.42941284179688
2014-01-28,95.41743469238281
2014-01-29,95.38774871826172
2014-01-30,95.30615997314453
2014-01-31,94.19346618652344
2014-02-03,91.76036071777344
2014-02-04,93.76321411132812
2014-02-05,93.96349334716797
2014-02-06,97.01229095458984
2014-02-07,99.64566040039062
2014-02-10,98.67391967773438
2014-02-11,100.52843475341797
2014-02-12,102.80572509765625
2014-02-13,104.53411865234375
2014-02-14,105.42425537109375
2014-02-18,106.1512451171875
2014-02-19,104.29235076904297
2014-02-20,105.61107635498047
2014-02-21,106.41570281982422
2014-02-24,108.78498077392578
2014-02-25,108.50191497802734
2014-02-26,108.70304870605469
2014-02-27,108.25603485107422
2014-02-28,108.71794891357422
2014-03-03,106.54240417480469
2014-03-04,108.5540542602539
2014-03-05,108.22620391845703
2014-03-06,108.8669662475586
2014-03-07,108.49443817138672
2014-03-10,107.21295166015625
2014-03-11,106.46788787841797
2014-03-12,106.59458923339844
2014-03-13,104.76914978027344
2014-03-14,103.83039093017578
2014-03-17,106.3859634399414
2014-03-18,106.30397033691406
2014-03-19,106.36360168457031
2014-03-20,106.9521713256836
2014-03-21,107.5482177734375
2014-03-24,106.06556701660156
2014-03-25,107.54076385498047
2014-03-26,107.28001403808594
2014-03-27,107.34705352783203
2014-03-28,108.77754974365234
2014-03-31,111.00525665283203
2014-04-01,110.97545623779297
2014-04-02,111.26602172851562
2014-04-03,111.3331069946289
2014-04-04,109.58218383789062
2014-04-07,107.80152130126953
2014-04-08,109.2990951538086
2014-04-09,110.2080307006836
2014-04-10,107.35453796386719
2014-04-11,105.8346176147461
2014-04-14,106.73612213134766
2014-04-15,105.61853790283203
2014-04-16,108.25603485107422
2014-04-17,108.98615264892578
2014-04-21,109.20225524902344
2014-04-22,109.37361907958984
2014-04-23,109.78338623046875
2014-04-24,111.05738067626953
2014-04-25,109.65670776367188
2014-04-28,108.18151092529297
2014-04-29,112.36127471923828
2014-04-30,112.39105987548828
2014-05-01,112.8604736328125
2014-05-02,112.41339111328125
2014-05-05,111.97383880615234
2014-05-06,110.57315826416016
2014-05-07,111.42993927001953
2014-05-08,112.62201690673828
2014-05-09,111.7130126953125
2014-05-12,114.23133850097656
2014-05-13,114.31330871582031
2014-05-14,113.02432250976562
2014-05-15,111.4895248413086
2014-05-16,111.54911804199219
2014-05-19,111.83226776123047
2014-05-20,109.9323959350586
2014-05-21,111.47748565673828
2014-05-22,111.10336303710938
2014-05-23,112.27058410644531
2014-05-27,113.78947448730469
2014-05-28,113.90168762207031
2014-05-29,114.1186752319336
2014-05-30,114.4254150390625
2014-06-02,114.69477844238281
2014-06-03,114.8743896484375
2014-06-04,115.06147003173828
2014-06-05,116.90953063964844
2014-06-06,119.01201629638672
2014-06-09,119.90241241455078
2014-06-10,120.12686920166016
2014-06-11,118.58557891845703
2014-06-12,115.80216979980469
2014-06-13,116.7449722290039
2014-06-16,117.22377014160156
2014-06-17,116.6776123046875
2014-06-18,117.32852935791016
2014-06-19,117.47074127197266
2014-06-20,118.63044738769531
2014-06-23,117.8373794555664
2014-06-24,117.06668090820312
2014-06-25,117.56050109863281
2014-06-26,115.98925018310547
2014-06-27,115.7123794555664
2014-06-30,115.44303894042969
2014-07-01,115.4879379272461
2014-07-02,115.21857452392578
