,DG
2014-01-02,54.59321975708008
2014-01-03,54.3969841003418
2014-01-06,53.17488098144531
2014-01-07,53.424644470214844
2014-01-08,53.25516128540039
2014-01-09,54.89653396606445
2014-01-10,56.082950592041016
2014-01-13,54.13829040527344
2014-01-14,54.941123962402344
2014-01-15,54.584312438964844
2014-01-16,54.031246185302734
2014-01-17,53.611976623535156
2014-01-21,52.33635330200195
2014-01-22,51.694091796875
2014-01-23,51.37294006347656
2014-01-24,51.15885543823242
2014-01-27,51.30158615112305
2014-01-28,51.087493896484375
2014-01-29,50.50765609741211
2014-01-30,50.400611877441406
2014-01-31,50.24004364013672
2014-02-03,49.51749801635742
2014-02-04,49.76726150512695
2014-02-05,50.07947540283203
2014-02-06,51.06073760986328
2014-02-07,50.93583679199219
2014-02-10,50.5433464050293
2014-02-11,50.57902526855469
2014-02-12,50.19544219970703
2014-02-13,49.87431716918945
2014-02-14,51.07856369018555
2014-02-18,51.756526947021484
2014-02-19,51.239131927490234
2014-02-20,50.93583679199219
2014-02-21,51.28373336791992
2014-02-24,51.76542663574219
2014-02-25,51.756526947021484
2014-02-26,53.41574478149414
2014-02-27,53.317604064941406
2014-02-28,53.43357467651367
2014-03-03,53.38006591796875
2014-03-04,53.36220169067383
2014-03-05,53.26409149169922
2014-03-06,52.99646759033203
2014-03-07,52.97862243652344
2014-03-10,52.9875602722168
2014-03-11,52.9875602722168
2014-03-12,52.889434814453125
2014-03-13,51.43539047241211
2014-03-14,51.01612854003906
2014-03-17,51.4889030456543
2014-03-18,51.658390045166016
2014-03-19,51.60487747192383
2014-03-20,51.3640251159668
2014-03-21,51.76542663574219
2014-03-24,50.21328353881836
2014-03-25,49.24095153808594
2014-03-26,49.5888557434082
2014-03-27,49.660213470458984
2014-03-28,49.41936492919922
2014-03-31,49.49072265625
2014-04-01,50.329254150390625
2014-04-02,51.042903900146484
2014-04-03,51.1231689453125
2014-04-04,50.561180114746094
2014-04-07,49.401519775390625
2014-04-08,49.46396255493164
2014-04-09,50.27573776245117
2014-04-10,49.46396255493164
2014-04-11,48.830604553222656
2014-04-14,49.24095153808594
2014-04-15,49.03577423095703
2014-04-16,48.95549392700195
2014-04-17,49.44613265991211
2014-04-21,49.142818450927734
2014-04-22,49.142818450927734
2014-04-23,49.35692596435547
2014-04-24,49.33907699584961
2014-04-25,50.248966217041016
2014-04-28,50.18650817871094
2014-04-29,49.97242736816406
2014-04-30,50.34709548950195
2014-05-01,50.534420013427734
2014-05-02,50.84664535522461
2014-05-05,50.74850845336914
2014-05-06,50.77527618408203
2014-05-07,50.63255310058594
2014-05-08,50.59687042236328
2014-05-09,50.61471176147461
2014-05-12,50.85554504394531
2014-05-13,50.31140899658203
2014-05-14,50.168670654296875
2014-05-15,49.29448318481445
2014-05-16,49.624534606933594
2014-05-19,49.9545783996582
2014-05-20,48.81277847290039
2014-05-21,48.7949333190918
2014-05-22,49.437198638916016
2014-05-23,49.72267150878906
2014-05-27,50.22220230102539
2014-05-28,48.70572280883789
2014-05-29,47.72447967529297
2014-05-30,47.974246978759766
2014-06-02,48.4381103515625
2014-06-03,50.320343017578125
2014-06-04,50.50765609741211
2014-06-05,51.462154388427734
2014-06-06,51.72975540161133
2014-06-09,55.529876708984375
2014-06-10,54.539710998535156
2014-06-11,53.950950622558594
2014-06-12,53.69225311279297
2014-06-13,54.13829040527344
2014-06-16,54.90544128417969
2014-06-17,54.887603759765625
2014-06-18,54.798404693603516
2014-06-19,54.878684997558594
2014-06-20,56.03834915161133
2014-06-23,55.00356674194336
