,EA
2014-01-02,22.30375099182129
2014-01-03,22.157211303710938
2014-01-06,22.01066780090332
2014-01-07,22.567527770996094
2014-01-08,22.772687911987305
2014-01-09,22.22559356689453
2014-01-10,22.479602813720703
2014-01-13,21.864120483398438
2014-01-14,21.942277908325195
2014-01-15,21.424495697021484
2014-01-16,21.04349136352539
2014-01-17,23.544471740722656
2014-01-21,23.759408950805664
2014-01-22,23.612863540649414
2014-01-23,23.319782257080078
2014-01-24,23.29047203063965
2014-01-27,23.905946731567383
2014-01-28,24.296730041503906
2014-01-29,24.638656616210938
2014-01-30,25.429990768432617
2014-01-31,25.79146385192871
2014-02-03,25.478836059570312
2014-02-04,25.5765323638916
2014-02-05,25.55699348449707
2014-02-06,25.850078582763672
2014-02-07,26.573020935058594
2014-02-10,26.260395050048828
2014-02-11,26.778181076049805
2014-02-12,27.21780776977539
2014-02-13,26.924724578857422
2014-02-14,26.944263458251953
2014-02-18,27.745357513427734
2014-02-19,27.26665496826172
2014-02-20,27.14942169189453
2014-02-21,27.35457420349121
2014-02-24,27.315500259399414
2014-02-25,27.4522705078125
2014-02-26,27.618358612060547
2014-02-27,27.882131576538086
2014-02-28,27.930980682373047
2014-03-03,27.442502975463867
2014-03-04,28.14590835571289
2014-03-05,28.41945457458496
2014-03-06,28.53668785095215
2014-03-07,28.70276641845703
2014-03-10,28.53668785095215
2014-03-11,29.113086700439453
2014-03-12,29.2889404296875
2014-03-13,29.025163650512695
2014-03-14,28.917699813842773
2014-03-17,29.406171798706055
2014-03-18,29.542945861816406
2014-03-19,29.53317642211914
2014-03-20,29.552717208862305
2014-03-21,29.06424331665039
2014-03-24,28.331533432006836
2014-03-25,28.61484718322754
2014-03-26,27.911441802978516
2014-03-27,27.823514938354492
2014-03-28,27.87236213684082
2014-03-31,28.34130096435547
2014-04-01,28.790695190429688
2014-04-02,28.458528518676758
2014-04-03,28.20452880859375
2014-04-04,27.94074821472168
2014-04-07,27.68674659729004
2014-04-08,28.0677547454834
2014-04-09,27.51089096069336
2014-04-10,26.592559814453125
2014-04-11,26.055234909057617
2014-04-14,26.651174545288086
2014-04-15,26.836793899536133
2014-04-16,26.954029083251953
2014-04-17,26.934490203857422
2014-04-21,27.335037231445312
2014-04-22,27.47181510925293
2014-04-23,27.501117706298828
2014-04-24,27.4522705078125
2014-04-25,27.55974006652832
2014-04-28,27.530431747436523
2014-04-29,27.41319465637207
2014-04-30,27.647661209106445
2014-05-01,28.077524185180664
2014-05-02,27.843053817749023
2014-05-05,28.09705924987793
2014-05-06,27.403425216674805
2014-05-07,33.16742706298828
2014-05-08,33.48982238769531
2014-05-09,34.310455322265625
2014-05-12,34.4960823059082
2014-05-13,34.2322998046875
2014-05-14,33.34328079223633
2014-05-15,33.01111602783203
2014-05-16,33.64613342285156
2014-05-19,33.773136138916016
2014-05-20,33.58750915527344
2014-05-21,33.80244445800781
