,ED
2014-01-02,36.07810592651367
2014-01-03,35.737117767333984
2014-01-06,35.683624267578125
2014-01-07,36.071414947509766
2014-01-08,35.71037292480469
2014-01-09,35.82402801513672
2014-01-10,36.32549285888672
2014-01-13,36.05134201049805
2014-01-14,35.95775604248047
2014-01-15,35.991188049316406
2014-01-16,36.064735412597656
2014-01-17,36.07810592651367
2014-01-21,36.36560821533203
2014-01-22,36.211830139160156
2014-01-23,36.064735412597656
2014-01-24,35.87084197998047
2014-01-27,35.71037292480469
2014-01-28,35.52316665649414
2014-01-29,35.6033821105957
2014-01-30,36.037986755371094
2014-01-31,36.37897491455078
2014-02-03,35.93101119995117
2014-02-04,35.83070755004883
2014-02-05,35.69699478149414
2014-02-06,35.971126556396484
2014-02-07,36.11822509765625
2014-02-10,36.32793426513672
2014-02-11,36.8217887878418
2014-02-12,36.53764724731445
2014-02-13,36.882667541503906
2014-02-14,37.31561279296875
2014-02-18,37.39004898071289
2014-02-19,37.031494140625
2014-02-20,37.410335540771484
2014-02-21,37.403560638427734
2014-02-24,37.71476364135742
2014-02-25,37.95829391479492
2014-02-26,37.68093490600586
2014-02-27,37.59298324584961
2014-02-28,37.9177131652832
2014-03-03,37.51857376098633
2014-03-04,37.653873443603516
2014-03-05,37.396793365478516
2014-03-06,37.403560638427734
2014-03-07,37.50504684448242
2014-03-10,37.532108306884766
2014-03-11,37.28856658935547
2014-03-12,36.950313568115234
2014-03-13,36.321170806884766
2014-03-14,36.977378845214844
2014-03-17,37.24120330810547
2014-03-18,36.808250427246094
2014-03-19,35.63790512084961
2014-03-20,35.70555877685547
2014-03-21,35.489070892333984
2014-03-24,35.63114929199219
2014-03-25,35.88145446777344
2014-03-26,35.95587158203125
2014-03-27,36.280582427978516
2014-03-28,35.969390869140625
2014-03-31,36.29411697387695
2014-04-01,35.92881393432617
2014-04-02,36.24675369262695
2014-04-03,36.300872802734375
2014-04-04,36.77443313598633
2014-04-07,37.038265228271484
2014-04-08,37.579463958740234
2014-04-09,37.38328170776367
2014-04-10,37.477989196777344
2014-04-11,37.61327362060547
2014-04-14,37.78917694091797
2014-04-15,38.68891143798828
2014-04-16,38.959510803222656
2014-04-17,38.22214126586914
2014-04-21,38.45889663696289
2014-04-22,38.45889663696289
2014-04-23,38.337135314941406
2014-04-24,38.5333251953125
2014-04-25,39.06098556518555
2014-04-28,39.41276168823242
2014-04-29,39.243648529052734
2014-04-30,39.257171630859375
2014-05-01,39.29100036621094
2014-05-02,38.43861389160156
2014-05-05,38.58068084716797
2014-05-06,38.58068084716797
2014-05-07,39.10157012939453
2014-05-08,38.83775329589844
2014-05-09,38.01917266845703
2014-05-12,37.567623138427734
2014-05-13,37.54025650024414
2014-05-14,37.80024719238281
2014-05-15,37.601837158203125
2014-05-16,37.752357482910156
2014-05-19,37.1502799987793
2014-05-20,36.999778747558594
2014-05-21,36.8492546081543
2014-05-22,37.061336517333984
2014-05-23,37.03398513793945
2014-05-27,37.21870422363281
2014-05-28,37.30080032348633
2014-05-29,37.38976287841797
2014-05-30,37.63605499267578
2014-06-02,37.62921142578125
2014-06-03,37.62921142578125
2014-06-04,37.779727935791016
2014-06-05,38.12864303588867
2014-06-06,37.786563873291016
2014-06-09,37.5607795715332
2014-06-10,37.6907844543457
2014-06-11,37.423954010009766
2014-06-12,37.62236785888672
2014-06-13,37.779727935791016
2014-06-16,38.03286361694336
2014-06-17,37.9849739074707
2014-06-18,38.64175796508789
2014-06-19,38.97701644897461
