,EG
2014-01-02,120.06480407714844
2014-01-03,120.04895782470703
2014-01-06,119.71512603759766
2014-01-07,119.33360290527344
2014-01-08,118.2289047241211
2014-01-09,117.86331176757812
2014-01-10,117.7281723022461
2014-01-13,116.83805084228516
2014-01-14,118.00635528564453
2014-01-15,118.0301742553711
2014-01-16,117.03675842285156
2014-01-17,116.32147216796875
2014-01-21,117.36260223388672
2014-01-22,119.15872955322266
2014-01-23,116.36119079589844
2014-01-24,113.56360626220703
2014-01-27,114.93065643310547
2014-01-28,116.2499008178711
2014-01-29,114.39813995361328
2014-01-30,117.7202377319336
2014-01-31,115.04981231689453
2014-02-03,112.0615234375
2014-02-04,112.96754455566406
2014-02-05,113.08673095703125
2014-02-06,109.26396179199219
2014-02-07,110.31303405761719
2014-02-10,111.68801879882812
2014-02-11,114.6683349609375
2014-02-12,114.58092498779297
2014-02-13,116.63935089111328
2014-02-14,117.01288604736328
2014-02-18,118.4513931274414
2014-02-19,118.41168975830078
2014-02-20,118.666015625
2014-02-21,118.220947265625
2014-02-24,116.61550903320312
2014-02-25,116.0671157836914
2014-02-26,117.65664672851562
2014-02-27,118.53083801269531
2014-02-28,118.6103744506836
2014-03-03,116.98111724853516
2014-03-04,118.10169982910156
2014-03-05,118.2050552368164
2014-03-06,118.40372467041016
2014-03-07,119.04747772216797
2014-03-10,119.55069732666016
2014-03-11,119.09541320800781
2014-03-12,119.47087097167969
2014-03-13,119.12732696533203
2014-03-14,120.22964477539062
2014-03-17,120.98045349121094
2014-03-18,121.4198226928711
2014-03-19,120.2935791015625
2014-03-20,120.27759552001953
2014-03-21,120.54113006591797
2014-03-24,120.50125122070312
2014-03-25,120.74089050292969
2014-03-26,119.77434539794922
2014-03-27,118.92768859863281
2014-03-28,119.55069732666016
2014-03-31,122.25052642822266
2014-04-01,121.32394409179688
2014-04-02,121.90704345703125
2014-04-03,122.8176498413086
2014-04-04,121.81124877929688
2014-04-07,120.46127319335938
2014-04-08,121.99491119384766
2014-04-09,123.01731872558594
2014-04-10,122.49815368652344
2014-04-11,122.58601379394531
2014-04-14,124.34321594238281
2014-04-15,124.27139282226562
2014-04-16,125.50945281982422
2014-04-17,126.53185272216797
2014-04-21,126.54784393310547
2014-04-22,126.49198913574219
2014-04-23,128.84828186035156
2014-04-24,125.7969970703125
2014-04-25,126.3401870727539
2014-04-28,125.16596221923828
2014-04-29,126.66764831542969
2014-04-30,126.22833251953125
2014-05-01,127.88184356689453
2014-05-02,127.25074768066406
2014-05-05,126.92327880859375
2014-05-06,126.84342956542969
2014-05-07,127.9776382446289
2014-05-08,127.66612243652344
2014-05-09,126.49198913574219
2014-05-12,126.65968322753906
2014-05-13,126.64372253417969
2014-05-14,125.44556427001953
2014-05-15,125.24592590332031
2014-05-16,125.63724517822266
2014-05-19,126.42007446289062
2014-05-20,126.15643310546875
2014-05-21,126.7635498046875
2014-05-22,127.37060546875
2014-05-23,127.25877380371094
2014-05-27,128.90420532226562
2014-05-28,127.77791595458984
2014-05-29,127.80193328857422
2014-05-30,127.81790924072266
2014-06-02,127.68950653076172
2014-06-03,128.07470703125
2014-06-04,129.88038635253906
2014-06-05,129.9044647216797
2014-06-06,129.84825134277344
2014-06-09,129.005615234375
2014-06-10,129.8563232421875
2014-06-11,128.9655303955078
2014-06-12,128.0426483154297
2014-06-13,128.63645935058594
2014-06-16,127.69750213623047
2014-06-17,128.3235321044922
2014-06-18,128.50804138183594
2014-06-19,128.17904663085938
2014-06-20,127.89009857177734
2014-06-23,127.84197235107422
2014-06-24,127.71358489990234
2014-06-25,128.53216552734375
2014-06-26,127.2320327758789
2014-06-27,127.8099136352539
2014-06-30,128.79696655273438
2014-07-01,129.96060180664062
2014-07-02,128.65255737304688
2014-07-03,130.0890655517578
2014-07-07,129.49517822265625
2014-07-08,131.3008575439453
2014-07-09,131.52552795410156
2014-07-10,131.3570098876953
2014-07-11,131.46131896972656
2014-07-14,132.01510620117188
2014-07-15,132.3521728515625
2014-07-16,131.509521484375
2014-07-17,129.32664489746094
2014-07-18,130.36190795898438
2014-07-21,130.00076293945312
2014-07-22,131.13229370117188
2014-07-23,132.5929412841797
2014-07-24,130.5384063720703
2014-07-25,128.98159790039062
2014-07-28,129.29454040527344
2014-07-29,128.09873962402344
2014-07-30,125.20968627929688
2014-07-31,125.12139129638672
2014-08-01,126.54187774658203
2014-08-04,127.26411437988281
2014-08-05,126.89498901367188
2014-08-06,127.1598129272461
2014-08-07,126.83080291748047
2014-08-08,127.68148040771484
2014-08-11,128.2512664794922
2014-08-12,128.6044158935547
2014-08-13,129.1661376953125
2014-08-14,129.9525604248047
2014-08-15,130.5464630126953
2014-08-18,130.5464630126953
2014-08-19,130.4822998046875
2014-08-20,130.63475036621094
2014-08-21,131.54156494140625
2014-08-22,130.1211700439453
2014-08-25,131.34657287597656
2014-08-26,130.72586059570312
2014-08-27,131.8948516845703
2014-08-28,131.60464477539062
2014-08-29,132.09645080566406
2014-09-02,133.40260314941406
2014-09-03,131.9271240234375
2014-09-04,131.4917755126953
2014-09-05,131.8868408203125
2014-09-08,132.0238494873047
2014-09-09,130.8144989013672
2014-09-10,130.6693878173828
2014-09-11,130.74192810058594
2014-09-12,130.41136169433594
2014-09-15,131.12091064453125
2014-09-16,131.49986267089844
2014-09-17,131.67723083496094
2014-09-18,132.27381896972656
2014-09-19,131.59658813476562
2014-09-22,131.49986267089844
2014-09-23,129.53260803222656
2014-09-24,130.39524841308594
2014-09-25,128.7666015625
2014-09-26,129.98403930664062
2014-09-29,129.0729522705078
2014-09-30,130.6209716796875
2014-10-01,129.43582153320312
2014-10-02,130.18569946289062
2014-10-03,132.12066650390625
2014-10-06,130.3227081298828
2014-10-07,130.0727081298828
2014-10-08,131.94325256347656
2014-10-09,129.3310089111328
2014-10-10,129.33908081054688
2014-10-13,128.2344512939453
2014-10-14,129.387451171875
2014-10-15,128.19418334960938
2014-10-16,127.67813873291016
2014-10-17,129.0811004638672
2014-10-20,129.92762756347656
2014-10-21,133.0720672607422
2014-10-22,133.1607666015625
2014-10-23,131.7256317138672
2014-10-24,133.37843322753906
2014-10-27,134.12014770507812
2014-10-28,134.66836547851562
2014-10-29,135.06346130371094
2014-10-30,136.66787719726562
2014-10-31,137.5869598388672
2014-11-03,137.63540649414062
2014-11-04,138.3126678466797
2014-11-05,139.1995849609375
2014-11-06,138.78836059570312
2014-11-07,138.94956970214844
2014-11-10,138.27235412597656
2014-11-11,138.12721252441406
2014-11-12,137.1758270263672
2014-11-13,137.69186401367188
2014-11-14,137.65956115722656
2014-11-17,137.22418212890625
2014-11-18,137.82891845703125
2014-11-19,137.748291015625
2014-11-20,139.94932556152344
2014-11-21,139.86874389648438
2014-11-24,141.40060424804688
2014-11-25,140.9088134765625
2014-11-26,141.6022186279297
2014-11-28,141.40866088867188
2014-12-01,139.7387237548828
2014-12-02,140.61424255371094
2014-12-03,141.19793701171875
2014-12-04,141.54652404785156
2014-12-05,141.41677856445312
2014-12-08,142.8921661376953
2014-12-09,139.64144897460938
2014-12-10,137.160888671875
2014-12-11,139.5198516845703
2014-12-12,136.95013427734375
2014-12-15,136.0260009765625
2014-12-16,135.2720947265625
2014-12-17,136.9338836669922
2014-12-18,139.21994018554688
2014-12-19,139.03350830078125
2014-12-22,138.29579162597656
2014-12-23,139.69009399414062
2014-12-24,139.49554443359375
2014-12-26,139.00099182128906
2014-12-29,139.10647583007812
2014-12-30,139.83599853515625
2014-12-31,138.05259704589844
2015-01-02,136.85284423828125
2015-01-05,136.1151580810547
2015-01-06,136.9744873046875
2015-01-07,137.89859008789062
2015-01-08,141.8301544189453
2015-01-09,139.10647583007812
2015-01-12,137.57431030273438
2015-01-13,137.0474090576172
2015-01-14,135.36940002441406
2015-01-15,136.14761352539062
2015-01-16,138.3768310546875
2015-01-20,137.13661193847656
2015-01-21,137.4365234375
2015-01-22,140.4278106689453
2015-01-23,140.03057861328125
2015-01-26,141.71673583984375
2015-01-27,141.66001892089844
2015-01-28,139.9495086669922
2015-01-29,140.52508544921875
2015-01-30,138.92813110351562
2015-02-02,140.68716430664062
2015-02-03,142.79486083984375
2015-02-04,144.28646850585938
2015-02-05,147.3992919921875
2015-02-06,148.03973388671875
2015-02-09,147.00210571289062
2015-02-10,147.45606994628906
2015-02-11,147.54522705078125
2015-02-12,147.6182098388672
2015-02-13,147.06700134277344
2015-02-17,144.94313049316406
2015-02-18,145.6969757080078
2015-02-19,145.08087158203125
2015-02-20,145.0646514892578
2015-02-23,144.04331970214844
2015-02-24,145.6321563720703
2015-02-25,144.05946350097656
2015-02-26,144.3999481201172
2015-02-27,143.83245849609375
2015-03-02,145.81045532226562
2015-03-03,144.74044799804688
2015-03-04,144.35943603515625
2015-03-05,144.55393981933594
2015-03-06,144.35943603515625
2015-03-09,144.44091796875
2015-03-10,141.7351531982422
2015-03-11,143.39772033691406
2015-03-12,145.56558227539062
2015-03-13,144.55499267578125
2015-03-16,144.83212280273438
2015-03-17,144.5305633544922
2015-03-18,144.7424774169922
2015-03-19,143.51998901367188
2015-03-20,144.32679748535156
2015-03-23,145.4352264404297
2015-03-24,143.99269104003906
2015-03-25,142.72943115234375
2015-03-26,142.17523193359375
2015-03-27,141.48252868652344
2015-03-30,143.84600830078125
2015-03-31,141.8084716796875
2015-04-01,141.07504272460938
2015-04-02,141.7269744873047
2015-04-06,144.03341674804688
2015-04-07,143.55258178710938
2015-04-08,146.06275939941406
2015-04-09,146.7065887451172
2015-04-10,146.66586303710938
2015-04-13,147.1140594482422
2015-04-14,149.42869567871094
2015-04-15,149.54273986816406
2015-04-16,149.79541015625
2015-04-17,147.50527954101562
2015-04-20,147.99435424804688
2015-04-21,146.66586303710938
2015-04-22,147.20375061035156
2015-04-23,148.05137634277344
2015-04-24,148.56475830078125
2015-04-27,146.86143493652344
2015-04-28,147.74159240722656
2015-04-29,146.21759033203125
2015-04-30,145.81008911132812
2015-05-01,147.30966186523438
2015-05-04,147.76611328125
2015-05-05,146.5843505859375
2015-05-06,146.45394897460938
2015-05-07,147.00816345214844
2015-05-08,148.05137634277344
2015-05-11,148.6055145263672
2015-05-12,148.37734985351562
2015-05-13,148.72775268554688
2015-05-14,150.57778930664062
2015-05-15,149.29013061523438
2015-05-18,150.4474334716797
2015-05-19,150.5370635986328
2015-05-20,151.00970458984375
2015-05-21,150.6674346923828
2015-05-22,150.2762908935547
2015-05-26,149.12705993652344
2015-05-27,150.0154571533203
2015-05-28,150.0806427001953
2015-05-29,147.92909240722656
2015-06-01,149.2481231689453
2015-06-02,149.59219360351562
2015-06-03,150.64910888671875
2015-06-04,149.73973083496094
2015-06-05,149.60862731933594
2015-06-08,147.6751251220703
2015-06-09,146.88037109375
2015-06-10,148.90406799316406
2015-06-11,151.47654724121094
2015-06-12,150.28860473632812
2015-06-15,149.37918090820312
2015-06-16,150.5180206298828
2015-06-17,150.82933044433594
2015-06-18,152.01730346679688
2015-06-19,151.42738342285156
2015-06-22,152.05006408691406
2015-06-23,152.6236114501953
2015-06-24,150.84571838378906
2015-06-25,150.17388916015625
2015-06-26,151.16525268554688
2015-06-29,148.59268188476562
2015-06-30,149.1170196533203
2015-07-01,152.2220458984375
2015-07-02,151.35366821289062
2015-07-06,152.1320037841797
2015-07-07,153.71319580078125
2015-07-08,152.5498046875
2015-07-09,151.4356231689453
2015-07-10,153.71319580078125
2015-07-13,154.753662109375
2015-07-14,154.8274383544922
2015-07-15,155.810546875
2015-07-16,156.9247589111328
2015-07-17,155.90892028808594
2015-07-20,156.162841796875
2015-07-21,156.01536560058594
2015-07-22,155.96617126464844
2015-07-23,154.78646850585938
2015-07-24,153.77874755859375
2015-07-27,152.83656311035156
2015-07-28,147.76519775390625
2015-07-29,150.10015869140625
2015-07-30,149.91989135742188
2015-07-31,150.0264129638672
2015-08-03,150.56715393066406
2015-08-04,150.1575164794922
2015-08-05,151.0996856689453
2015-08-06,150.74742126464844
2015-08-07,150.93580627441406
2015-08-10,152.23028564453125
2015-08-11,151.81248474121094
2015-08-12,151.4847412109375
2015-08-13,151.5257110595703
2015-08-14,152.1401824951172
2015-08-17,152.35316467285156
2015-08-18,152.5825958251953
2015-08-19,151.34544372558594
2015-08-20,149.3218536376953
2015-08-21,147.1753387451172
2015-08-24,139.86143493652344
2015-08-25,138.15655517578125
2015-08-26,140.65216064453125
2015-08-27,144.4326171875
2015-08-28,144.07850646972656
2015-08-31,144.80328369140625
2015-09-01,142.4641571044922
2015-09-02,143.7655029296875
2015-09-03,144.06202697753906
2015-09-04,142.44764709472656
2015-09-08,144.85272216796875
2015-09-09,144.08673095703125
2015-09-10,145.14102172851562
2015-09-11,145.9893341064453
2015-09-14,145.91519165039062
2015-09-15,145.49513244628906
2015-09-16,145.62693786621094
2015-09-17,145.00918579101562
2015-09-18,142.36532592773438
2015-09-21,143.8231201171875
2015-09-22,142.18408203125
2015-09-23,142.4559326171875
2015-09-24,142.75247192382812
2015-09-25,143.1724853515625
2015-09-28,140.8086700439453
2015-09-29,141.6981658935547
2015-09-30,142.7688751220703
2015-10-01,141.82168579101562
2015-10-02,143.03245544433594
2015-10-05,144.3667449951172
2015-10-06,144.41616821289062
2015-10-07,145.79164123535156
2015-10-08,147.39772033691406
2015-10-09,145.68455505371094
2015-10-12,146.83767700195312
2015-10-13,145.33038330078125
2015-10-14,145.7751922607422
2015-10-15,146.77999877929688
2015-10-16,147.02706909179688
2015-10-19,145.98104858398438
2015-10-20,147.98252868652344
2015-10-21,147.60365295410156
2015-10-22,149.58859252929688
2015-10-23,147.653076171875
2015-10-26,148.91323852539062
2015-10-27,149.60507202148438
2015-10-28,150.05810546875
2015-10-29,149.9015655517578
2015-10-30,146.58238220214844
2015-11-02,146.87879943847656
