,EQIX
2014-01-02,133.47877502441406
2014-01-03,132.45521545410156
2014-01-06,133.03573608398438
2014-01-07,137.1678009033203
2014-01-08,137.70240783691406
2014-01-09,135.56385803222656
2014-01-10,136.72479248046875
2014-01-13,133.60096740722656
2014-01-14,136.51858520507812
2014-01-15,137.12197875976562
2014-01-16,137.0837860107422
2014-01-17,134.3265838623047
2014-01-21,136.9386749267578
2014-01-22,136.69419860839844
2014-01-23,139.49729919433594
2014-01-24,140.4444122314453
2014-01-27,138.29818725585938
2014-01-28,139.46682739257812
2014-01-29,139.49729919433594
2014-01-30,140.79576110839844
2014-01-31,141.45263671875
2014-02-03,136.82406616210938
2014-02-04,140.5284423828125
2014-02-05,138.2523956298828
2014-02-06,139.81814575195312
2014-02-07,142.30044555664062
2014-02-10,145.0653076171875
2014-02-11,145.68397521972656
2014-02-12,145.69168090820312
2014-02-13,146.53176879882812
2014-02-14,147.59344482421875
2014-02-18,148.1891632080078
2014-02-19,147.11988830566406
2014-02-20,143.5530242919922
2014-02-21,144.68338012695312
2014-02-24,144.9583740234375
2014-02-25,143.97312927246094
2014-02-26,145.1187744140625
2014-02-27,146.53176879882812
2014-02-28,145.08824157714844
2014-03-03,144.71395874023438
2014-03-04,145.92079162597656
2014-03-05,146.6692352294922
2014-03-06,147.99826049804688
2014-03-07,147.74618530273438
2014-03-10,146.85250854492188
2014-03-11,145.0118408203125
2014-03-12,145.30975341796875
2014-03-13,138.78701782226562
2014-03-14,139.84103393554688
2014-03-17,140.07020568847656
2014-03-18,139.91741943359375
2014-03-19,138.20652770996094
2014-03-20,138.58074951171875
2014-03-21,137.7406005859375
2014-03-24,138.47386169433594
2014-03-25,139.39039611816406
2014-03-26,138.00791931152344
2014-03-27,138.51202392578125
2014-03-28,140.55133056640625
2014-03-31,141.1776580810547
2014-04-01,141.63592529296875
2014-04-02,140.87213134765625
2014-04-03,139.75697326660156
2014-04-04,136.71713256835938
2014-04-07,135.23545837402344
2014-04-08,135.55618286132812
2014-04-09,135.0521240234375
2014-04-10,132.40179443359375
2014-04-11,130.20974731445312
2014-04-14,131.04229736328125
2014-04-15,133.00515747070312
2014-04-16,137.29000854492188
2014-04-17,136.69419860839844
2014-04-21,137.71771240234375
2014-04-22,137.8551788330078
2014-04-23,137.5725555419922
2014-04-24,137.89337158203125
2014-04-25,137.63372802734375
2014-04-28,137.36636352539062
2014-04-29,141.59010314941406
2014-04-30,143.44607543945312
2014-05-01,144.37025451660156
2014-05-02,142.69757080078125
2014-05-05,145.85963439941406
2014-05-06,143.78211975097656
2014-05-07,143.1024169921875
2014-05-08,143.79745483398438
2014-05-09,145.57705688476562
2014-05-12,146.8678741455078
2014-05-13,148.1433868408203
2014-05-14,149.2813720703125
2014-05-15,149.64039611816406
2014-05-16,149.14389038085938
2014-05-19,150.1215362548828
2014-05-20,147.80726623535156
2014-05-21,148.70852661132812
2014-05-22,149.27378845214844
2014-05-23,150.01461791992188
2014-05-27,151.35890197753906
2014-05-28,151.62623596191406
2014-05-29,152.42050170898438
2014-05-30,151.80191040039062
2014-06-02,152.81008911132812
2014-06-03,150.25140380859375
2014-06-04,152.61915588378906
2014-06-05,152.80242919921875
2014-06-06,154.2689208984375
2014-06-09,154.05503845214844
2014-06-10,154.2689208984375
2014-06-11,153.90992736816406
2014-06-12,154.8570098876953
2014-06-13,157.36985778808594
2014-06-16,157.95799255371094
2014-06-17,158.0037841796875
2014-06-18,159.3175048828125
2014-06-19,158.3322296142578
2014-06-20,159.78341674804688
2014-06-23,159.66885375976562
2014-06-24,159.98204040527344
2014-06-25,159.17239379882812
2014-06-26,159.3786163330078
2014-06-27,160.4784393310547
2014-06-30,160.4632110595703
2014-07-01,162.31153869628906
2014-07-02,161.7845458984375
2014-07-03,162.67813110351562
2014-07-07,162.0900421142578
2014-07-08,160.2034912109375
2014-07-09,162.37257385253906
2014-07-10,161.5477294921875
2014-07-11,161.47132873535156
2014-07-14,161.2804412841797
2014-07-15,161.50958251953125
2014-07-16,160.4020538330078
2014-07-17,159.27169799804688
2014-07-18,160.9061737060547
2014-07-21,160.68470764160156
2014-07-22,162.83090209960938
2014-07-23,164.6028594970703
2014-07-24,165.8248748779297
2014-07-25,166.5123291015625
2014-07-28,165.9929962158203
2014-07-29,164.2821044921875
2014-07-30,164.7862091064453
2014-07-31,163.8467254638672
2014-08-01,161.448486328125
2014-08-04,161.7158203125
2014-08-05,160.8679656982422
2014-08-06,159.56951904296875
2014-08-07,160.08889770507812
2014-08-08,160.69996643066406
2014-08-11,161.44081115722656
2014-08-12,162.4031982421875
2014-08-13,164.11402893066406
2014-08-14,166.22210693359375
2014-08-15,165.70272827148438
2014-08-18,167.9406280517578
2014-08-19,168.56689453125
2014-08-20,168.32252502441406
2014-08-21,170.7666015625
2014-08-22,170.17086791992188
2014-08-25,169.3230438232422
2014-08-26,165.931884765625
2014-08-27,166.03115844726562
2014-08-28,165.12222290039062
2014-08-29,166.70326232910156
2014-09-02,167.61219787597656
2014-09-03,167.46707153320312
2014-09-04,167.00877380371094
2014-09-05,167.51292419433594
2014-09-08,167.20742797851562
2014-09-09,165.51943969726562
2014-09-10,166.3290557861328
2014-09-11,165.8555450439453
2014-09-12,165.5347137451172
2014-09-15,164.70980834960938
2014-09-16,165.4430389404297
2014-09-17,165.54232788085938
2014-09-18,167.35252380371094
2014-09-19,166.10755920410156
2014-09-22,163.6328582763672
2014-09-23,159.82923889160156
2014-09-24,160.4632110595703
2014-09-25,157.53787231445312
2014-09-26,160.1729278564453
