,ES
2014-01-02,29.352378845214844
2014-01-03,29.211654663085938
2014-01-06,29.232765197753906
2014-01-07,29.49309539794922
2014-01-08,29.366453170776367
2014-01-09,29.49309539794922
2014-01-10,30.006668090820312
2014-01-13,29.78154945373535
2014-01-14,29.75341033935547
2014-01-15,29.577510833740234
2014-01-16,29.71118927001953
2014-01-17,29.96446990966797
2014-01-21,30.288105010986328
2014-01-22,30.49212646484375
2014-01-23,30.344385147094727
2014-01-24,29.85190773010254
2014-01-27,30.1192626953125
2014-01-28,30.22478485107422
2014-01-29,30.1192626953125
2014-01-30,30.597675323486328
2014-01-31,30.815776824951172
2014-02-03,30.56952667236328
2014-02-04,30.590639114379883
2014-02-05,30.330318450927734
2014-02-06,30.161476135253906
2014-02-07,30.463985443115234
2014-02-10,30.80872917175293
2014-02-11,31.139404296875
2014-02-12,31.230880737304688
2014-02-13,31.441932678222656
2014-02-14,31.63892936706543
2014-02-18,31.596710205078125
2014-02-19,31.26604652404785
2014-02-20,31.427852630615234
2014-02-21,31.413799285888672
2014-02-24,31.244945526123047
2014-02-25,31.251981735229492
2014-02-26,31.118301391601562
2014-02-27,31.255311965942383
2014-02-28,31.553443908691406
2014-03-03,31.198522567749023
2014-03-04,31.361787796020508
2014-03-05,31.06363868713379
2014-03-06,30.87908363342285
2014-03-07,31.05655288696289
2014-03-10,30.87908363342285
2014-03-11,30.779693603515625
2014-03-12,31.191423416137695
2014-03-13,31.667030334472656
2014-03-14,31.865785598754883
2014-03-17,32.00067901611328
2014-03-18,32.10714340209961
2014-03-19,31.52505111694336
2014-03-20,31.26950454711914
2014-03-21,31.532163619995117
2014-03-24,31.76640510559082
2014-03-25,31.78061294555664
2014-03-26,31.638633728027344
2014-03-27,31.908370971679688
2014-03-28,31.908370971679688
2014-03-31,32.29880142211914
2014-04-01,32.02195739746094
2014-04-02,31.851579666137695
2014-04-03,31.922574996948242
2014-04-04,32.00776672363281
2014-04-07,32.014869689941406
2014-04-08,32.31299591064453
2014-04-09,32.341400146484375
2014-04-10,32.22072982788086
2014-04-11,32.2562141418457
2014-04-14,32.41947555541992
2014-04-15,32.88090515136719
2014-04-16,33.03706741333008
2014-04-17,32.60404586791992
2014-04-21,32.44788360595703
2014-04-22,32.51885986328125
2014-04-23,32.7247200012207
2014-04-24,32.96607971191406
2014-04-25,33.34230422973633
2014-04-28,33.583656311035156
2014-04-29,33.441688537597656
2014-04-30,33.54817581176758
2014-05-01,33.47718811035156
2014-05-02,32.6395378112793
2014-05-05,33.09385681152344
2014-05-06,32.93769454956055
2014-05-07,33.363609313964844
2014-05-08,32.987369537353516
2014-05-09,32.4904670715332
2014-05-12,32.05035400390625
2014-05-13,32.18524169921875
2014-05-14,32.39818572998047
2014-05-15,32.27751541137695
2014-05-16,32.6395378112793
2014-05-19,32.12844467163086
2014-05-20,32.07874298095703
2014-05-21,32.135536193847656
2014-05-22,32.29171371459961
2014-05-23,32.10714340209961
2014-05-27,32.10005187988281
2014-05-28,32.317020416259766
2014-05-29,32.24541091918945
2014-05-30,32.5103645324707
2014-06-02,32.4673957824707
2014-06-03,32.460235595703125
2014-06-04,32.41727066040039
2014-06-05,32.6535758972168
2014-06-06,32.56764602661133
2014-06-09,32.34565734863281
2014-06-10,32.338497161865234
2014-06-11,31.980457305908203
2014-06-12,32.274051666259766
2014-06-13,32.481712341308594
2014-06-16,32.768157958984375
2014-06-17,32.63926315307617
2014-06-18,33.51288604736328
2014-06-19,33.505714416503906
2014-06-20,33.26225662231445
2014-06-23,33.13336181640625
2014-06-24,33.31953430175781
2014-06-25,33.383995056152344
2014-06-26,33.49140930175781
2014-06-27,33.555843353271484
2014-06-30,33.84944534301758
2014-07-01,33.42695236206055
2014-07-02,33.0402717590332
2014-07-03,32.71086883544922
2014-07-07,32.746673583984375
2014-07-08,32.91852951049805
2014-07-09,32.80396270751953
2014-07-10,32.96865463256836
2014-07-11,32.746673583984375
2014-07-14,32.34565734863281
2014-07-15,32.5103645324707
2014-07-16,32.56049346923828
2014-07-17,32.259742736816406
2014-07-18,32.61061096191406
2014-07-21,32.546173095703125
2014-07-22,32.61777877807617
2014-07-23,32.481712341308594
2014-07-24,32.57481384277344
2014-07-25,32.4673957824707
2014-07-28,33.011619567871094
2014-07-29,32.70370101928711
2014-07-30,32.17380905151367
2014-07-31,31.43623161315918
2014-08-01,31.357458114624023
2014-08-04,30.92780303955078
2014-08-05,30.533964157104492
2014-08-06,30.104310989379883
2014-08-07,30.405057907104492
2014-08-08,31.135473251342773
2014-08-11,30.99225616455078
2014-08-12,30.985107421875
2014-08-13,31.11397933959961
2014-08-14,31.529325485229492
2014-08-15,31.62957763671875
2014-08-18,31.636734008789062
2014-08-19,32.03774642944336
2014-08-20,32.28837585449219
2014-08-21,32.35282516479492
2014-08-22,32.338497161865234
2014-08-25,32.47456359863281
2014-08-26,32.188114166259766
2014-08-27,32.4673957824707
2014-08-28,32.63926315307617
2014-08-29,32.86125564575195
2014-09-02,32.53900146484375
2014-09-03,32.768157958984375
2014-09-04,32.83976745605469
2014-09-05,33.34818649291992
2014-09-08,33.1834831237793
2014-09-09,32.81828308105469
2014-09-10,32.56049346923828
2014-09-11,32.77934646606445
2014-09-12,32.19426727294922
