,ESS
2014-01-02,104.66305541992188
2014-01-03,106.0151596069336
2014-01-06,106.57313537597656
2014-01-07,107.5174789428711
2014-01-08,106.81635284423828
2014-01-09,106.90940856933594
2014-01-10,108.06832885742188
2014-01-13,108.29011535644531
2014-01-14,109.15572357177734
2014-01-15,109.39894104003906
2014-01-16,109.99275970458984
2014-01-17,109.6064224243164
2014-01-21,110.49352264404297
2014-01-22,110.99435424804688
2014-01-23,110.62944030761719
2014-01-24,109.15572357177734
2014-01-27,108.36881256103516
2014-01-28,109.5420913696289
2014-01-29,109.41329956054688
2014-01-30,111.86710357666016
2014-01-31,113.29788208007812
2014-02-03,112.02450561523438
2014-02-04,114.04193115234375
2014-02-05,115.30104064941406
2014-02-06,117.0394287109375
2014-02-07,118.32005310058594
2014-02-10,119.32159423828125
2014-02-11,119.7079086303711
2014-02-12,119.2428970336914
2014-02-13,119.17135620117188
2014-02-14,118.892333984375
2014-02-18,119.14273071289062
2014-02-19,118.52031707763672
2014-02-20,117.48302459716797
2014-02-21,118.54895782470703
2014-02-24,119.02824401855469
2014-02-25,119.40741729736328
2014-02-26,119.02112579345703
2014-02-27,118.1053695678711
2014-02-28,119.65070343017578
2014-03-03,120.5877914428711
2014-03-04,122.90575408935547
2014-03-05,122.0114974975586
2014-03-06,121.12439727783203
2014-03-07,120.26589965820312
2014-03-10,119.12126159667969
2014-03-11,119.52191162109375
2014-03-12,119.16156005859375
2014-03-13,117.39608001708984
2014-03-14,118.84445190429688
2014-03-17,118.9526138305664
2014-03-18,119.40657043457031
2014-03-19,117.56900787353516
2014-03-20,118.9454116821289
2014-03-21,119.75247955322266
2014-03-24,119.76688385009766
2014-03-25,122.1017074584961
2014-03-26,119.12557983398438
2014-03-27,120.78299713134766
2014-03-28,120.84783172607422
2014-03-31,122.54129791259766
2014-04-01,125.38772583007812
2014-04-02,124.16267395019531
2014-04-03,121.66936492919922
2014-04-04,122.59175109863281
2014-04-07,121.467529296875
