,GD
2014-01-02,74.41368865966797
2014-01-03,74.40583801269531
2014-01-06,74.1859130859375
2014-01-07,74.8142318725586
2014-01-08,74.39012145996094
2014-01-09,74.79066467285156
2014-01-10,74.68854522705078
2014-01-13,74.61786651611328
2014-01-14,75.36396789550781
2014-01-15,75.51406860351562
2014-01-16,75.36396789550781
2014-01-17,75.41925811767578
2014-01-21,75.28498077392578
2014-01-22,78.72138977050781
2014-01-23,80.22235870361328
2014-01-24,77.66279602050781
2014-01-27,78.95838165283203
2014-01-28,79.39286041259766
2014-01-29,78.21581268310547
2014-01-30,79.38497161865234
2014-01-31,80.03276824951172
2014-02-03,77.78921508789062
2014-02-04,78.7450942993164
2014-02-05,78.11309051513672
2014-02-06,79.96167755126953
2014-02-07,82.30789947509766
2014-02-10,80.98075103759766
2014-02-11,81.54161071777344
2014-02-12,81.88919067382812
2014-02-13,81.94451141357422
2014-02-14,84.01424407958984
2014-02-18,84.34603118896484
2014-02-19,83.15315246582031
2014-02-20,85.12022399902344
2014-02-21,84.88320922851562
2014-02-24,85.91807556152344
2014-02-25,85.53099060058594
2014-02-26,85.34140014648438
2014-02-27,86.09188842773438
2014-02-28,86.5342788696289
2014-03-03,87.37953186035156
2014-03-04,88.9990234375
2014-03-05,88.35121154785156
2014-03-06,88.04313659667969
2014-03-07,88.0747299194336
2014-03-10,87.2215347290039
2014-03-11,86.09976959228516
2014-03-12,86.40788269042969
2014-03-13,85.30980682373047
2014-03-14,85.02540588378906
2014-03-17,85.64161682128906
2014-03-18,86.42369079589844
2014-03-19,85.3335189819336
2014-03-20,84.72522735595703
2014-03-21,84.59091186523438
2014-03-24,84.19590759277344
2014-03-25,85.04122161865234
2014-03-26,84.25914764404297
2014-03-27,84.030029296875
2014-03-28,85.08071899414062
2014-03-31,86.04450225830078
2014-04-01,86.64485931396484
2014-04-02,87.37953186035156
2014-04-03,87.60071563720703
2014-04-04,85.54679870605469
2014-04-07,85.04122161865234
2014-04-08,84.0379638671875
2014-04-09,85.8496322631836
2014-04-10,83.99822235107422
2014-04-11,83.42610168457031
2014-04-14,83.53732299804688
2014-04-15,84.78485870361328
2014-04-16,85.96086883544922
2014-04-17,86.66014862060547
2014-04-21,86.85084533691406
2014-04-22,85.8496322631836
2014-04-23,88.66255187988281
2014-04-24,87.74079895019531
2014-04-25,86.62043762207031
2014-04-28,85.33314514160156
2014-04-29,86.02446746826172
2014-04-30,86.97004699707031
2014-05-01,87.22432708740234
2014-05-02,88.20962524414062
2014-05-05,88.90093231201172
2014-05-06,88.77381134033203
2014-05-07,88.96452331542969
2014-05-08,88.94071197509766
2014-05-09,89.62408447265625
2014-05-12,91.26094818115234
2014-05-13,91.61058044433594
2014-05-14,91.10997009277344
2014-05-15,89.96573638916016
2014-05-16,90.23588562011719
2014-05-19,91.23709106445312
2014-05-20,89.85448455810547
2014-05-21,91.1020278930664
2014-05-22,91.36425018310547
2014-05-23,91.76949310302734
2014-05-27,92.45285034179688
2014-05-28,93.41434478759766
2014-05-29,93.7401123046875
2014-05-30,93.85930633544922
2014-06-02,93.77984619140625
2014-06-03,94.05001831054688
2014-06-04,94.05001831054688
2014-06-05,96.06037902832031
2014-06-06,96.01268005371094
2014-06-09,95.8458251953125
2014-06-10,96.0047378540039
2014-06-11,95.2499008178711
2014-06-12,94.12947845458984
2014-06-13,94.66983795166016
2014-06-16,94.71749114990234
2014-06-17,94.6380386352539
2014-06-18,95.0671157836914
2014-06-19,95.38497161865234
2014-06-20,94.99562072753906
2014-06-23,94.3519515991211
2014-06-24,92.72301483154297
2014-06-25,93.1441650390625
2014-06-26,92.9534683227539
2014-06-27,93.36665344238281
2014-06-30,92.61177825927734
2014-07-01,93.02721405029297
2014-07-02,92.26825714111328
2014-07-03,92.68367004394531
2014-07-07,92.46800231933594
2014-07-08,91.70906829833984
2014-07-09,92.36412811279297
2014-07-10,92.29225158691406
2014-07-11,93.34673309326172
2014-07-14,93.2109146118164
2014-07-15,93.87397766113281
2014-07-16,93.87397766113281
2014-07-17,92.74758911132812
2014-07-18,93.97784423828125
2014-07-21,94.54500579833984
2014-07-22,94.70479583740234
2014-07-23,96.44630432128906
2014-07-24,97.0454330444336
2014-07-25,96.77384185791016
2014-07-28,96.24661254882812
2014-07-29,95.20806884765625
2014-07-30,95.23204803466797
2014-07-31,93.28282928466797
2014-08-01,93.7701416015625
2014-08-04,93.65030670166016
2014-08-05,92.94729614257812
2014-08-06,91.66911315917969
2014-08-07,91.38151550292969
2014-08-08,93.59436798095703
2014-08-11,94.12162017822266
2014-08-12,93.64229583740234
2014-08-13,95.16014099121094
2014-08-14,95.16014099121094
2014-08-15,95.33590698242188
2014-08-18,96.80577087402344
2014-08-19,97.30908203125
2014-08-20,98.64317321777344
2014-08-21,98.80294799804688
2014-08-22,98.9387435913086
2014-08-25,99.39412689208984
2014-08-26,99.37809753417969
2014-08-27,99.05058288574219
2014-08-28,98.57128143310547
2014-08-29,98.45945739746094
2014-09-02,97.98810577392578
2014-09-03,99.8014907836914
2014-09-04,99.6177749633789
2014-09-05,100.2169189453125
2014-09-08,100.47254943847656
2014-09-09,100.86399841308594
2014-09-10,101.79068756103516
2014-09-11,101.15159606933594
2014-09-12,100.97583770751953
2014-09-15,101.33531188964844
2014-09-16,102.05430603027344
2014-09-17,102.44573974609375
2014-09-18,103.27655029296875
2014-09-19,103.412353515625
2014-09-22,102.27000427246094
2014-09-23,100.63233184814453
2014-09-24,101.4391860961914
2014-09-25,99.86544036865234
2014-09-26,102.01435089111328
2014-09-29,101.84658813476562
2014-09-30,101.52703857421875
2014-10-01,99.29024505615234
2014-10-02,97.30110168457031
2014-10-03,98.69107818603516
2014-10-06,98.34759521484375
2014-10-07,96.41435241699219
2014-10-08,98.88754272460938
2014-10-09,97.56260681152344
2014-10-10,97.3377914428711
2014-10-13,94.96898651123047
2014-10-14,95.24198150634766
2014-10-15,94.7361068725586
2014-10-16,94.63172149658203
2014-10-17,97.0567398071289
2014-10-20,97.40203857421875
2014-10-21,99.48175048828125
2014-10-22,101.42498016357422
2014-10-23,104.66099548339844
2014-10-24,106.39546203613281
2014-10-27,106.86918640136719
2014-10-28,109.68770599365234
2014-10-29,109.5672378540039
2014-10-30,111.04470825195312
2014-10-31,112.2251205444336
2014-11-03,112.1929931640625
2014-11-04,113.05217742919922
2014-11-05,113.98368072509766
2014-11-06,113.67051696777344
2014-11-07,112.5302505493164
2014-11-10,113.07627868652344
2014-11-11,113.46168518066406
2014-11-12,113.46168518066406
2014-11-13,114.59391784667969
2014-11-14,114.55376434326172
2014-11-17,114.06396484375
2014-11-18,115.57354736328125
2014-11-19,115.12388610839844
2014-11-20,115.42901611328125
2014-11-21,116.103515625
2014-11-24,116.33643341064453
2014-11-25,116.11161041259766
2014-11-26,116.0553207397461
2014-11-28,116.7218246459961
2014-12-01,115.4370346069336
2014-12-02,115.80641174316406
2014-12-03,116.53715515136719
2014-12-04,116.33643341064453
2014-12-05,116.55320739746094
2014-12-08,116.40062713623047
2014-12-09,116.44882202148438
2014-12-10,113.33320617675781
2014-12-11,114.34498596191406
2014-12-12,110.3381118774414
2014-12-15,108.8927230834961
2014-12-16,109.52706909179688
2014-12-17,110.19356536865234
2014-12-18,112.27330017089844
2014-12-19,112.28133392333984
2014-12-22,113.54199981689453
2014-12-23,113.46976470947266
2014-12-24,113.65442657470703
2014-12-26,113.53398132324219
2014-12-29,112.95581817626953
2014-12-30,112.12075805664062
2014-12-31,110.50672149658203
2015-01-02,111.17316436767578
2015-01-05,108.85258483886719
2015-01-06,108.9810791015625
2015-01-07,108.56350708007812
2015-01-08,111.18123626708984
2015-01-09,111.59074401855469
2015-01-12,110.73153686523438
2015-01-13,110.64328002929688
2015-01-14,110.7884521484375
2015-01-15,111.07879638671875
2015-01-16,112.1758041381836
2015-01-20,111.38529968261719
2015-01-21,112.0306167602539
2015-01-22,113.90196990966797
2015-01-23,113.9906997680664
2015-01-26,112.9743423461914
2015-01-27,110.66743469238281
2015-01-28,110.02213287353516
2015-01-29,108.47342681884766
2015-01-30,107.44905090332031
2015-02-02,109.79629516601562
2015-02-03,112.07901000976562
2015-02-04,111.740234375
2015-02-05,111.86930084228516
2015-02-06,112.35325622558594
2015-02-09,110.45771026611328
2015-02-10,111.44178771972656
2015-02-11,110.67550659179688
2015-02-12,111.4337158203125
2015-02-13,110.99813842773438
2015-02-17,111.35308074951172
2015-02-18,111.84508514404297
2015-02-19,112.53067016601562
2015-02-20,114.73278045654297
2015-02-23,113.94230651855469
2015-02-24,114.28105926513672
2015-02-25,113.0389175415039
2015-02-26,112.46617126464844
2015-02-27,111.94190216064453
2015-03-02,112.7646255493164
2015-03-03,110.5787124633789
2015-03-04,109.90116119384766
2015-03-05,110.04634094238281
2015-03-06,108.57022857666016
2015-03-09,109.6349868774414
2015-03-10,107.02961730957031
2015-03-11,106.71501922607422
2015-03-12,107.8200912475586
2015-03-13,106.62628173828125
2015-03-16,108.86871337890625
2015-03-17,108.19111633300781
2015-03-18,109.79629516601562
2015-03-19,109.11874389648438
2015-03-20,109.22358703613281
2015-03-23,109.60270690917969
2015-03-24,109.05421447753906
2015-03-25,107.89269256591797
2015-03-26,108.51378631591797
2015-03-27,108.92513275146484
2015-03-30,110.91748046875
2015-03-31,109.48170471191406
2015-04-01,108.07012939453125
2015-04-02,107.86846923828125
2015-04-06,109.30426788330078
2015-04-07,108.89290618896484
2015-04-08,109.64689636230469
2015-04-09,110.0846939086914
2015-04-10,110.19010162353516
2015-04-13,109.26585388183594
2015-04-14,107.9118881225586
2015-04-15,107.50647735595703
2015-04-16,107.95238494873047
2015-04-17,106.42818450927734
2015-04-20,108.05777740478516
2015-04-21,107.9443130493164
2015-04-22,108.40643310546875
2015-04-23,107.66862487792969
2015-04-24,108.72261810302734
2015-04-27,108.28479766845703
2015-04-28,108.2199478149414
2015-04-29,112.31429290771484
2015-04-30,111.33328247070312
2015-05-01,113.61963653564453
2015-05-04,113.99256134033203
2015-05-05,111.86835479736328
2015-05-06,111.5845947265625
2015-05-07,112.12781524658203
2015-05-08,114.85195922851562
2015-05-11,113.68447875976562
2015-05-12,113.04393768310547
2015-05-13,112.71155548095703
2015-05-14,114.2682113647461
2015-05-15,113.59529113769531
2015-05-18,113.73313903808594
2015-05-19,113.54662322998047
2015-05-20,113.46558380126953
2015-05-21,114.21147918701172
2015-05-22,113.21421813964844
2015-05-26,111.87651062011719
2015-05-27,113.9601058959961
2015-05-28,113.8385009765625
2015-05-29,113.63581848144531
2015-06-01,113.70878601074219
2015-06-02,113.99256134033203
2015-06-03,114.05738830566406
2015-06-04,112.67912292480469
2015-06-05,112.87373352050781
2015-06-08,112.16022491455078
2015-06-09,112.43586730957031
2015-06-10,114.7546615600586
2015-06-11,115.33029174804688
2015-06-12,115.16815948486328
2015-06-15,115.14382934570312
2015-06-16,116.12484741210938
2015-06-17,117.15450286865234
2015-06-18,118.36255645751953
2015-06-19,117.63285064697266
2015-06-22,117.85987091064453
2015-06-23,117.85987091064453
2015-06-24,117.98145294189453
2015-06-25,116.85458374023438
2015-06-26,118.15982818603516
2015-06-29,114.9979019165039
2015-06-30,115.43779754638672
2015-07-01,116.64363861083984
2015-07-02,116.62735748291016
2015-07-06,116.78213500976562
2015-07-07,117.03472137451172
2015-07-08,115.90222930908203
2015-07-09,117.22211456298828
2015-07-10,119.03080749511719
2015-07-13,119.13670349121094
2015-07-14,119.73956298828125
2015-07-15,119.96770477294922
2015-07-16,120.9453353881836
2015-07-17,121.10826110839844
2015-07-20,121.401611328125
2015-07-21,119.18558502197266
2015-07-22,118.31379699707031
2015-07-23,117.97164154052734
2015-07-24,116.1955337524414
2015-07-27,116.02445983886719
2015-07-28,117.55612182617188
2015-07-29,122.17558288574219
2015-07-30,122.43633270263672
2015-07-31,121.48308563232422
2015-08-03,121.27120971679688
2015-08-04,121.23055267333984
2015-08-05,122.0615463256836
2015-08-06,121.76825714111328
2015-08-07,121.98008728027344
2015-08-10,123.80502319335938
2015-08-11,122.69700622558594
2015-08-12,122.52589416503906
2015-08-13,122.64810943603516
2015-08-14,123.5198745727539
2015-08-17,124.53009796142578
2015-08-18,124.88045501708984
2015-08-19,124.44866180419922
2015-08-20,121.33644104003906
2015-08-21,118.27310180664062
2015-08-24,114.72087860107422
2015-08-25,113.11589813232422
2015-08-26,117.36058807373047
2015-08-27,118.27310180664062
2015-08-28,117.75164794921875
2015-08-31,115.7148666381836
2015-09-01,113.1566390991211
2015-09-02,116.0570297241211
2015-09-03,116.83916473388672
2015-09-04,115.02232360839844
2015-09-08,117.63762664794922
2015-09-09,116.07331085205078
2015-09-10,114.63941955566406
2015-09-11,115.59266662597656
2015-09-14,114.59050750732422
2015-09-15,115.51932525634766
2015-09-16,115.56005859375
2015-09-17,115.33193969726562
2015-09-18,113.4417724609375
2015-09-21,113.83283233642578
2015-09-22,112.39079284667969
