,GE
2014-01-02,109.52694702148438
2014-01-03,109.4472885131836
2014-01-06,108.57106018066406
2014-01-07,108.69055938720703
2014-01-08,108.37194061279297
2014-01-09,108.4117660522461
2014-01-10,107.37623596191406
2014-01-13,106.46021270751953
2014-01-14,107.4160385131836
2014-01-15,108.88968658447266
2014-01-16,108.33211517333984
2014-01-17,105.86280822753906
2014-01-21,104.7077407836914
2014-01-22,103.5129165649414
2014-01-23,102.83583068847656
2014-01-24,99.37081146240234
2014-01-27,99.8487319946289
2014-01-28,101.40204620361328
2014-01-29,100.72494506835938
2014-01-30,101.56134796142578
2014-01-31,100.08771514892578
2014-02-03,96.98111724853516
2014-02-04,97.85734558105469
2014-02-05,97.65819549560547
2014-02-06,99.37081146240234
2014-02-07,100.3266830444336
2014-02-10,99.76909637451172
2014-02-11,101.28255462646484
2014-02-12,101.12324523925781
2014-02-13,101.32237243652344
2014-02-14,102.51721954345703
2014-02-18,102.15874481201172
2014-02-19,101.16304779052734
2014-02-20,100.92201232910156
2014-02-21,100.19883728027344
2014-02-24,101.60499572753906
2014-02-25,101.52465057373047
2014-02-26,101.64518737792969
2014-02-27,102.44867706298828
2014-02-28,102.32814025878906
2014-03-03,100.92201232910156
2014-03-04,103.05134582519531
2014-03-05,104.1762466430664
2014-03-06,105.34136199951172
2014-03-07,104.97977447509766
2014-03-10,104.61821746826172
2014-03-11,104.05574035644531
2014-03-12,103.49327087402344
2014-03-13,101.80587005615234
2014-03-14,100.88185119628906
2014-03-17,102.16747283935547
2014-03-18,103.05134582519531
2014-03-19,101.5648422241211
2014-03-20,101.52465057373047
2014-03-21,102.04693603515625
2014-03-24,102.08711242675781
2014-03-25,103.25221252441406
2014-03-26,102.93079376220703
2014-03-27,103.69412994384766
2014-03-28,103.97539520263672
2014-03-31,104.01554870605469
2014-04-01,103.93521118164062
2014-04-02,104.61821746826172
2014-04-03,105.3815689086914
2014-04-04,104.53784942626953
2014-04-07,103.85485076904297
2014-04-08,103.4531021118164
2014-04-09,104.2566146850586
2014-04-10,102.77010345458984
2014-04-11,102.16747283935547
2014-04-14,103.2923812866211
2014-04-15,103.73431396484375
2014-04-16,104.93958282470703
2014-04-17,106.70732879638672
2014-04-21,106.8278579711914
2014-04-22,106.7877197265625
2014-04-23,106.14488983154297
2014-04-24,106.30558776855469
2014-04-25,106.86808776855469
2014-04-28,107.59119415283203
2014-04-29,107.51087188720703
2014-04-30,108.03315734863281
2014-05-01,107.55106353759766
2014-05-02,107.189453125
2014-05-05,106.7877197265625
2014-05-06,105.2208251953125
2014-05-07,106.5868148803711
2014-05-08,106.22523498535156
2014-05-09,106.14488983154297
2014-05-12,107.87246704101562
2014-05-13,108.15370178222656
2014-05-14,107.51087188720703
2014-05-15,106.86808776855469
2014-05-16,107.1492919921875
2014-05-19,106.9082260131836
2014-05-20,105.66279602050781
2014-05-21,106.42613220214844
2014-05-22,106.50647735595703
2014-05-23,106.50647735595703
2014-05-27,106.74751281738281
2014-05-28,107.10911560058594
2014-05-29,107.43052673339844
2014-05-30,107.63140106201172
2014-06-02,107.79212188720703
2014-06-03,107.63140106201172
2014-06-04,106.66719055175781
2014-06-05,107.55106353759766
2014-06-06,109.19827270507812
2014-06-09,110.24282836914062
2014-06-10,110.1222915649414
2014-06-11,109.07771301269531
2014-06-12,108.31438446044922
2014-06-13,108.63578033447266
2014-06-16,107.75191497802734
2014-06-17,107.95281982421875
2014-06-18,108.03315734863281
2014-06-19,109.0863265991211
2014-06-20,109.24836730957031
2014-06-23,108.07365417480469
2014-06-24,107.6686019897461
2014-06-25,107.02046966552734
2014-06-26,106.4938735961914
2014-06-27,107.06097412109375
2014-06-30,106.45333862304688
2014-07-01,106.93944549560547
2014-07-02,107.79010772705078
2014-07-03,108.80280303955078
2014-07-07,108.3572006225586
2014-07-08,106.81791687011719
2014-07-09,106.61540222167969
2014-07-10,106.12931060791016
2014-07-11,107.54708099365234
2014-07-14,107.9926528930664
2014-07-15,107.79010772705078
2014-07-16,109.4509048461914
2014-07-17,107.79010772705078
2014-07-18,107.1824951171875
2014-07-21,105.23812103271484
2014-07-22,105.40017700195312
2014-07-23,104.95459747314453
2014-07-24,105.07611083984375
2014-07-25,104.46849822998047
2014-07-28,103.6583480834961
2014-07-29,103.09126281738281
2014-07-30,103.86088562011719
2014-07-31,101.87600708007812
2014-08-01,102.6861801147461
2014-08-04,102.36212158203125
2014-08-05,101.34942626953125
2014-08-06,103.05076599121094
2014-08-07,103.29376983642578
2014-08-08,103.9419174194336
2014-08-11,104.46849822998047
2014-08-12,103.73937225341797
2014-08-13,104.63055419921875
2014-08-14,104.83308410644531
2014-08-15,103.86088562011719
2014-08-18,105.60270690917969
2014-08-19,105.52168273925781
2014-08-20,106.77742767333984
2014-08-21,107.06097412109375
2014-08-22,105.92675018310547
2014-08-25,106.12931060791016
2014-08-26,105.35966491699219
2014-08-27,105.84574890136719
2014-08-28,105.35966491699219
2014-08-29,105.23812103271484
2014-09-02,104.71154022216797
2014-09-03,105.11662292480469
2014-09-04,105.15711975097656
2014-09-05,105.72422790527344
2014-09-08,105.64324188232422
2014-09-09,104.91409301757812
2014-09-10,105.11662292480469
2014-09-11,105.40017700195312
2014-09-12,104.79256439208984
2014-09-15,104.9951171875
2014-09-16,106.1698226928711
2014-09-17,106.412841796875
2014-09-18,107.06645202636719
2014-09-19,107.39322662353516
2014-09-22,106.53541564941406
2014-09-23,106.2903060913086
2014-09-24,105.92264556884766
2014-09-25,104.37039947509766
2014-09-26,104.69717407226562
2014-09-29,103.83937072753906
2014-09-30,104.65630340576172
2014-10-01,102.77723693847656
2014-10-02,102.61386108398438
2014-10-03,103.75762939453125
2014-10-06,103.02235412597656
2014-10-07,101.34750366210938
2014-10-08,103.14491271972656
2014-10-09,101.2249755859375
2014-10-10,99.14165496826172
2014-10-13,97.83447265625
2014-10-14,98.44721984863281
2014-10-15,99.18251037597656
2014-10-16,99.05995178222656
2014-10-17,101.38837432861328
2014-10-20,102.2462158203125
2014-10-21,103.96189880371094
2014-10-22,102.89979553222656
2014-10-23,103.92105102539062
2014-10-24,104.73802185058594
2014-10-27,104.24784088134766
2014-10-28,105.71842193603516
2014-10-29,104.81973266601562
2014-10-30,104.86056518554688
2014-10-31,105.43246459960938
2014-11-03,104.98312377929688
2014-11-04,104.98312377929688
2014-11-05,105.47330474853516
2014-11-06,107.67919158935547
2014-11-07,107.88345336914062
2014-11-10,108.1285400390625
2014-11-11,107.76089477539062
2014-11-12,108.332763671875
2014-11-13,107.9242935180664
2014-11-14,108.08767700195312
2014-11-17,108.7004165649414
2014-11-18,110.33442687988281
2014-11-19,109.96676635742188
2014-11-20,109.68083190917969
2014-11-21,110.25272369384766
2014-11-24,110.2935562133789
2014-11-25,109.72168731689453
2014-11-26,109.76252746582031
2014-11-28,108.2102279663086
2014-12-01,106.2903060913086
2014-12-02,106.41285705566406
2014-12-03,107.76089477539062
2014-12-04,106.57623291015625
2014-12-05,106.24947357177734
2014-12-08,104.94229125976562
2014-12-09,104.4929428100586
2014-12-10,103.22659301757812
2014-12-11,103.79849243164062
2014-12-12,101.67427825927734
2014-12-15,100.44883728027344
2014-12-16,100.04032897949219
2014-12-17,100.73477935791016
2014-12-18,103.66240692138672
2014-12-19,105.64163970947266
2014-12-22,106.01274108886719
2014-12-23,106.71372985839844
2014-12-24,106.50756072998047
2014-12-26,106.30137634277344
2014-12-29,105.97148132324219
2014-12-30,105.43546295166016
2014-12-31,104.19844818115234
2015-01-02,103.33252716064453
2015-01-05,101.4357681274414
2015-01-06,99.25038146972656
2015-01-07,99.29157257080078
2015-01-08,100.48738861083984
2015-01-09,99.08541870117188
2015-01-12,98.87925720214844
2015-01-13,98.38444519042969
2015-01-14,98.05459594726562
2015-01-15,97.22989654541016
2015-01-16,97.2711181640625
2015-01-20,98.34323120117188
2015-01-21,99.12665557861328
2015-01-22,100.11627197265625
2015-01-23,100.94097137451172
2015-01-26,101.39452362060547
2015-01-27,100.52861022949219
2015-01-28,98.3019790649414
2015-01-29,99.29157257080078
2015-01-30,98.50814819335938
2015-02-02,99.82763671875
2015-02-03,100.89972686767578
2015-02-04,99.62144470214844
2015-02-05,101.02344512939453
2015-02-06,101.10589599609375
2015-02-09,101.60069274902344
2015-02-10,101.93058013916016
2015-02-11,102.1367416381836
2015-02-12,102.63155364990234
2015-02-13,103.70362854003906
2015-02-17,103.78608703613281
2015-02-18,104.11598205566406
2015-02-19,104.07437133789062
2015-02-20,104.90660095214844
2015-02-23,104.74018096923828
2015-02-24,105.6556625366211
2015-02-25,107.81954193115234
2015-02-26,107.7363052368164
2015-02-27,108.15245819091797
2015-03-02,108.65178680419922
2015-03-03,107.61146545410156
2015-03-04,106.77921295166016
2015-03-05,107.44500732421875
2015-03-06,105.78050994873047
2015-03-09,106.69598388671875
2015-03-10,104.74018096923828
2015-03-11,104.82340240478516
2015-03-12,105.69727325439453
2015-03-13,104.19921112060547
2015-03-16,105.90531921386719
2015-03-17,105.32274627685547
2015-03-18,106.69598388671875
2015-03-19,105.40596771240234
2015-03-20,105.69727325439453
2015-03-23,105.98853302001953
2015-03-24,105.15631103515625
2015-03-25,103.65821838378906
2015-03-26,103.20047760009766
2015-03-27,103.45016479492188
2015-03-30,104.5321044921875
2015-03-31,103.24208068847656
2015-04-01,103.36693572998047
2015-04-02,103.78307342529297
2015-04-06,104.78179168701172
2015-04-07,104.11598205566406
2015-04-08,104.07437133789062
2015-04-09,107.07051086425781
2015-04-10,118.638916015625
2015-04-13,114.97698211669922
2015-04-14,115.39312744140625
2015-04-15,114.26956939697266
2015-04-16,113.52050018310547
2015-04-17,113.39570617675781
2015-04-20,112.43860626220703
2015-04-21,110.77407836914062
2015-04-22,111.98084259033203
2015-04-23,111.73117065429688
2015-04-24,111.52310180664062
2015-04-27,111.85602569580078
2015-04-28,112.854736328125
2015-04-29,112.7298812866211
2015-04-30,112.68827819824219
2015-05-01,113.64539337158203
2015-05-04,113.47893524169922
2015-05-05,112.0224838256836
2015-05-06,111.56472778320312
2015-05-07,112.5218276977539
2015-05-08,113.85343933105469
2015-05-11,112.0224838256836
2015-05-12,112.48021697998047
2015-05-13,113.22925567626953
2015-05-14,114.0615234375
2015-05-15,113.47893524169922
2015-05-18,113.64539337158203
2015-05-19,113.81183624267578
2015-05-20,115.0185775756836
2015-05-21,115.35152435302734
2015-05-22,115.18502807617188
2015-05-26,114.51927947998047
2015-05-27,114.51927947998047
2015-05-28,114.97698211669922
2015-05-29,113.47893524169922
2015-06-01,113.52050018310547
2015-06-02,113.7286148071289
2015-06-03,114.56084442138672
2015-06-04,113.43730926513672
2015-06-05,113.56214904785156
2015-06-08,113.35408020019531
2015-06-09,113.7286148071289
2015-06-10,114.97698211669922
2015-06-11,114.47764587402344
2015-06-12,113.97827911376953
2015-06-15,113.22925567626953
2015-06-16,113.27085876464844
2015-06-17,113.47893524169922
2015-06-18,114.86382293701172
2015-06-19,114.31826782226562
2015-06-22,115.07368469238281
2015-06-23,115.61922454833984
2015-06-24,114.40220642089844
2015-06-25,113.47893524169922
2015-06-26,113.68875122070312
2015-06-29,111.80023956298828
2015-06-30,111.5064697265625
2015-07-01,111.88416290283203
2015-07-02,112.38777923583984
2015-07-06,110.41532897949219
2015-07-07,111.0868148803711
2015-07-08,108.6526870727539
2015-07-09,109.1982650756836
2015-07-10,110.24747467041016
2015-07-13,111.0868148803711
2015-07-14,111.88416290283203
2015-07-15,112.34580993652344
2015-07-16,113.47893524169922
2015-07-17,114.31826782226562
2015-07-20,113.89860534667969
2015-07-21,112.68154907226562
2015-07-22,111.7582778930664
2015-07-23,110.20548248291016
2015-07-24,108.06515502929688
2015-07-27,108.90450286865234
2015-07-28,109.5340347290039
2015-07-29,110.20548248291016
2015-07-30,109.6179428100586
2015-07-31,109.5340347290039
2015-08-03,108.56875610351562
2015-08-04,108.69470977783203
2015-08-05,109.5340347290039
2015-08-06,109.24028015136719
2015-08-07,108.2330322265625
2015-08-10,110.12155151367188
2015-08-11,107.89732360839844
2015-08-12,108.52681732177734
2015-08-13,108.2330322265625
2015-08-14,109.45011138916016
2015-08-17,109.99566650390625
2015-08-18,109.40811157226562
2015-08-19,107.98125457763672
2015-08-20,105.71501159667969
2015-08-21,103.1969985961914
2015-08-24,100.1753921508789
2015-08-25,97.6573257446289
2015-08-26,100.76290893554688
2015-08-27,104.95960235595703
2015-08-28,105.5890884399414
2015-08-31,104.16222381591797
2015-09-01,100.21731567382812
2015-09-02,103.1130599975586
2015-09-03,102.86125946044922
2015-09-04,100.720947265625
2015-09-08,104.7497787475586
2015-09-09,103.02911376953125
2015-09-10,103.57469940185547
2015-09-11,104.70780181884766
2015-09-14,103.9524154663086
2015-09-15,106.17665100097656
2015-09-16,108.82058715820312
2015-09-17,107.33859252929688
2015-09-18,105.00975799560547
2015-09-21,106.23768615722656
2015-09-22,106.32235717773438
2015-09-23,106.44940185546875
2015-09-24,105.47551727294922
2015-09-25,105.51786804199219
2015-09-28,102.93494415283203
2015-09-29,104.03588104248047
2015-09-30,106.78814697265625
2015-10-01,106.66109466552734
2015-10-02,107.84669494628906
2015-10-05,113.56295013427734
2015-10-06,115.5531005859375
2015-10-07,117.58549499511719
2015-10-08,118.68640899658203
2015-10-09,118.85578155517578
2015-10-12,118.94043731689453
2015-10-13,118.00892639160156
2015-10-14,116.86566925048828
2015-10-15,118.68640899658203
2015-10-16,122.70895385742188
2015-10-19,122.75129699707031
2015-10-20,121.86210632324219
2015-10-21,122.15850830078125
2015-10-22,125.2495346069336
2015-10-23,124.95307159423828
2015-10-26,125.12251281738281
2015-10-27,124.74142456054688
2015-10-28,124.44506072998047
2015-10-29,124.2332992553711
2015-10-30,122.4549331665039
2015-11-02,124.48736572265625
2015-11-03,125.29182434082031
2015-11-04,125.0801773071289
2015-11-05,125.50357818603516
2015-11-06,126.6891860961914
2015-11-09,125.96934509277344
2015-11-10,127.53604888916016
2015-11-11,129.86489868164062
2015-11-12,127.70542907714844
2015-11-13,128.21356201171875
2015-11-16,128.55224609375
2015-11-17,128.38282775878906
2015-11-18,129.22967529296875
2015-11-19,128.17115783691406
2015-11-20,129.822509765625
2015-11-23,129.52610778808594
2015-11-24,129.822509765625
2015-11-25,128.55224609375
2015-11-27,128.55224609375
2015-11-30,126.77388763427734
2015-12-01,127.74773406982422
2015-12-02,126.90089416503906
2015-12-03,127.15489196777344
2015-12-04,129.10269165039062
2015-12-07,128.59457397460938
2015-12-08,127.83243560791016
2015-12-09,129.01805114746094
2015-12-10,129.78018188476562
2015-12-11,128.12884521484375
2015-12-14,128.12884521484375
2015-12-15,128.38282775878906
2015-12-16,131.177490234375
2015-12-17,130.3242950439453
2015-12-18,129.1725616455078
2015-12-21,129.6844482421875
2015-12-22,130.06832885742188
2015-12-23,132.0307159423828
2015-12-24,131.5187530517578
2015-12-28,131.81741333007812
2015-12-29,133.43838500976562
2015-12-30,132.45729064941406
2015-12-31,132.8838653564453
2016-01-04,131.0068817138672
2016-01-05,131.13485717773438
2016-01-06,129.04454040527344
2016-01-07,123.58413696289062
2016-01-08,121.36581420898438
2016-01-11,121.92040252685547
