,GL
2014-01-02,47.073509216308594
2014-01-03,47.164695739746094
2014-01-06,46.994476318359375
2014-01-07,47.383567810058594
2014-01-08,47.74225997924805
2014-01-09,47.839534759521484
2014-01-10,47.584190368652344
2014-01-13,46.91544723510742
2014-01-14,47.614593505859375
2014-01-15,47.66929244995117
2014-01-16,47.40181350708008
2014-01-17,47.24374008178711
2014-01-21,47.01879119873047
2014-01-22,47.08566665649414
2014-01-23,46.48379898071289
2014-01-24,45.328697204589844
2014-01-27,45.09159469604492
2014-01-28,45.3773193359375
2014-01-29,45.03080749511719
2014-01-30,46.02176284790039
2014-01-31,45.68738555908203
2014-02-03,44.106712341308594
2014-02-04,44.35597610473633
2014-02-05,44.44717788696289
2014-02-06,44.98823928833008
2014-02-07,45.644832611083984
2014-02-10,45.72386932373047
2014-02-11,45.91233825683594
2014-02-12,45.76642608642578
2014-02-13,46.112945556640625
2014-02-14,46.11903762817383
2014-02-18,46.62969970703125
2014-02-19,46.033912658691406
2014-02-20,46.258853912353516
2014-02-21,46.252777099609375
2014-02-24,46.22847366333008
2014-02-25,46.22239303588867
2014-02-26,46.252777099609375
2014-02-27,46.56891632080078
2014-02-28,47.12215805053711
2014-03-03,46.82426452636719
2014-03-04,47.78481674194336
2014-03-05,47.83345413208008
2014-03-06,48.27119064331055
2014-03-07,48.80007553100586
2014-03-10,48.532588958740234
2014-03-11,48.00367736816406
2014-03-12,47.985435485839844
2014-03-13,47.50516891479492
2014-03-14,47.4139518737793
2014-03-17,47.65106201171875
2014-03-18,47.955020904541016
2014-03-19,47.7909049987793
2014-03-20,47.912479400634766
2014-03-21,48.15566635131836
2014-03-24,47.924644470214844
2014-03-25,47.888160705566406
2014-03-26,47.32277297973633
2014-03-27,46.7999267578125
2014-03-28,47.024879455566406
2014-03-31,47.84560775756836
2014-04-01,48.199073791503906
2014-04-02,48.223445892333984
2014-04-03,48.260009765625
2014-04-04,47.7907600402832
2014-04-07,47.12038040161133
2014-04-08,47.394622802734375
2014-04-09,47.93700408935547
2014-04-10,47.10820770263672
2014-04-11,46.596290588378906
2014-04-14,46.663330078125
2014-04-15,47.004600524902344
2014-04-16,47.565277099609375
2014-04-17,47.82732391357422
2014-04-21,47.57746887207031
2014-04-22,47.845611572265625
2014-04-23,48.14423751831055
2014-04-24,48.07719421386719
2014-04-25,47.77248001098633
2014-04-28,47.565277099609375
2014-04-29,48.0162467956543
2014-04-30,48.5708122253418
2014-05-01,48.62566375732422
2014-05-02,48.78411102294922
2014-05-05,48.778018951416016
2014-05-06,48.235626220703125
2014-05-07,48.91209411621094
2014-05-08,49.17414474487305
2014-05-09,49.204612731933594
2014-05-12,49.72871780395508
2014-05-13,49.69824981689453
2014-05-14,49.11928939819336
2014-05-15,48.63175964355469
2014-05-16,48.74144744873047
2014-05-19,49.02787780761719
2014-05-20,48.765838623046875
2014-05-21,49.21071243286133
2014-05-22,49.31431579589844
2014-05-23,49.41790771484375
2014-05-27,49.5458869934082
2014-05-28,49.29602813720703
2014-05-29,49.387664794921875
2014-05-30,49.43653106689453
2014-06-02,49.81526565551758
2014-06-03,49.91909408569336
2014-06-04,50.08403015136719
2014-06-05,50.12680435180664
2014-06-06,50.34669494628906
2014-06-09,50.37112808227539
2014-06-10,50.46277618408203
2014-06-11,50.090145111083984
2014-06-12,49.64421463012695
2014-06-13,49.76028060913086
2014-06-16,49.71140670776367
2014-06-17,50.34669494628906
2014-06-18,50.420005798339844
2014-06-19,50.25508117675781
2014-06-20,50.261192321777344
2014-06-23,50.22452163696289
2014-06-24,50.022945404052734
2014-06-25,50.248966217041016
2014-06-26,50.212310791015625
2014-06-27,50.07792663574219
2014-06-30,50.0412712097168
2014-07-01,50.32837677001953
2014-07-02,50.23979949951172
2014-07-03,50.59716033935547
2014-07-07,50.56050109863281
2014-07-08,50.37723922729492
2014-07-09,50.49635314941406
2014-07-10,50.19398880004883
2014-07-11,50.505531311035156
2014-07-14,50.6246337890625
2014-07-15,51.01864242553711
2014-07-16,50.752925872802734
2014-07-17,49.928260803222656
2014-07-18,50.57882308959961
2014-07-21,50.14816665649414
2014-07-22,50.27644348144531
2014-07-23,49.97407150268555
2014-07-24,49.51593017578125
2014-07-25,49.04861831665039
2014-07-28,49.70835876464844
2014-07-29,49.20440673828125
2014-07-30,49.094444274902344
2014-07-31,48.32477569580078
2014-08-01,48.27894592285156
2014-08-04,48.8378791809082
2014-08-05,48.672950744628906
2014-08-06,48.98450469970703
2014-08-07,48.535518646240234
2014-08-08,48.865379333496094
2014-08-11,48.54468536376953
2014-08-12,48.56300354003906
2014-08-13,48.737098693847656
2014-08-14,49.066959381103516
2014-08-15,48.801231384277344
2014-08-18,49.35100555419922
2014-08-19,49.29603576660156
2014-08-20,49.50678253173828
2014-08-21,49.909934997558594
2014-08-22,49.552581787109375
2014-08-25,49.96491241455078
2014-08-26,50.248966217041016
2014-08-27,50.26729965209961
2014-08-28,50.3314323425293
2014-08-29,49.98324966430664
2014-09-02,49.909934997558594
2014-09-03,49.854949951171875
2014-09-04,49.62588882446289
2014-09-05,49.69918441772461
2014-09-08,49.5892448425293
2014-09-09,49.02114486694336
2014-09-10,49.11277389526367
2014-09-11,49.10359573364258
2014-09-12,49.15858459472656
2014-09-15,48.92034912109375
2014-09-16,49.04861831665039
2014-09-17,49.10359573364258
2014-09-18,49.32352066040039
2014-09-19,49.07612609863281
2014-09-22,48.79207992553711
2014-09-23,48.214805603027344
2014-09-24,48.801231384277344
2014-09-25,48.169010162353516
2014-09-26,48.526344299316406
2014-09-29,48.23313903808594
2014-09-30,47.985748291015625
2014-10-01,47.68906784057617
2014-10-02,47.82683563232422
