,GS
2014-01-02,143.30152893066406
2014-01-03,144.32225036621094
2014-01-06,145.31060791015625
2014-01-07,144.43565368652344
2014-01-08,144.5572052001953
2014-01-09,143.7146759033203
2014-01-10,144.5167236328125
2014-01-13,142.48330688476562
2014-01-14,143.06658935546875
2014-01-15,144.8083038330078
2014-01-16,141.90814208984375
2014-01-17,142.80738830566406
2014-01-21,140.31224060058594
2014-01-22,140.7010498046875
2014-01-23,138.3274383544922
2014-01-24,135.8079376220703
2014-01-27,133.4180908203125
2014-01-28,134.68191528320312
2014-01-29,132.77813720703125
2014-01-30,134.34974670410156
2014-01-31,132.95632934570312
2014-02-03,129.47286987304688
2014-02-04,131.04441833496094
2014-02-05,129.9589080810547
2014-02-06,131.0363006591797
2014-02-07,131.18215942382812
2014-02-10,130.4288330078125
2014-02-11,133.17503356933594
2014-02-12,132.4540557861328
2014-02-13,132.9076690673828
2014-02-14,132.6322784423828
2014-02-18,133.3857421875
2014-02-19,132.25967407226562
2014-02-20,133.26419067382812
2014-02-21,133.26419067382812
2014-02-24,134.91677856445312
2014-02-25,132.4378662109375
2014-02-26,132.33224487304688
2014-02-27,134.4293670654297
2014-02-28,135.2991180419922
2014-03-03,133.9091339111328
2014-03-04,137.1523895263672
2014-03-05,139.72915649414062
2014-03-06,140.29815673828125
2014-03-07,141.64749145507812
2014-03-10,141.0377960205078
2014-03-11,138.09527587890625
2014-03-12,137.9571533203125
2014-03-13,135.5022735595703
2014-03-14,134.40499877929688
2014-03-17,135.61605834960938
2014-03-18,136.6322021484375
2014-03-19,136.705322265625
2014-03-20,137.5507354736328
2014-03-21,135.70550537109375
2014-03-24,134.7056884765625
2014-03-25,132.6979217529297
2014-03-26,131.46246337890625
2014-03-27,131.91763305664062
2014-03-28,131.92576599121094
2014-03-31,133.18565368652344
2014-04-01,134.8682861328125
2014-04-02,135.96568298339844
2014-04-03,135.00650024414062
2014-04-04,132.6898651123047
2014-04-07,128.8857879638672
2014-04-08,127.2600326538086
2014-04-09,128.56051635742188
2014-04-10,126.78854370117188
2014-04-11,124.13866424560547
2014-04-14,125.78062438964844
2014-04-15,125.92691040039062
2014-04-16,127.79646301269531
2014-04-17,127.975341796875
2014-04-21,128.2679901123047
2014-04-22,130.43008422851562
2014-04-23,130.42202758789062
2014-04-24,130.7471160888672
2014-04-25,128.62557983398438
2014-04-28,127.24372863769531
2014-04-29,128.62557983398438
2014-04-30,129.909912109375
2014-05-01,130.35693359375
2014-05-02,129.14578247070312
2014-05-05,127.08930969238281
2014-05-06,125.6180419921875
2014-05-07,126.41468048095703
2014-05-08,127.94281005859375
2014-05-09,127.78022003173828
2014-05-12,129.69041442871094
2014-05-13,130.2838134765625
2014-05-14,129.609130859375
2014-05-15,127.32504272460938
2014-05-16,127.15433502197266
2014-05-19,128.16224670410156
2014-05-20,127.08930969238281
2014-05-21,129.52789306640625
2014-05-22,129.9342803955078
2014-05-23,130.18626403808594
2014-05-27,131.49493408203125
2014-05-28,131.47047424316406
2014-05-29,131.10348510742188
2014-05-30,130.3449249267578
2014-06-02,130.52435302734375
2014-06-03,131.96800231933594
2014-06-04,132.44923400878906
2014-06-05,132.6041717529297
2014-06-06,135.54861450195312
2014-06-09,135.39364624023438
2014-06-10,135.68727111816406
2014-06-11,134.92874145507812
2014-06-12,135.36106872558594
2014-06-13,135.3039093017578
2014-06-16,135.27127075195312
2014-06-17,137.2042999267578
2014-06-18,138.54193115234375
2014-06-19,138.4358673095703
