,HUM
2014-01-02,95.12113189697266
2014-01-03,94.12220001220703
2014-01-06,93.19728088378906
2014-01-07,93.0030288696289
2014-01-08,91.93933868408203
2014-01-09,91.56012725830078
2014-01-10,89.6825180053711
2014-01-13,88.82230377197266
2014-01-14,89.52523040771484
2014-01-15,89.83973693847656
2014-01-16,88.94254302978516
2014-01-17,89.32174682617188
2014-01-21,88.48005676269531
2014-01-22,88.92402648925781
2014-01-23,88.97026062011719
2014-01-24,88.79450225830078
2014-01-27,88.83153533935547
2014-01-28,88.81302642822266
2014-01-29,89.2755126953125
2014-01-30,90.80164337158203
2014-01-31,89.9969482421875
2014-02-03,89.12751770019531
2014-02-04,90.15421295166016
2014-02-05,88.52630615234375
2014-02-06,89.4050064086914
2014-02-07,88.76678466796875
2014-02-10,89.2292709350586
2014-02-11,89.96922302246094
2014-02-12,88.4153060913086
2014-02-13,89.73796844482422
2014-02-14,92.70703125
2014-02-18,94.63089752197266
2014-02-19,94.3257064819336
2014-02-20,94.56617736816406
2014-02-21,95.10261535644531
2014-02-24,105.15679931640625
2014-02-25,102.19696044921875
2014-02-26,102.03047180175781
2014-02-27,102.3172378540039
2014-02-28,104.01910400390625
2014-03-03,103.79711151123047
2014-03-04,103.91734313964844
2014-03-05,103.55660247802734
2014-03-06,103.10340881347656
2014-03-07,102.59468841552734
2014-03-10,102.55769348144531
2014-03-11,102.07673645019531
2014-03-12,102.65943145751953
2014-03-13,101.39226531982422
2014-03-14,101.2719955444336
2014-03-17,103.16816711425781
2014-03-18,104.93479919433594
2014-03-19,108.18134307861328
2014-03-20,109.86470794677734
2014-03-21,108.20911407470703
2014-03-24,105.24927520751953
2014-03-25,105.6285171508789
2014-03-26,104.45382690429688
2014-03-27,103.89750671386719
2014-03-28,104.84323120117188
2014-03-31,104.50944519042969
2014-04-01,105.01936340332031
2014-04-02,103.9995346069336
2014-04-03,105.7796630859375
2014-04-04,104.03660583496094
2014-04-07,103.84190368652344
2014-04-08,103.1650619506836
2014-04-09,105.603515625
2014-04-10,101.67234802246094
2014-04-11,100.28163146972656
2014-04-14,101.29220581054688
2014-04-15,101.66305541992188
2014-04-16,100.875
2014-04-17,97.1107177734375
2014-04-21,97.70409393310547
2014-04-22,100.02198028564453
2014-04-23,100.01272583007812
2014-04-24,100.89352416992188
2014-04-25,101.2272720336914
2014-04-28,101.03260040283203
2014-04-29,101.10677337646484
2014-04-30,101.75577545166016
2014-05-01,101.4498062133789
2014-05-02,100.95841979980469
2014-05-05,102.09880828857422
2014-05-06,101.79287719726562
2014-05-07,110.37834930419922
2014-05-08,108.21807861328125
2014-05-09,111.2962646484375
2014-05-12,114.6154556274414
2014-05-13,113.03929901123047
2014-05-14,111.24987030029297
2014-05-15,110.85120391845703
2014-05-16,110.3320083618164
2014-05-19,112.5015640258789
2014-05-20,112.49230194091797
2014-05-21,113.49363708496094
2014-05-22,114.32804870605469
2014-05-23,115.42211151123047
2014-05-27,116.12674713134766
2014-05-28,115.26448822021484
2014-05-29,115.48702239990234
2014-05-30,115.3943099975586
2014-06-02,116.26581573486328
2014-06-03,115.33869934082031
2014-06-04,116.11746978759766
2014-06-05,115.2923355102539
2014-06-06,117.1744384765625
2014-06-09,116.2472915649414
2014-06-10,117.32279968261719
2014-06-11,117.64730072021484
2014-06-12,116.11746978759766
2014-06-13,115.5797348022461
2014-06-16,114.0870132446289
2014-06-17,113.97573852539062
2014-06-18,115.76518249511719
2014-06-19,117.3598861694336
2014-06-20,117.88835906982422
2014-06-23,118.04596710205078
2014-06-24,117.81420135498047
2014-06-25,119.55725860595703
2014-06-26,118.7488784790039
2014-06-27,118.38651275634766
2014-06-30,118.67453002929688
