,IBM
2014-01-02,113.39095306396484
2014-01-03,114.06939697265625
2014-01-06,113.67820739746094
2014-01-07,115.9456787109375
2014-01-08,114.8822250366211
2014-01-09,114.52165985107422
2014-01-10,114.44831085205078
2014-01-13,112.5536880493164
2014-01-14,113.62934112548828
2014-01-15,114.74163818359375
2014-01-16,115.3650131225586
2014-01-17,116.17792510986328
2014-01-21,115.16336822509766
2014-01-22,111.38630676269531
2014-01-23,111.67969512939453
2014-01-24,109.7911376953125
2014-01-27,108.72769927978516
2014-01-28,108.08599853515625
2014-01-29,107.81097412109375
2014-01-30,108.39771270751953
2014-01-31,107.98210906982422
2014-02-03,105.67185974121094
2014-02-04,105.63517761230469
2014-02-05,106.49082946777344
2014-02-06,107.3388671875
2014-02-07,108.92436218261719
2014-02-10,108.85673522949219
2014-02-11,110.42996215820312
2014-02-12,110.76178741455078
2014-02-13,111.74502563476562
2014-02-14,112.88188934326172
2014-02-18,112.5745620727539
2014-02-19,112.42713928222656
2014-02-20,113.2321548461914
2014-02-21,112.32880401611328
2014-02-24,112.73440551757812
2014-02-25,112.59920501708984
2014-02-26,113.10924530029297
2014-02-27,113.85282897949219
2014-02-28,113.79137420654297
2014-03-03,113.2321548461914
2014-03-04,114.57180786132812
2014-03-05,115.00198364257812
2014-03-06,115.30923461914062
2014-03-07,115.3338623046875
2014-03-10,114.54107666015625
2014-03-11,114.76849365234375
2014-03-12,114.43665313720703
2014-03-13,113.01091766357422
2014-03-14,111.97237396240234
2014-03-17,114.18467712402344
2014-03-18,114.7991943359375
2014-03-19,113.50867462158203
2014-03-20,115.46900177001953
2014-03-21,114.713134765625
2014-03-24,115.68411254882812
2014-03-25,119.85671997070312
2014-03-26,118.36959075927734
2014-03-27,116.6550521850586
2014-03-28,117.03604888916016
2014-03-31,118.28968048095703
2014-04-01,119.52489471435547
2014-04-02,118.9410629272461
2014-04-03,118.41259765625
2014-04-04,117.8471908569336
2014-04-07,119.53717803955078
2014-04-08,118.78128051757812
2014-04-09,120.8399658203125
2014-04-10,120.25000762939453
2014-04-11,119.94890594482422
2014-04-14,121.53436279296875
2014-04-15,121.073486328125
2014-04-16,120.69247436523438
2014-04-17,116.76569366455078
2014-04-21,118.15448760986328
2014-04-22,118.08077239990234
2014-04-23,117.82263946533203
2014-04-24,116.89471435546875
2014-04-25,116.53215026855469
2014-04-28,118.68916320800781
2014-04-29,119.89974975585938
2014-04-30,120.73548126220703
2014-05-01,118.92879486083984
2014-05-02,117.64445495605469
2014-05-05,117.53382873535156
2014-05-06,116.7779312133789
2014-05-07,117.0066909790039
2014-05-08,116.7656021118164
2014-05-09,117.48880004882812
2014-05-12,119.02783203125
2014-05-13,118.7929916381836
2014-05-14,116.64817810058594
2014-05-15,115.25127410888672
2014-05-16,115.6220932006836
2014-05-19,115.58502197265625
2014-05-20,114.28085327148438
2014-05-21,115.20796966552734
2014-05-22,114.76911926269531
2014-05-23,114.92987060546875
2014-05-27,114.21283721923828
2014-05-28,113.16209411621094
2014-05-29,113.5823745727539
2014-05-30,113.95323944091797
2014-06-02,114.7752914428711
2014-06-03,113.95940399169922
2014-06-04,114.04596710205078
2014-06-05,114.9546127319336
2014-06-06,115.19563293457031
2014-06-09,115.1029281616211
2014-06-10,113.90998077392578
2014-06-11,112.6490707397461
2014-06-12,112.01239776611328
2014-06-13,112.84064483642578
2014-06-16,112.71085357666016
2014-06-17,112.65521240234375
2014-06-18,113.48348999023438
2014-06-19,113.00133514404297
2014-06-20,112.21637725830078
2014-06-23,112.58103942871094
2014-06-24,111.80221557617188
2014-06-25,111.70335388183594
2014-06-26,111.48701477050781
2014-06-27,112.3152847290039
2014-06-30,112.04330444335938
2014-07-01,115.18328857421875
2014-07-02,116.44418334960938
2014-07-03,116.53069305419922
2014-07-07,116.22787475585938
2014-07-08,115.72096252441406
2014-07-09,116.46271514892578
2014-07-10,116.01768493652344
2014-07-11,116.20311737060547
2014-07-14,117.35277557373047
2014-07-15,116.50601196289062
2014-07-16,118.89805603027344
2014-07-17,118.97840118408203
2014-07-18,118.984619140625
2014-07-21,117.96471405029297
2014-07-22,119.96733856201172
2014-07-23,119.68304443359375
2014-07-24,120.67818450927734
2014-07-25,120.15896606445312
2014-07-28,121.011962890625
2014-07-29,120.26405334472656
2014-07-30,119.91169738769531
2014-07-31,118.47154235839844
2014-08-01,116.9139404296875
2014-08-04,117.2168197631836
2014-08-05,115.64682006835938
2014-08-06,115.62821197509766
2014-08-07,114.58985137939453
2014-08-08,116.03853607177734
2014-08-11,116.56080627441406
2014-08-12,116.48001098632812
2014-08-13,116.85926818847656
2014-08-14,116.81572723388672
2014-08-15,116.5048599243164
2014-08-18,117.73595428466797
2014-08-19,118.17739868164062
2014-08-20,118.196044921875
2014-08-21,118.89862060546875
2014-08-22,118.38875579833984
2014-08-25,118.85508728027344
2014-08-26,119.99293518066406
2014-08-27,119.5328369140625
2014-08-28,119.37735748291016
2014-08-29,119.56389617919922
2014-09-02,119.10376739501953
2014-09-03,119.34625244140625
2014-09-04,118.55662536621094
2014-09-05,118.87994384765625
2014-09-08,118.2209243774414
2014-09-09,118.12762451171875
2014-09-10,119.09138488769531
2014-09-11,119.2032699584961
2014-09-12,118.92970275878906
2014-09-15,119.25927734375
2014-09-16,119.9742660522461
2014-09-17,119.874755859375
2014-09-18,120.4654541015625
2014-09-19,120.62090301513672
2014-09-22,120.06754302978516
2014-09-23,119.1410903930664
2014-09-24,119.57013702392578
2014-09-25,117.51832580566406
2014-09-26,118.17119598388672
2014-09-29,117.91004943847656
2014-09-30,118.02816772460938
2014-10-01,116.37430572509766
2014-10-02,116.21261596679688
2014-10-03,117.30691528320312
2014-10-06,117.53700256347656
2014-10-07,115.4665298461914
2014-10-08,117.73595428466797
2014-10-09,115.90798950195312
2014-10-10,115.60332489013672
2014-10-13,114.10489654541016
2014-10-14,114.27896881103516
2014-10-15,113.0043716430664
2014-10-16,111.81678771972656
2014-10-17,113.19091033935547
2014-10-20,105.13915252685547
2014-10-21,101.48942565917969
2014-10-22,100.59410858154297
2014-10-23,100.83659362792969
2014-10-24,100.7744140625
2014-10-27,100.64382934570312
2014-10-28,101.71949768066406
2014-10-29,101.63243103027344
2014-10-30,102.1858139038086
2014-10-31,102.21684265136719
2014-11-03,102.19200134277344
2014-11-04,101.12879943847656
2014-11-05,100.61274719238281
2014-11-06,101.07598114013672
2014-11-07,101.45787811279297
2014-11-10,102.3468246459961
2014-11-11,102.22785186767578
2014-11-12,101.36398315429688
2014-11-13,101.90860748291016
2014-11-14,102.76622009277344
2014-11-17,102.76622009277344
2014-11-18,101.34516906738281
2014-11-19,101.05722045898438
2014-11-20,100.56265258789062
2014-11-21,100.73795318603516
2014-11-24,101.50794219970703
2014-11-25,101.2637939453125
2014-11-26,101.3827133178711
2014-11-28,101.52046966552734
2014-12-01,101.1261215209961
2014-12-02,101.83348846435547
2014-12-03,102.9915771484375
2014-12-04,102.69739532470703
2014-12-05,102.20906066894531
2014-12-08,101.32638549804688
2014-12-09,102.03377532958984
2014-12-10,100.48126220703125
2014-12-11,100.83184814453125
2014-12-12,97.26984405517578
2014-12-15,95.81749725341797
2014-12-16,94.78458404541016
2014-12-17,95.11009216308594
2014-12-18,98.70968627929688
2014-12-19,99.22927856445312
2014-12-22,101.0634994506836
2014-12-23,101.5643081665039
2014-12-24,101.30136108398438
2014-12-26,101.62689208984375
2014-12-29,100.48126220703125
2014-12-30,100.19329071044922
2014-12-31,100.43743896484375
2015-01-02,101.45157623291016
2015-01-05,99.85525512695312
2015-01-06,97.70177459716797
2015-01-07,97.0632553100586
2015-01-08,99.17290496826172
2015-01-09,99.6048355102539
2015-01-12,97.93341827392578
2015-01-13,98.1650390625
2015-01-14,97.53276824951172
2015-01-15,96.76274871826172
2015-01-16,98.37162780761719
2015-01-20,98.25269317626953
2015-01-21,95.21027374267578
2015-01-22,97.27608489990234
2015-01-23,97.57659149169922
2015-01-26,97.88331604003906
2015-01-27,96.19935607910156
2015-01-28,94.87226104736328
2015-01-29,97.33244323730469
2015-01-30,95.97400665283203
2015-02-02,96.81910705566406
2015-02-03,99.20423889160156
2015-02-04,98.25894927978516
2015-02-05,98.85363006591797
2015-02-06,98.79692077636719
2015-02-09,98.18543243408203
2015-02-10,99.95684814453125
2015-02-11,99.72991943359375
2015-02-12,99.93162536621094
2015-02-13,101.11679077148438
2015-02-17,101.46981811523438
2015-02-18,102.24520874023438
2015-02-19,103.31690979003906
2015-02-20,103.16559600830078
2015-02-23,102.69914245605469
2015-02-24,103.90950012207031
2015-02-25,102.63606262207031
2015-02-26,101.4130859375
2015-02-27,102.08763122558594
2015-03-02,101.16722106933594
2015-03-03,101.51396179199219
2015-03-04,100.4990463256836
2015-03-05,101.60848999023438
2015-03-06,99.91902160644531
2015-03-09,101.35005950927734
2015-03-10,99.48403930664062
2015-03-11,98.84733581542969
2015-03-12,99.59123229980469
2015-03-13,97.25872039794922
2015-03-16,99.02387237548828
2015-03-17,98.94822692871094
2015-03-18,100.74485778808594
2015-03-19,100.74485778808594
2015-03-20,102.68019104003906
2015-03-23,103.78339385986328
2015-03-24,102.75584411621094
2015-03-25,100.3603286743164
2015-03-26,101.23658752441406
2015-03-27,101.11679077148438
2015-03-30,102.54783630371094
2015-03-31,101.17984771728516
2015-04-01,100.34770202636719
2015-04-02,101.14832305908203
2015-04-06,102.15066528320312
2015-04-07,102.16959381103516
2015-04-08,102.0308837890625
2015-04-09,102.33979034423828
2015-04-10,102.66758728027344
2015-04-13,102.3650131225586
2015-04-14,102.31454467773438
2015-04-15,103.46820831298828
2015-04-16,102.83781433105469
2015-04-17,101.28702545166016
2015-04-20,104.7479019165039
2015-04-21,103.55016326904297
2015-04-22,104.24359893798828
2015-04-23,107.31999206542969
