,IR
2017-05-12,21.01768684387207
2017-05-15,21.934097290039062
2017-05-16,22.013782501220703
2017-05-17,22.013782501220703
2017-05-18,22.4122257232666
2017-05-19,22.631366729736328
2017-05-22,22.800701141357425
2017-05-23,23.35851669311523
2017-05-24,23.25890731811523
2017-05-25,22.42218589782715
2017-05-26,22.940155029296875
2017-05-30,22.860464096069336
2017-05-31,22.84054374694824
2017-06-01,22.84054374694824
2017-06-02,22.5616397857666
2017-06-05,22.54171371459961
2017-06-06,22.203044891357425
2017-06-07,21.675111770629883
2017-06-08,21.565542221069336
2017-06-09,22.402265548706055
2017-06-12,22.940155029296875
2017-06-13,23.398361206054688
2017-06-14,23.15929794311523
2017-06-15,22.900314331054688
2017-06-16,23.826684951782227
2017-06-19,23.826684951782227
2017-06-20,22.531753540039062
2017-06-21,20.639169692993164
2017-06-22,20.977840423583984
2017-06-23,20.39014434814453
2017-06-26,20.420021057128903
2017-06-27,21.206945419311523
2017-06-28,21.187021255493164
2017-06-29,21.346397399902344
2017-06-30,21.52569580078125
2017-07-03,22.252845764160156
2017-07-05,21.73487663269043
2017-07-06,20.88819122314453
2017-07-07,20.589365005493164
2017-07-10,21.25674819946289
2017-07-11,21.645225524902344
2017-07-12,22.043664932250977
2017-07-13,21.973941802978516
2017-07-14,21.993860244750977
2017-07-17,22.880388259887695
2017-07-18,22.950117111206055
2017-07-19,23.32863426208496
2017-07-20,23.4581241607666
2017-07-21,22.920230865478516
2017-07-24,23.049724578857425
2017-07-25,23.35851669311523
2017-07-26,22.730972290039062
2017-07-27,23.139373779296875
2017-07-28,22.99991798400879
2017-07-31,22.87042808532715
2017-08-01,22.4122257232666
2017-08-02,22.930194854736328
2017-08-03,23.169260025024418
2017-08-04,23.97609519958496
2017-08-07,23.946216583251953
2017-08-08,24.035863876342773
2017-08-09,23.50793075561523
2017-08-10,22.571596145629883
2017-08-11,22.59152030944824
2017-08-14,22.501874923706055
2017-08-15,22.60148048400879
2017-08-16,22.6612491607666
2017-08-17,21.914173126220703
2017-08-18,21.884286880493164
2017-08-21,22.302650451660156
2017-08-22,22.691133499145508
2017-08-23,22.87042808532715
2017-08-24,22.611440658569336
2017-08-25,22.890352249145508
2017-08-28,22.860464096069336
2017-08-29,22.97003746032715
2017-08-30,23.2091007232666
2017-08-31,23.398361206054688
2017-09-01,23.607542037963867
2017-09-05,23.02980613708496
2017-09-06,23.25890731811523
2017-09-07,23.517892837524418
2017-09-08,23.667306900024418
2017-09-11,23.79680061340332
2017-09-12,24.434303283691406
2017-09-13,24.57375717163086
2017-09-14,24.872587203979492
2017-09-15,24.992116928100582
2017-09-18,25.679428100585938
2017-09-19,25.719268798828125
2017-09-20,25.878646850585938
2017-09-21,25.7491512298584
2017-09-22,26.17747688293457
2017-09-25,26.297006607055664
2017-09-26,26.207361221313477
2017-09-27,26.964393615722656
2017-09-28,27.223379135131836
2017-09-29,27.412635803222656
2017-10-02,27.442522048950195
2017-10-03,27.522207260131836
2017-10-04,26.78509521484375
2017-10-05,26.68548583984375
2017-10-06,26.49622917175293
2017-10-09,26.675525665283203
2017-10-10,26.79505729675293
2017-10-11,26.755212783813477
2017-10-12,26.78509521484375
2017-10-13,26.85482406616211
2017-10-16,26.814979553222656
2017-10-17,26.884706497192383
2017-10-18,26.64564323425293
2017-10-19,26.257165908813477
2017-10-20,26.476303100585938
2017-10-23,26.31692886352539
2017-10-24,26.49622917175293
2017-10-25,26.516149520874023
2017-10-26,28.986473083496097
2017-10-27,30.301328659057617
2017-10-30,29.00639915466309
2017-10-31,28.737449645996097
2017-11-01,28.827098846435547
2017-11-02,29.195653915405273
2017-11-03,28.468503952026367
2017-11-06,27.850921630859375
2017-11-07,27.89076805114746
2017-11-08,27.96049118041992
2017-11-09,28.03022193908691
2017-11-10,28.647802352905273
2017-11-13,29.29526710510254
2017-11-14,28.54819107055664
