,J
2014-01-02,48.81716537475586
2014-01-03,48.359127044677734
2014-01-06,48.42121505737305
2014-01-07,48.84822082519531
2014-01-08,48.98020553588867
2014-01-09,49.10441207885742
2014-01-10,49.47706985473633
2014-01-13,49.95064163208008
2014-01-14,50.10592269897461
2014-01-15,50.68818664550781
2014-01-16,50.81239700317383
2014-01-17,51.0297737121582
2014-01-21,51.285972595214844
2014-01-22,51.86824035644531
2014-01-23,50.152488708496094
2014-01-24,48.91032791137695
2014-01-27,48.34358215332031
2014-01-28,48.68519592285156
2014-01-29,47.96317672729492
2014-01-30,47.924354553222656
2014-01-31,47.132476806640625
2014-02-03,45.40896987915039
2014-02-04,46.030067443847656
2014-02-05,45.53318405151367
2014-02-06,45.804927825927734
2014-02-07,46.45704650878906
2014-02-10,46.08440399169922
2014-02-11,46.526920318603516
2014-02-12,47.21010971069336
2014-02-13,46.77534866333008
2014-02-14,46.9461555480957
2014-02-18,47.32656478881836
2014-02-19,46.7908935546875
2014-02-20,47.388671875
2014-02-21,46.6589241027832
2014-02-24,46.60456466674805
2014-02-25,46.58127212524414
2014-02-26,46.82969665527344
2014-02-27,47.016029357910156
2014-02-28,47.08589553833008
2014-03-03,46.89179992675781
2014-03-04,47.82343673706055
2014-03-05,47.98647689819336
2014-03-06,48.96467590332031
2014-03-07,48.98020553588867
2014-03-10,48.793888092041016
2014-03-11,48.8016357421875
2014-03-12,48.762821197509766
2014-03-13,48.07962417602539
2014-03-14,48.592037200927734
2014-03-17,49.11994934082031
2014-03-18,49.67891311645508
2014-03-19,49.515899658203125
2014-03-20,49.795372009277344
2014-03-21,50.32328796386719
2014-03-24,49.44602584838867
2014-03-25,49.55470275878906
2014-03-26,49.034549713134766
2014-03-27,48.786094665527344
2014-03-28,49.00349044799805
2014-03-31,49.298500061035156
2014-04-01,49.52364730834961
2014-04-02,49.9817008972168
2014-04-03,49.942874908447266
2014-04-04,49.60127639770508
2014-04-07,48.82492446899414
2014-04-08,48.77834701538086
2014-04-09,49.17428970336914
2014-04-10,48.73176574707031
2014-04-11,47.70697784423828
2014-04-14,48.04857635498047
2014-04-15,48.211612701416016
2014-04-16,48.91032791137695
2014-04-17,49.47706985473633
2014-04-21,49.44602584838867
2014-04-22,50.16801452636719
2014-04-23,49.60127639770508
2014-04-24,49.1898193359375
2014-04-25,48.211612701416016
2014-04-28,48.28923797607422
2014-04-29,44.30655288696289
2014-04-30,44.79564666748047
2014-05-01,45.09066390991211
2014-05-02,44.08140563964844
2014-05-05,43.98048400878906
2014-05-06,43.972713470458984
2014-05-07,44.30655288696289
2014-05-08,43.91836929321289
2014-05-09,43.57676696777344
2014-05-12,43.67768859863281
2014-05-13,43.35939407348633
2014-05-14,42.2957878112793
2014-05-15,41.806678771972656
2014-05-16,41.36417007446289
2014-05-19,41.402976989746094
2014-05-20,41.08467102050781
2014-05-21,41.18560791015625
2014-05-22,41.278743743896484
