,KR
2014-01-02,16.05902099609375
2014-01-03,15.985430717468262
2014-01-06,15.84642505645752
2014-01-07,15.944546699523926
2014-01-08,15.924104690551758
2014-01-09,16.091720581054688
2014-01-10,16.132606506347656
2014-01-13,15.785094261169434
2014-01-14,15.944546699523926
2014-01-15,16.05084228515625
2014-01-16,15.269965171813965
2014-01-17,15.041022300720215
2014-01-21,14.95925235748291
2014-01-22,14.893839836120605
2014-01-23,14.881574630737305
2014-01-24,14.750749588012695
2014-01-27,14.628097534179688
2014-01-28,14.98378849029541
2014-01-29,14.934728622436523
2014-01-30,14.889751434326172
2014-01-31,14.758923530578613
2014-02-03,14.46456527709961
2014-02-04,14.501358032226562
2014-02-05,14.493184089660645
2014-02-06,15.028755187988281
2014-02-07,14.832514762878418
2014-02-10,14.795720100402832
2014-02-11,15.163680076599121
2014-02-12,15.165726661682129
2014-02-13,15.231443405151367
2014-02-14,15.350522994995117
2014-02-18,15.440866470336914
2014-02-19,15.921344757080078
2014-02-20,16.13078498840332
2014-02-21,16.26219367980957
2014-02-24,16.33611297607422
2014-02-25,16.28272247314453
2014-02-26,16.43877601623535
2014-02-27,16.483951568603516
2014-02-28,17.22313117980957
2014-03-03,17.24367332458496
2014-03-04,17.407934188842773
2014-03-05,17.93769073486328
2014-03-06,17.810388565063477
2014-03-07,17.978757858276367
2014-03-10,17.966440200805664
2014-03-11,17.798067092895508
2014-03-12,18.015718460083008
2014-03-13,17.85967254638672
2014-03-14,18.032146453857422
2014-03-17,18.077314376831055
2014-03-18,18.069101333618164
2014-03-19,17.941802978515625
2014-03-20,18.06499671936035
2014-03-21,18.05678939819336
2014-03-24,17.90894889831543
2014-03-25,17.86787986755371
2014-03-26,17.769317626953125
2014-03-27,17.917158126831055
2014-03-28,18.04857063293457
2014-03-31,17.925373077392578
2014-04-01,17.91305160522461
2014-04-02,18.586538314819336
2014-04-03,18.463335037231445
2014-04-04,18.34834861755371
2014-04-07,18.1265869140625
2014-04-08,18.196409225463867
2014-04-09,18.36478042602539
2014-04-10,18.015718460083008
2014-04-11,18.069101333618164
2014-04-14,18.307296752929688
2014-04-15,18.077314376831055
2014-04-16,18.200511932373047
2014-04-17,18.184083938598633
2014-04-21,18.36067008972168
2014-04-22,18.561891555786133
2014-04-23,18.6645565032959
2014-04-24,18.62349510192871
2014-04-25,18.541364669799805
2014-04-28,18.70151710510254
2014-04-29,18.705625534057617
2014-04-30,18.906850814819336
2014-05-01,18.960235595703125
2014-05-02,19.099863052368164
2014-05-05,19.075225830078125
2014-05-06,19.05058479309082
2014-05-07,19.034156799316406
2014-05-08,18.910959243774414
2014-05-09,19.038265228271484
2014-05-12,19.173782348632812
2014-05-13,19.20056915283203
2014-05-14,19.233539581298828
2014-05-15,19.07693862915039
2014-05-16,19.365419387817383
2014-05-19,19.29123306274414
2014-05-20,19.179967880249023
2014-05-21,19.365419387817383
2014-05-22,19.085172653198242
2014-05-23,19.307722091674805
2014-05-27,19.369539260864258
2014-05-28,19.241783142089844
2014-05-29,19.245901107788086
2014-05-30,19.674503326416016
2014-06-02,19.579715728759766
