,L
2014-01-02,44.782745361328125
2014-01-03,44.6693229675293
2014-01-06,44.57481384277344
2014-01-07,44.42357635498047
2014-01-08,44.19674301147461
2014-01-09,44.243995666503906
2014-01-10,44.291259765625
2014-01-13,43.79030227661133
2014-01-14,44.10222244262695
2014-01-15,44.603172302246094
2014-01-16,44.451942443847656
2014-01-17,44.7354850769043
2014-01-21,44.40468215942383
2014-01-22,44.61262893676758
2014-01-23,43.478389739990234
2014-01-24,42.20241928100586
2014-01-27,42.19295883178711
2014-01-28,42.476505279541016
2014-01-29,42.12678909301758
2014-01-30,42.85458755493164
2014-01-31,42.14571762084961
2014-02-03,41.03037643432617
2014-02-04,42.07953643798828
2014-02-05,42.088985443115234
2014-02-06,42.28749084472656
2014-02-07,42.70334243774414
2014-02-10,40.88860321044922
2014-02-11,41.446258544921875
2014-02-12,41.446258544921875
2014-02-13,41.57858657836914
2014-02-14,41.61638259887695
2014-02-18,41.521873474121094
2014-02-19,40.973670959472656
2014-02-20,41.2761344909668
2014-02-21,41.11544418334961
2014-02-24,41.19105529785156
2014-02-25,41.05873107910156
2014-02-26,41.10599136352539
2014-02-27,41.23188400268555
2014-02-28,41.15615463256836
2014-03-03,40.843814849853516
2014-03-04,41.54424285888672
2014-03-05,41.68622970581055
2014-03-06,42.0269889831543
2014-03-07,42.642250061035156
2014-03-10,42.25416564941406
2014-03-11,42.017520904541016
2014-03-12,42.31095504760742
2014-03-13,42.00806427001953
2014-03-14,41.619956970214844
2014-03-17,41.619956970214844
2014-03-18,41.58211135864258
2014-03-19,41.3454704284668
2014-03-20,41.56317138671875
2014-03-21,41.866065979003906
2014-03-24,41.260276794433594
2014-03-25,41.260276794433594
2014-03-26,40.86271286010742
2014-03-27,40.73020935058594
2014-03-28,41.0993766784668
2014-03-31,41.69570541381836
2014-04-01,41.97966766357422
2014-04-02,42.26364517211914
2014-04-03,42.48133850097656
2014-04-04,42.31095504760742
2014-04-07,41.79035949707031
2014-04-08,42.14057922363281
2014-04-09,42.159515380859375
2014-04-10,41.5726432800293
2014-04-11,41.1182975769043
2014-04-14,41.38333511352539
2014-04-15,41.440120697021484
2014-04-16,41.714630126953125
2014-04-17,41.601043701171875
2014-04-21,41.496917724609375
2014-04-22,41.44959259033203
2014-04-23,41.487464904785156
2014-04-24,42.06485366821289
2014-04-25,41.7808837890625
2014-04-28,41.42118835449219
2014-04-29,41.7430305480957
2014-04-30,41.619956970214844
2014-05-01,41.733551025390625
2014-05-02,41.7430305480957
2014-05-05,41.411720275878906
2014-05-06,40.85326385498047
2014-05-07,41.50638961791992
2014-05-08,41.326534271240234
2014-05-09,40.93844985961914
2014-05-12,40.99525451660156
2014-05-13,40.966861724853516
2014-05-14,40.540897369384766
2014-05-15,40.285335540771484
2014-05-16,40.27585983276367
2014-05-19,40.30426788330078
2014-05-20,40.20960235595703
2014-05-21,40.41785430908203
2014-05-22,40.645023345947266
2014-05-23,40.85326385498047
2014-05-27,40.966861724853516
2014-05-28,40.94791793823242
2014-05-29,41.01712417602539
2014-05-30,40.884403228759766
2014-06-02,41.04555130004883
2014-06-03,41.22566604614258
2014-06-04,41.58588790893555
2014-06-05,41.69962692260742
2014-06-06,41.690147399902344
2014-06-09,41.71858596801758
2014-06-10,41.57640075683594
2014-06-11,41.2730712890625
2014-06-12,41.320457458496094
2014-06-13,41.25409698486328
2014-06-16,40.97919845581055
2014-06-17,41.064517974853516
2014-06-18,41.34889602661133
2014-06-19,41.50056457519531
2014-06-20,41.51951599121094
2014-06-23,41.35838317871094
2014-06-24,41.45316696166992
