,LH
2014-01-02,74.87242889404297
2014-01-03,75.32051849365234
2014-01-06,74.97200012207031
2014-01-07,76.49053192138672
2014-01-08,76.10052490234375
2014-01-09,76.81414794921875
2014-01-10,76.32457733154297
2014-01-13,75.26244354248047
2014-01-14,75.48648071289062
2014-01-15,75.57775115966797
2014-01-16,75.92627716064453
2014-01-17,76.17520904541016
2014-01-21,75.73542022705078
2014-01-22,76.2249755859375
2014-01-23,75.80179595947266
2014-01-24,74.76456451416016
2014-01-27,74.59860229492188
2014-01-28,74.9305191040039
2014-01-29,74.0509262084961
2014-01-30,73.90156555175781
2014-01-31,74.54052734375
2014-02-03,72.90582275390625
2014-02-04,73.81858825683594
2014-02-05,73.62773895263672
2014-02-06,74.94711303710938
2014-02-07,73.97624969482422
2014-02-10,75.80179595947266
2014-02-11,76.02584075927734
2014-02-12,75.49478149414062
2014-02-13,76.18351745605469
2014-02-14,76.2913818359375
2014-02-18,76.63159942626953
2014-02-19,76.41584777832031
2014-02-20,76.9137191772461
2014-02-21,77.63563537597656
2014-02-24,77.8016128540039
2014-02-25,77.2788314819336
2014-02-26,77.21246337890625
2014-02-27,77.24564361572266
2014-02-28,77.61905670166016
2014-03-03,76.90543365478516
2014-03-04,77.22074890136719
2014-03-05,77.63563537597656
2014-03-06,78.04224395751953
2014-03-07,79.0960922241211
2014-03-10,77.6771469116211
2014-03-11,79.05459594726562
2014-03-12,79.63545227050781
2014-03-13,79.55247497558594
2014-03-14,79.35333251953125
2014-03-17,79.61056518554688
2014-03-18,81.31993103027344
2014-03-19,81.52738952636719
2014-03-20,80.41546630859375
2014-03-21,80.51504516601562
2014-03-24,78.70609283447266
2014-03-25,78.58992004394531
2014-03-26,81.85101318359375
2014-03-27,81.21206665039062
2014-03-28,81.3531265258789
2014-03-31,81.49418640136719
2014-04-01,84.86316680908203
2014-04-02,84.75529479980469
2014-04-03,85.04571533203125
2014-04-04,84.20763397216797
2014-04-07,82.4318618774414
2014-04-08,83.40272521972656
2014-04-09,83.7180404663086
2014-04-10,82.6891098022461
2014-04-11,82.52313232421875
2014-04-14,83.60188293457031
2014-04-15,84.27400207519531
2014-04-16,84.5976333618164
2014-04-17,84.06655883789062
2014-04-21,83.85082244873047
2014-04-22,83.29484558105469
2014-04-23,82.85505676269531
2014-04-24,83.32803344726562
2014-04-25,82.55633544921875
2014-04-28,82.3073959350586
2014-04-29,81.96717071533203
2014-04-30,81.90079498291016
2014-05-01,82.24930572509766
2014-05-02,81.51080322265625
2014-05-05,81.52738952636719
2014-05-06,81.49418640136719
2014-05-07,81.9173812866211
2014-05-08,82.11653900146484
2014-05-09,83.12889862060547
2014-05-12,82.88825225830078
2014-05-13,82.78038787841797
2014-05-14,82.63101959228516
2014-05-15,82.48165893554688
2014-05-16,82.4318618774414
2014-05-19,82.87995147705078
2014-05-20,82.59781646728516
2014-05-21,83.22016906738281
2014-05-22,83.22016906738281
2014-05-23,83.60188293457031
2014-05-27,83.7180404663086
2014-05-28,83.4939956665039
2014-05-29,85.38592529296875
2014-05-30,85.12039947509766
2014-06-02,84.71379852294922
2014-06-03,85.08721160888672
2014-06-04,86.5974349975586
2014-06-05,86.85468292236328
2014-06-06,85.83402252197266
2014-06-09,85.48551940917969
2014-06-10,85.24485778808594
2014-06-11,84.68061065673828
2014-06-12,84.4648666381836
2014-06-13,84.44827270507812
2014-06-16,83.64336395263672
2014-06-17,82.97122955322266
2014-06-18,83.25337219238281
2014-06-19,83.73463439941406
2014-06-20,84.82167053222656
2014-06-23,85.07891082763672
2014-06-24,84.80509185791016
2014-06-25,83.96697998046875
2014-06-26,83.29484558105469
2014-06-27,84.40677642822266
2014-06-30,84.97103118896484
2014-07-01,86.73851776123047
2014-07-02,87.38574981689453
2014-07-03,87.89192962646484
2014-07-07,87.06212615966797
2014-07-08,86.20744323730469
2014-07-09,86.672119140625
2014-07-10,86.2738037109375
2014-07-11,86.78827667236328
2014-07-14,87.21149444580078
2014-07-15,87.24466705322266
2014-07-16,88.30682373046875
2014-07-17,87.47701263427734
2014-07-18,85.87552642822266
2014-07-21,87.04552459716797
2014-07-22,87.62638854980469
2014-07-23,87.65127563476562
2014-07-24,88.04127502441406
2014-07-25,88.00808715820312
2014-07-28,87.72595977783203
2014-07-29,87.4438247680664
2014-07-30,87.85043334960938
2014-07-31,86.0414810180664
2014-08-01,85.65148162841797
2014-08-04,86.3899917602539
2014-08-05,85.41082763671875
2014-08-06,85.42741394042969
2014-08-07,84.64742279052734
2014-08-08,85.5850830078125
2014-08-11,85.34445190429688
2014-08-12,85.3278579711914
2014-08-13,86.01659393310547
2014-08-14,87.08702087402344
2014-08-15,86.25721740722656
2014-08-18,87.41893768310547
2014-08-19,87.79234313964844
2014-08-20,88.08277130126953
2014-08-21,88.63873291015625
2014-08-22,88.1408462524414
2014-08-25,88.73001098632812
2014-08-26,88.31510925292969
2014-08-27,87.76746368408203
2014-08-28,87.4521255493164
2014-08-29,88.97895812988281
2014-09-02,88.41468811035156
2014-09-03,89.71746826171875
2014-09-04,89.6012954711914
2014-09-05,89.6012954711914
2014-09-08,89.72576904296875
2014-09-09,89.82534790039062
2014-09-10,88.92086791992188
2014-09-11,89.01214599609375
2014-09-12,88.24872589111328
2014-09-15,87.84213256835938
2014-09-16,88.79640197753906
2014-09-17,88.0578842163086
2014-09-18,88.00808715820312
2014-09-19,88.0578842163086
2014-09-22,86.713623046875
2014-09-23,85.43571472167969
2014-09-24,86.19913482666016
2014-09-25,84.66402435302734
2014-09-26,85.31126403808594
2014-09-29,85.5850830078125
2014-09-30,84.43167877197266
2014-10-01,83.95870208740234
2014-10-02,84.77188110351562
2014-10-03,85.07061004638672
2014-10-06,84.1412353515625
2014-10-07,82.11653900146484
2014-10-08,83.61018371582031
2014-10-09,81.68505859375
2014-10-10,82.19121551513672
2014-10-13,81.96717071533203
2014-10-14,81.16228485107422
2014-10-15,81.54399108886719
2014-10-16,81.32823944091797
2014-10-17,81.87591552734375
2014-10-20,82.09994506835938
2014-10-21,84.05825805664062
2014-10-22,83.86740112304688
2014-10-23,85.20337677001953
2014-10-24,86.07466125488281
2014-10-27,85.5850830078125
2014-10-28,89.2113037109375
2014-10-29,88.5391616821289
2014-10-30,89.11173248291016
2014-10-31,90.6883316040039
2014-11-03,84.00016784667969
2014-11-04,84.9544448852539
2014-11-05,84.81338500976562
2014-11-06,85.41082763671875
2014-11-07,83.41102600097656
2014-11-10,83.79273223876953
2014-11-11,83.0542221069336
2014-11-12,83.56037139892578
2014-11-13,82.61441802978516
2014-11-14,82.0169677734375
2014-11-17,83.04591369628906
2014-11-18,83.95870208740234
2014-11-19,83.7678451538086
2014-11-20,83.51060485839844
2014-11-21,83.3612289428711
2014-11-24,84.35698699951172
2014-11-25,83.41932678222656
2014-11-26,84.76359558105469
2014-11-28,86.82977294921875
2014-12-01,86.33190155029297
2014-12-02,87.00403594970703
2014-12-03,87.76746368408203
2014-12-04,86.9542465209961
2014-12-05,88.0744857788086
2014-12-08,87.39405059814453
2014-12-09,86.9542465209961
2014-12-10,86.13274383544922
2014-12-11,86.2987060546875
2014-12-12,84.57273864746094
2014-12-15,84.1080551147461
2014-12-16,84.55613708496094
2014-12-17,85.93359375
2014-12-18,88.32340240478516
2014-12-19,87.79234313964844
2014-12-22,88.9042739868164
2014-12-23,88.89595794677734
2014-12-24,89.36064147949219
2014-12-26,89.82534790039062
2014-12-29,89.94981384277344
2014-12-30,90.92897033691406
2014-12-31,89.53491973876953
2015-01-02,92.45580291748047
2015-01-05,93.26070404052734
2015-01-06,91.7753677368164
2015-01-07,93.3851547241211
2015-01-08,95.89945220947266
2015-01-09,96.25625610351562
2015-01-12,96.12348175048828
2015-01-13,96.14007568359375
2015-01-14,95.21900177001953
2015-01-15,95.36007690429688
2015-01-16,97.11924743652344
2015-01-20,97.27691650390625
2015-01-21,96.24796295166016
2015-01-22,98.63776397705078
2015-01-23,97.32669067382812
2015-01-26,97.24372100830078
2015-01-27,96.49687957763672
2015-01-28,95.83306121826172
2015-01-29,96.3558349609375
2015-01-30,95.243896484375
2015-02-02,95.84136199951172
2015-02-03,96.99476623535156
2015-02-04,97.12754821777344
2015-02-05,96.2645492553711
2015-02-06,95.55093383789062
2015-02-09,94.28134155273438
2015-02-10,95.75007629394531
2015-02-11,96.86200714111328
2015-02-12,96.95328521728516
2015-02-13,97.0030746459961
2015-02-17,97.30179595947266
2015-02-18,97.0860366821289
2015-02-19,97.20223236083984
2015-02-20,100.47161102294922
2015-02-23,101.98184204101562
2015-02-24,101.4092788696289
2015-02-25,101.56694030761719
2015-02-26,103.31781005859375
2015-02-27,102.08971405029297
2015-03-02,102.363525390625
2015-03-03,102.7784423828125
2015-03-04,102.8116455078125
2015-03-05,102.29717254638672
2015-03-06,100.98607635498047
2015-03-09,100.54629516601562
2015-03-10,100.67076873779297
2015-03-11,100.60438537597656
2015-03-12,103.12696075439453
2015-03-13,102.67057800292969
2015-03-16,104.28038024902344
2015-03-17,103.94845581054688
2015-03-18,105.22634887695312
2015-03-19,104.76995086669922
2015-03-20,105.2180404663086
2015-03-23,106.3631591796875
2015-03-24,106.29676818847656
2015-03-25,105.292724609375
2015-03-26,104.38824462890625
2015-03-27,105.50848388671875
2015-03-30,105.6163330078125
2015-03-31,104.62889862060547
2015-04-01,104.45463562011719
2015-04-02,103.89867401123047
2015-04-06,104.41313934326172
2015-04-07,103.35929870605469
2015-04-08,104.22228240966797
2015-04-09,104.6123046875
2015-04-10,104.6123046875
2015-04-13,103.87378692626953
2015-04-14,103.28462219238281
2015-04-15,104.05632781982422
2015-04-16,104.13101196289062
2015-04-17,103.23483276367188
2015-04-20,104.01483917236328
2015-04-21,104.47953033447266
2015-04-22,104.76995086669922
2015-04-23,104.86952209472656
2015-04-24,105.325927734375
2015-04-27,104.23058319091797
2015-04-28,102.44652557373047
2015-04-29,100.11479187011719
2015-04-30,99.2103271484375
2015-05-01,99.38457489013672
2015-05-04,98.90328216552734
2015-05-05,97.33497619628906
2015-05-06,97.26030731201172
2015-05-07,98.23947143554688
2015-05-08,98.24774932861328
2015-05-11,97.4677505493164
2015-05-12,96.50518798828125
2015-05-13,96.72093200683594
2015-05-14,97.65862274169922
2015-05-15,97.32669067382812
2015-05-18,98.52989959716797
2015-05-19,98.19795989990234
2015-05-20,99.20203399658203
2015-05-21,99.87416076660156
2015-05-22,100.75373840332031
2015-05-26,99.42607116699219
2015-05-27,99.11905670166016
2015-05-28,98.67095184326172
2015-05-29,97.87434387207031
2015-06-01,98.48009490966797
2015-06-02,97.91585540771484
2015-06-03,97.39306640625
2015-06-04,99.35140991210938
2015-06-05,99.03607177734375
2015-06-08,100.01522827148438
2015-06-09,99.5007553100586
2015-06-10,100.14798736572266
2015-06-11,100.52139282226562
2015-06-12,99.47586822509766
2015-06-15,98.98628234863281
2015-06-16,99.97373962402344
2015-06-17,99.64181518554688
2015-06-18,99.77457427978516
2015-06-19,100.43013000488281
2015-06-22,100.20609283447266
2015-06-23,99.4924545288086
2015-06-24,98.43861389160156
2015-06-25,100.36375427246094
2015-06-26,100.91970825195312
2015-06-29,99.06926727294922
2015-06-30,100.5877914428711
2015-07-01,101.39268493652344
2015-07-02,100.1977767944336
2015-07-06,99.76628875732422
2015-07-07,100.04012298583984
2015-07-08,97.94074249267578
2015-07-09,99.11075592041016
2015-07-10,99.79119110107422
2015-07-13,101.36779022216797
2015-07-14,102.67887115478516
2015-07-15,101.86566925048828
2015-07-16,102.63738250732422
2015-07-17,101.48395538330078
2015-07-20,101.59184265136719
2015-07-21,100.46331787109375
2015-07-22,100.55460357666016
2015-07-23,101.88227081298828
2015-07-24,101.38439178466797
2015-07-27,100.994384765625
2015-07-28,101.4092788696289
2015-07-29,104.81974792480469
2015-07-30,104.23888397216797
2015-07-31,105.62464141845703
2015-08-03,105.6744384765625
2015-08-04,105.39230346679688
2015-08-05,105.66613006591797
2015-08-06,104.13931274414062
2015-08-07,103.50865936279297
2015-08-10,103.882080078125
2015-08-11,103.30121612548828
2015-08-12,102.8531265258789
2015-08-13,102.73695373535156
2015-08-14,102.94440460205078
2015-08-17,103.5252685546875
2015-08-18,103.857177734375
2015-08-19,103.92356872558594
2015-08-20,101.36779022216797
2015-08-21,99.82437896728516
2015-08-24,95.73348236083984
2015-08-25,95.2273178100586
2015-08-26,97.74988555908203
2015-08-27,99.42607116699219
2015-08-28,99.25182342529297
2015-08-31,97.7581787109375
2015-09-01,96.04881286621094
2015-09-02,96.57158660888672
2015-09-03,97.51753997802734
2015-09-04,96.57987976074219
2015-09-08,98.40542602539062
2015-09-09,97.50094604492188
2015-09-10,97.51753997802734
2015-09-11,98.34732818603516
2015-09-14,98.156494140625
2015-09-15,99.52565002441406
2015-09-16,99.48416900634766
2015-09-17,99.94883728027344
2015-09-18,99.07756805419922
2015-09-21,98.61287689208984
2015-09-22,97.51753997802734
2015-09-23,96.92008209228516
2015-09-24,95.6837158203125
2015-09-25,93.7585678100586
2015-09-28,89.8419418334961
2015-09-29,88.67192077636719
2015-09-30,90.00789642333984
2015-10-01,91.42684936523438
2015-10-02,93.1777114868164
2015-10-05,94.12367248535156
2015-10-06,91.51812744140625
2015-10-07,92.66323852539062
2015-10-08,92.69642639160156
2015-10-09,93.2275161743164
2015-10-12,93.43495178222656
2015-10-13,92.19024658203125
2015-10-14,92.56366729736328
2015-10-15,95.74179077148438
2015-10-16,97.42627716064453
2015-10-19,97.40967559814453
2015-10-20,97.56732177734375
2015-10-21,96.2894515991211
2015-10-22,90.87088775634766
2015-10-23,92.89559173583984
2015-10-26,97.7000961303711
2015-10-27,100.13140869140625
2015-10-28,101.90715789794922
2015-10-29,102.3552474975586
2015-10-30,101.84907531738281
2015-11-02,103.27632141113281
2015-11-03,102.94440460205078
2015-11-04,102.13949584960938
2015-11-05,101.17695617675781
2015-11-06,101.0358657836914
2015-11-09,101.94864654541016
2015-11-10,102.79503631591797
2015-11-11,100.47991943359375
2015-11-12,99.29330444335938
2015-11-13,99.31819915771484
2015-11-16,100.28074645996094
2015-11-17,102.40504455566406
2015-11-18,103.0522689819336
2015-11-19,99.81607818603516
2015-11-20,100.79521942138672
2015-11-23,100.49650573730469
2015-11-24,100.55460357666016
2015-11-25,101.08566284179688
2015-11-27,101.2931137084961
2015-11-30,100.85332489013672
2015-12-01,103.98994445800781
2015-12-02,103.04397583007812
2015-12-03,100.40524291992188
2015-12-04,103.50865936279297
2015-12-07,103.4837646484375
2015-12-08,103.8073959350586
2015-12-09,101.96525573730469
2015-12-10,101.72460174560547
2015-12-11,100.54629516601562
2015-12-14,99.30989837646484
2015-12-15,101.85736846923828
2015-12-16,101.25162506103516
2015-12-17,100.969482421875
2015-12-18,101.0358657836914
2015-12-21,103.29291534423828
2015-12-22,103.17674255371094
2015-12-23,103.43399047851562
2015-12-24,103.47547912597656
2015-12-28,103.2265396118164
2015-12-29,103.89036560058594
2015-12-30,103.0522689819336
2015-12-31,102.59587097167969
2016-01-04,101.97354888916016
2016-01-05,101.23502349853516
2016-01-06,100.2724609375
2016-01-07,98.40542602539062
2016-01-08,96.46369934082031
2016-01-11,95.94092559814453
2016-01-12,95.52603149414062
2016-01-13,92.74622344970703
2016-01-14,92.67984008789062
2016-01-15,92.16535186767578
2016-01-19,91.21939086914062
2016-01-20,91.02025604248047
2016-01-21,90.44767761230469
2016-01-22,93.73368835449219
2016-01-25,92.0989761352539
2016-01-26,93.5179214477539
2016-01-27,93.61750030517578
2016-01-28,91.10323333740234
2016-01-29,93.2275161743164
2016-02-01,93.16112518310547
2016-02-02,90.72151947021484
2016-02-03,90.32322692871094
2016-02-04,89.8917236328125
2016-02-05,88.09938049316406
2016-02-08,83.75953674316406
2016-02-09,85.07891082763672
2016-02-10,86.78827667236328
2016-02-11,84.1412353515625
2016-02-12,85.48551940917969
2016-02-16,86.713623046875
2016-02-17,87.79234313964844
2016-02-18,90.14067077636719
2016-02-19,90.21534729003906
2016-02-22,91.75047302246094
2016-02-23,90.77960205078125
2016-02-24,91.42684936523438
2016-02-25,91.87493896484375
2016-02-26,92.13217163085938
2016-02-29,91.14469909667969
2016-03-01,92.25663757324219
2016-03-02,91.16960144042969
2016-03-03,92.87068176269531
2016-03-04,93.0781478881836
2016-03-07,92.79601287841797
2016-03-08,91.54302215576172
2016-03-09,92.22345733642578
2016-03-10,92.46410369873047
2016-03-11,95.83306121826172
2016-03-14,95.45135498046875
2016-03-15,93.41835021972656
2016-03-16,94.65474700927734
2016-03-17,93.21089935302734
2016-03-18,95.15263366699219
2016-03-21,94.69623565673828
2016-03-22,94.5053939819336
