,LIN
2014-01-02,105.27288055419922
2014-01-03,105.41917419433594
2014-01-06,105.26476287841797
2014-01-07,105.8744888305664
2014-01-08,106.43535614013672
2014-01-09,106.49227142333984
2014-01-10,107.70352172851562
2014-01-13,106.32967376708984
2014-01-14,107.19142150878906
2014-01-15,108.05304718017578
2014-01-16,107.76856231689453
2014-01-17,107.66287231445312
2014-01-21,108.28883361816406
2014-01-22,108.28883361816406
2014-01-23,106.71988677978516
2014-01-24,103.21621704101562
2014-01-27,102.21630859375
2014-01-28,102.18378448486328
2014-01-29,103.50885772705078
2014-01-30,102.01313018798828
2014-01-31,101.38713073730469
2014-02-03,98.77770233154297
2014-02-04,99.48489379882812
2014-02-05,99.7531509399414
2014-02-06,101.02946472167969
2014-02-07,103.28938293457031
2014-02-10,103.79338073730469
2014-02-11,104.4030532836914
2014-02-12,104.1185531616211
2014-02-13,105.19972229003906
2014-02-14,105.52489471435547
2014-02-18,105.45172882080078
2014-02-19,104.17547607421875
2014-02-20,104.11041259765625
2014-02-21,104.11041259765625
2014-02-24,103.36253356933594
2014-02-25,104.70384216308594
2014-02-26,104.72824096679688
2014-02-27,105.55741119384766
2014-02-28,105.98011779785156
2014-03-03,105.91506958007812
2014-03-04,106.49227142333984
2014-03-05,105.83870697021484
2014-03-06,106.8843994140625
2014-03-07,107.08050537109375
2014-03-10,107.49713897705078
2014-03-11,107.50531768798828
2014-03-12,107.90562438964844
2014-03-13,107.88111114501953
2014-03-14,107.63605499267578
2014-03-17,108.1833724975586
2014-03-18,108.52654266357422
2014-03-19,108.37944793701172
2014-03-20,108.25691223144531
2014-03-21,108.59185791015625
2014-03-24,107.63605499267578
2014-03-25,107.30924987792969
2014-03-26,105.92855834960938
2014-03-27,105.22598266601562
2014-03-28,105.66709899902344
2014-03-31,106.99880981445312
2014-04-01,107.07234191894531
2014-04-02,107.52165222167969
2014-04-03,107.21118927001953
2014-04-04,105.76516723632812
2014-04-07,104.22110748291016
2014-04-08,104.74396514892578
2014-04-09,106.4595947265625
2014-04-10,104.68675994873047
2014-04-11,103.75541687011719
2014-04-14,103.96784210205078
2014-04-15,105.54457092285156
2014-04-16,107.4726333618164
2014-04-17,107.72592163085938
2014-04-21,108.56737518310547
2014-04-22,107.8157730102539
2014-04-23,107.59517669677734
2014-04-24,106.73736572265625
2014-04-25,105.6834945678711
2014-04-28,105.7161636352539
2014-04-29,104.94818878173828
2014-04-30,106.65568542480469
2014-05-01,106.4432373046875
2014-05-02,107.02330780029297
2014-05-05,106.73736572265625
2014-05-06,106.5576400756836
2014-05-07,106.20630645751953
2014-05-08,106.34520721435547
2014-05-09,106.28804016113281
2014-05-12,107.08050537109375
2014-05-13,107.02330780029297
2014-05-14,107.37458038330078
2014-05-15,106.50045013427734
2014-05-16,107.02330780029297
2014-05-19,107.4644546508789
2014-05-20,106.36158752441406
2014-05-21,106.62298583984375
2014-05-22,106.4432373046875
2014-05-23,106.96611022949219
2014-05-27,106.8843994140625
2014-05-28,106.34520721435547
2014-05-29,108.2487564086914
2014-05-30,108.0363540649414
2014-06-02,109.49874114990234
2014-06-03,109.21278381347656
2014-06-04,108.96651458740234
2014-06-05,109.75464630126953
2014-06-06,110.5591812133789
2014-06-09,109.8285140991211
2014-06-10,109.67253875732422
