,LMT
2014-01-02,108.2081069946289
2014-01-03,108.94145965576172
2014-01-06,108.3636245727539
2014-01-07,110.0896987915039
2014-01-08,110.00821685791016
2014-01-09,110.17857360839844
2014-01-10,110.71199798583984
2014-01-13,111.8009262084961
2014-01-14,112.17133331298828
2014-01-15,113.71221923828125
2014-01-16,113.70480346679688
2014-01-17,113.94926452636719
2014-01-21,114.15667724609375
2014-01-22,116.04568481445312
2014-01-23,111.48239135742188
2014-01-24,109.45999908447266
2014-01-27,108.91183471679688
2014-01-28,109.84525299072266
2014-01-29,109.15631103515625
2014-01-30,110.12672424316406
2014-01-31,111.79354095458984
2014-02-03,109.44518280029297
2014-02-04,109.7711410522461
2014-02-05,111.40831756591797
2014-02-06,112.40837097167969
2014-02-07,114.91967010498047
2014-02-10,114.0677719116211
2014-02-11,116.71980285644531
2014-02-12,117.72730255126953
2014-02-13,118.37920379638672
2014-02-14,120.66828155517578
2014-02-18,120.52750396728516
2014-02-19,120.490478515625
2014-02-20,121.69056701660156
2014-02-21,121.73497772216797
2014-02-24,123.07586669921875
2014-02-25,121.20162200927734
2014-02-26,119.14222717285156
2014-02-27,120.59137725830078
2014-02-28,121.23372650146484
2014-03-03,122.16748809814453
2014-03-04,123.72862243652344
2014-03-05,124.61004638671875
2014-03-06,124.62503814697266
2014-03-07,124.42334747314453
2014-03-10,123.60908508300781
2014-03-11,122.3542251586914
2014-03-12,122.3990478515625
2014-03-13,121.6296157836914
2014-03-14,121.3233871459961
2014-03-17,122.5559310913086
2014-03-18,122.4886703491211
2014-03-19,120.18798828125
2014-03-20,119.46343231201172
2014-03-21,117.5735855102539
2014-03-24,118.16372680664062
2014-03-25,119.94154357910156
2014-03-26,119.24685668945312
2014-03-27,118.67910766601562
2014-03-28,119.91908264160156
2014-03-31,121.93594360351562
2014-04-01,122.2869873046875
2014-04-02,123.02647399902344
2014-04-03,122.3168716430664
2014-04-04,119.2243881225586
2014-04-07,117.8275375366211
2014-04-08,117.01333618164062
2014-04-09,118.6417465209961
2014-04-10,116.10202026367188
2014-04-11,114.8994369506836
2014-04-14,116.39339447021484
2014-04-15,117.56610107421875
2014-04-16,119.0973892211914
2014-04-17,119.70245361328125
2014-04-21,120.62867736816406
2014-04-22,117.04324340820312
2014-04-23,120.99471282958984
2014-04-24,119.97884368896484
2014-04-25,120.32990264892578
2014-04-28,120.53902435302734
2014-04-29,121.00218200683594
2014-04-30,122.6081771850586
2014-05-01,121.64460754394531
2014-05-02,122.42891693115234
2014-05-05,123.34025573730469
2014-05-06,122.1226577758789
2014-05-07,122.6529541015625
2014-05-08,122.794921875
2014-05-09,123.38502502441406
2014-05-12,124.68478393554688
2014-05-13,125.22262573242188
2014-05-14,123.44481658935547
2014-05-15,122.15996551513672
2014-05-16,121.08433532714844
2014-05-19,121.23372650146484
2014-05-20,119.94154357910156
2014-05-21,120.92748260498047
2014-05-22,120.87520599365234
2014-05-23,121.48776245117188
2014-05-27,121.71929168701172
2014-05-28,121.08433532714844
2014-05-29,122.87689208984375
2014-05-30,123.25343322753906
2014-06-02,123.59989929199219
2014-06-03,123.4342041015625
2014-06-04,123.90868377685547
2014-06-05,125.27188110351562
2014-06-06,125.90452575683594
2014-06-09,126.5898666381836
2014-06-10,126.03260040283203
2014-06-11,123.91619873046875
2014-06-12,122.49276733398438
2014-06-13,123.5471420288086
2014-06-16,124.37564849853516
2014-06-17,123.69779968261719
2014-06-18,123.35884857177734
2014-06-19,123.66767883300781
2014-06-20,124.57145690917969
2014-06-23,123.4793701171875
2014-06-24,122.39485168457031
2014-06-25,122.34967041015625
2014-06-26,122.04839324951172
2014-06-27,122.53790283203125
2014-06-30,121.05422973632812
2014-07-01,120.98650360107422
2014-07-02,119.73617553710938
2014-07-03,120.42911529541016
2014-07-07,119.22409057617188
2014-07-08,118.40318298339844
2014-07-09,118.94544219970703
2014-07-10,119.13370513916016
2014-07-11,120.73796081542969
2014-07-14,121.86761474609375
2014-07-15,122.47769165039062
2014-07-16,121.67180633544922
2014-07-17,121.50613403320312
2014-07-18,122.37975311279297
2014-07-21,122.7488021850586
2014-07-22,126.43172454833984
2014-07-23,126.60497283935547
2014-07-24,128.01341247558594
2014-07-25,128.06610107421875
2014-07-28,128.03594970703125
2014-07-29,127.53131866455078
2014-07-30,128.1715087890625
2014-07-31,125.75389862060547
2014-08-01,125.86686706542969
2014-08-04,126.74803924560547
2014-08-05,125.72379302978516
2014-08-06,122.80158233642578
2014-08-07,122.72615814208984
2014-08-08,124.87271118164062
2014-08-11,125.1363296508789
2014-08-12,124.85763549804688
2014-08-13,127.35059356689453
2014-08-14,127.65934753417969
2014-08-15,127.40326690673828
2014-08-18,129.18075561523438
2014-08-19,129.64016723632812
2014-08-20,132.03518676757812
2014-08-21,131.87704467773438
2014-08-22,131.91465759277344
2014-08-25,132.95401000976562
2014-08-26,133.0142822265625
2014-08-27,132.94651794433594
2014-08-28,132.119384765625
2014-08-29,132.04348754882812
2014-09-02,131.89169311523438
2014-09-03,131.66403198242188
2014-09-04,131.3149871826172
2014-09-05,132.4835968017578
2014-09-08,132.62777709960938
2014-09-09,132.75677490234375
2014-09-10,132.4911651611328
2014-09-11,132.19520568847656
2014-09-12,132.36973571777344
2014-09-15,133.2576446533203
2014-09-16,134.4642333984375
2014-09-17,135.68609619140625
2014-09-18,136.2703399658203
2014-09-19,137.15821838378906
2014-09-22,135.83023071289062
2014-09-23,133.81918334960938
2014-09-24,135.37489318847656
2014-09-25,134.6540069580078
2014-09-26,137.79568481445312
2014-09-29,137.62875366210938
2014-09-30,138.706298828125
2014-10-01,134.99549865722656
