,LOW
2014-01-02,40.648250579833984
2014-01-03,40.245391845703125
2014-01-06,39.6780891418457
2014-01-07,39.77674865722656
2014-01-08,39.9165153503418
2014-01-09,40.08095169067383
2014-01-10,40.845558166503906
2014-01-13,40.0069694519043
2014-01-14,40.204288482666016
2014-01-15,39.702754974365234
2014-01-16,39.6123161315918
2014-01-17,39.290470123291016
2014-01-21,39.463783264160156
2014-01-22,39.406009674072266
2014-01-23,39.73611831665039
2014-01-24,39.4720344543457
2014-01-27,39.61231231689453
2014-01-28,38.75404739379883
2014-01-29,37.937068939208984
2014-01-30,38.374427795410156
2014-01-31,38.20112228393555
2014-02-03,37.63170623779297
2014-02-04,37.05403137207031
2014-02-05,37.57393264770508
2014-02-06,38.44044876098633
2014-02-07,38.019569396972656
2014-02-10,38.06083679199219
2014-02-11,38.588993072509766
2014-02-12,38.52297592163086
2014-02-13,38.489967346191406
2014-02-14,39.01814270019531
2014-02-18,38.72929382324219
2014-02-19,38.407447814941406
2014-02-20,38.5064697265625
2014-02-21,38.83658218383789
2014-02-24,38.968624114990234
2014-02-25,39.70309829711914
2014-02-26,41.85702896118164
2014-02-27,41.93954086303711
2014-02-28,41.28757858276367
2014-03-03,41.41963195800781
2014-03-04,41.78274154663086
2014-03-05,41.55167770385742
2014-03-06,41.33710861206055
2014-03-07,41.609439849853516
2014-03-10,41.25459289550781
2014-03-11,40.81718826293945
2014-03-12,40.75117111206055
2014-03-13,40.19824981689453
2014-03-14,40.511844635009766
2014-03-17,40.83368682861328
2014-03-18,41.122535705566406
2014-03-19,40.91621780395508
2014-03-20,40.89146041870117
2014-03-21,40.64390563964844
2014-03-24,40.58612060546875
2014-03-25,39.90941619873047
2014-03-26,40.04970932006836
2014-03-27,40.0579719543457
2014-03-28,40.371559143066406
2014-03-31,40.35505294799805
2014-04-01,40.792442321777344
2014-04-02,40.86671829223633
2014-04-03,40.47882843017578
2014-04-04,39.97543716430664
2014-04-07,38.597251892089844
2014-04-08,38.564247131347656
2014-04-09,39.23270034790039
2014-04-10,38.613746643066406
2014-04-11,38.2176399230957
2014-04-14,38.489967346191406
2014-04-15,38.54774856567383
2014-04-16,38.564247131347656
2014-04-17,38.622013092041016
2014-04-21,38.67171096801758
2014-04-22,39.38418960571289
2014-04-23,38.2906379699707
2014-04-24,39.06937026977539
