,MCK
2014-01-02,147.30966186523438
2014-01-03,147.81553649902344
2014-01-06,147.40162658691406
2014-01-07,148.84568786621094
2014-01-08,156.1853485107422
2014-01-09,161.26251220703125
2014-01-10,161.3636474609375
2014-01-13,153.7295684814453
2014-01-14,154.03318786621094
2014-01-15,153.89520263671875
2014-01-16,155.0356903076172
2014-01-17,154.63099670410156
2014-01-21,155.02647399902344
2014-01-22,156.06578063964844
2014-01-23,158.5399169921875
2014-01-24,159.78163146972656
2014-01-27,159.10098266601562
2014-01-28,161.19808959960938
2014-01-29,159.37701416015625
2014-01-30,163.00999450683594
2014-01-31,160.416259765625
2014-02-03,157.27984619140625
2014-02-04,155.8450927734375
2014-02-05,155.09085083007812
2014-02-06,158.56759643554688
2014-02-07,160.9498291015625
2014-02-10,158.90792846679688
2014-02-11,161.0049591064453
2014-02-12,160.91297912597656
2014-02-13,161.57522583007812
2014-02-14,161.51083374023438
2014-02-18,163.23997497558594
2014-02-19,163.40553283691406
2014-02-20,163.33189392089844
2014-02-21,162.20057678222656
2014-02-24,162.17306518554688
2014-02-25,162.55014038085938
2014-02-26,160.75660705566406
2014-02-27,160.6552734375
2014-02-28,163.06842041015625
2014-03-03,162.14732360839844
2014-03-04,166.52227783203125
2014-03-05,167.5906982421875
2014-03-06,168.16172790527344
2014-03-07,167.99591064453125
2014-03-10,166.24594116210938
2014-03-11,167.96824645996094
2014-03-12,169.14723205566406
2014-03-13,169.14723205566406
2014-03-14,166.53143310546875
2014-03-17,167.55381774902344
2014-03-18,168.70506286621094
2014-03-19,167.54458618164062
2014-03-20,170.7130126953125
2014-03-21,166.56832885742188
2014-03-24,163.51971435546875
2014-03-25,162.5342254638672
2014-03-26,160.1118621826172
2014-03-27,159.4303741455078
2014-03-28,161.56712341308594
2014-03-31,162.6262969970703
2014-04-01,162.13816833496094
2014-04-02,161.8710479736328
2014-04-03,160.02896118164062
2014-04-04,157.3764190673828
2014-04-07,154.35543823242188
2014-04-08,155.3870086669922
2014-04-09,159.31057739257812
2014-04-10,154.2449188232422
2014-04-11,151.67529296875
2014-04-14,154.2449188232422
2014-04-15,155.01856994628906
2014-04-16,156.5751495361328
2014-04-17,157.47776794433594
2014-04-21,158.3711395263672
2014-04-22,157.4961395263672
2014-04-23,157.1553497314453
2014-04-24,156.99884033203125
2014-04-25,154.59490966796875
2014-04-28,154.22650146484375
2014-04-29,155.1659393310547
2014-04-30,155.82911682128906
2014-05-01,154.91729736328125
2014-05-02,153.8212432861328
2014-05-05,155.3870086669922
2014-05-06,153.6646728515625
2014-05-07,153.27781677246094
2014-05-08,153.55416870117188
2014-05-09,157.4961395263672
2014-05-12,160.47109985351562
2014-05-13,165.78546142578125
2014-05-14,164.12757873535156
2014-05-15,163.54733276367188
2014-05-16,164.13681030273438
2014-05-19,166.4116668701172
2014-05-20,165.6380615234375
2014-05-21,168.7971954345703
2014-05-22,169.0919189453125
2014-05-23,169.23924255371094
2014-05-27,168.88934326171875
2014-05-28,168.2906494140625
2014-05-29,173.6786651611328
2014-05-30,174.66412353515625
2014-06-02,174.8391571044922
2014-06-03,176.4970245361328
2014-06-04,174.76547241210938
2014-06-05,173.9816436767578
2014-06-06,174.04620361328125
2014-06-09,172.16488647460938
2014-06-10,171.15048217773438
2014-06-11,172.5983428955078
2014-06-12,169.01100158691406
2014-06-13,168.40231323242188
2014-06-16,168.34698486328125
2014-06-17,170.2928466796875
2014-06-18,170.83689880371094
2014-06-19,170.87380981445312
2014-06-20,171.0582733154297
2014-06-23,171.7129669189453
2014-06-24,170.0807342529297
2014-06-25,172.7735595703125
2014-06-26,173.45596313476562
2014-06-27,174.2213897705078
2014-06-30,171.72227478027344
2014-07-01,174.71939086914062
2014-07-02,174.70091247558594
2014-07-03,175.21734619140625
2014-07-07,174.85769653320312
2014-07-08,173.37294006347656
2014-07-09,174.94068908691406
2014-07-10,174.28590393066406
2014-07-11,174.26754760742188
2014-07-14,175.595458984375
2014-07-15,174.08306884765625
2014-07-16,173.76026916503906
2014-07-17,174.0277557373047
2014-07-18,176.5545654296875
2014-07-21,173.78793334960938
2014-07-22,175.95509338378906
2014-07-23,175.8444366455078
2014-07-24,178.51878356933594
2014-07-25,176.8773193359375
2014-07-28,176.5269317626953
2014-07-29,176.22265625
2014-07-30,176.3701171875
2014-07-31,176.93264770507812
2014-08-01,180.2248992919922
2014-08-04,178.60179138183594
2014-08-05,176.8865203857422
2014-08-06,175.62310791015625
2014-08-07,172.06344604492188
2014-08-08,175.06056213378906
2014-08-11,176.40696716308594
2014-08-12,173.5297088623047
2014-08-13,174.98678588867188
2014-08-14,177.1907958984375
2014-08-15,176.27780151367188
2014-08-18,177.17242431640625
2014-08-19,179.08139038085938
2014-08-20,178.52806091308594
2014-08-21,178.39891052246094
2014-08-22,177.06173706054688
2014-08-25,178.8231201171875
2014-08-26,178.69407653808594
2014-08-27,177.09866333007812
2014-08-28,178.2528076171875
2014-08-29,180.08108520507812
2014-09-02,180.339599609375
2014-09-03,180.03488159179688
2014-09-04,180.66281127929688
2014-09-05,183.1373291015625
2014-09-08,184.3284454345703
2014-09-09,181.42916870117188
2014-09-10,180.542724609375
2014-09-11,178.82528686523438
2014-09-12,177.70803833007812
2014-09-15,177.08013916015625
2014-09-16,180.3303680419922
2014-09-17,180.5519561767578
2014-09-18,180.97669982910156
2014-09-19,180.7828369140625
2014-09-22,179.416259765625
2014-09-23,179.76708984375
2014-09-24,182.16781616210938
2014-09-25,179.13926696777344
2014-09-26,179.86865234375
2014-09-29,181.4568328857422
2014-09-30,179.74867248535156
2014-10-01,177.80960083007812
2014-10-02,179.91485595703125
2014-10-03,184.30076599121094
2014-10-06,181.5491943359375
2014-10-07,178.8160858154297
2014-10-08,184.42080688476562
2014-10-09,180.81056213378906
2014-10-10,179.10226440429688
2014-10-13,175.1319122314453
2014-10-14,174.1623992919922
2014-10-15,170.83827209472656
2014-10-16,171.1153106689453
2014-10-17,176.57228088378906
2014-10-20,178.28977966308594
2014-10-21,181.8354034423828
2014-10-22,180.57965087890625
2014-10-23,183.51593017578125
2014-10-24,185.43650817871094
2014-10-27,187.16317749023438
2014-10-28,185.77810668945312
2014-10-29,183.23895263671875
2014-10-30,187.88333129882812
2014-10-31,187.8188018798828
2014-11-03,187.80026245117188
2014-11-04,187.76332092285156
2014-11-05,186.14747619628906
2014-11-06,187.12625122070312
2014-11-07,184.04222106933594
2014-11-10,185.85195922851562
2014-11-11,187.5509490966797
2014-11-12,187.56019592285156
2014-11-13,189.1206512451172
2014-11-14,189.51771545410156
2014-11-17,188.71441650390625
2014-11-18,192.04769897460938
2014-11-19,190.45953369140625
2014-11-20,189.28688049316406
2014-11-21,189.44384765625
2014-11-24,193.64508056640625
2014-11-25,192.9248809814453
2014-11-26,192.4995880126953
2014-11-28,194.8291473388672
2014-12-01,193.01734924316406
2014-12-02,194.78298950195312
2014-12-03,195.5132293701172
2014-12-04,195.80905151367188
2014-12-05,196.5578155517578
2014-12-08,196.69650268554688
2014-12-09,194.39466857910156
2014-12-10,192.388671875
2014-12-11,193.74758911132812
2014-12-12,189.80958557128906
2014-12-15,190.7987060546875
2014-12-16,186.1951446533203
2014-12-17,189.76336669921875
2014-12-18,195.94772338867188
2014-12-19,195.1619415283203
2014-12-22,195.60572814941406
2014-12-23,193.39633178710938
2014-12-24,193.9324951171875
2014-12-26,194.2652130126953
2014-12-29,194.29302978515625
2014-12-30,193.76609802246094
2014-12-31,191.8894805908203
2015-01-02,191.53822326660156
2015-01-05,193.10972595214844
2015-01-06,192.66604614257812
2015-01-07,198.51756286621094
2015-01-08,200.7823944091797
2015-01-09,200.2924041748047
2015-01-12,198.43434143066406
2015-01-13,198.4251708984375
2015-01-14,197.38975524902344
2015-01-15,195.328369140625
2015-01-16,197.80577087402344
2015-01-20,198.6284942626953
2015-01-21,198.96127319335938
2015-01-22,202.34463500976562
2015-01-23,201.2168731689453
2015-01-26,202.39083862304688
2015-01-27,201.2538299560547
2015-01-28,201.46641540527344
2015-01-29,202.9362335205078
2015-01-30,196.57623291015625
2015-02-02,198.59152221679688
2015-02-03,197.0199737548828
2015-02-04,194.9031982421875
2015-02-05,199.54364013671875
2015-02-06,205.9220733642578
2015-02-09,201.76217651367188
2015-02-10,205.63552856445312
2015-02-11,206.81878662109375
2015-02-12,207.78016662597656
2015-02-13,207.89109802246094
2015-02-17,208.9634552001953
2015-02-18,208.5843963623047
2015-02-19,208.31631469726562
2015-02-20,211.8383331298828
2015-02-23,212.448486328125
2015-02-24,212.79971313476562
2015-02-25,212.24510192871094
2015-02-26,212.337646484375
2015-02-27,211.63430786132812
2015-03-02,211.1901397705078
2015-03-03,210.69969177246094
2015-03-04,210.6812286376953
2015-03-05,212.09703063964844
2015-03-06,207.8402557373047
2015-03-09,208.53431701660156
2015-03-10,204.37013244628906
2015-03-11,205.60081481933594
2015-03-12,208.28445434570312
2015-03-13,207.8773193359375
2015-03-16,212.4116668701172
2015-03-17,211.1717071533203
2015-03-18,211.85638427734375
2015-03-19,208.90444946289062
2015-03-20,212.78182983398438
2015-03-23,213.07789611816406
2015-03-24,211.35670471191406
2015-03-25,208.69161987304688
2015-03-26,209.18206787109375
2015-03-27,209.23753356933594
2015-03-30,212.0414581298828
2015-03-31,209.3209228515625
2015-04-01,206.09130859375
2015-04-02,206.8408660888672
2015-04-06,207.6829376220703
2015-04-07,205.28622436523438
2015-04-08,205.88771057128906
2015-04-09,206.6187744140625
2015-04-10,207.59967041015625
2015-04-13,207.25726318359375
2015-04-14,209.14498901367188
2015-04-15,208.8211669921875
2015-04-16,209.6632843017578
2015-04-17,211.01429748535156
2015-04-20,212.12478637695312
2015-04-21,214.0310516357422
2015-04-22,214.01258850097656
2015-04-23,212.013671875
2015-04-24,212.09703063964844
2015-04-27,210.21853637695312
2015-04-28,211.46775817871094
2015-04-29,208.58055114746094
2015-04-30,206.7297821044922
2015-05-01,208.15493774414062
2015-05-04,209.0432586669922
2015-05-05,206.1560821533203
2015-05-06,206.26710510253906
2015-05-07,207.11849975585938
2015-05-08,211.98597717285156
2015-05-11,211.48629760742188
2015-05-12,212.42088317871094
2015-05-13,215.0397491455078
2015-05-14,221.60997009277344
2015-05-15,222.02630615234375
2015-05-18,224.63587951660156
2015-05-19,224.4971160888672
2015-05-20,223.7567901611328
2015-05-21,221.57286071777344
2015-05-22,222.65557861328125
