,MO
2014-01-02,19.450183868408203
2014-01-03,19.35780906677246
2014-01-06,19.132003784179688
2014-01-07,19.132003784179688
2014-01-08,19.05502700805664
2014-01-09,19.11660385131836
2014-01-10,19.121742248535156
2014-01-13,19.034500122070312
2014-01-14,18.978038787841797
2014-01-15,18.936988830566406
2014-01-16,19.14227294921875
2014-01-17,19.003704071044922
2014-01-21,19.178192138671875
2014-01-22,19.244901657104492
2014-01-23,19.178192138671875
2014-01-24,19.14227294921875
2014-01-27,18.90106773376465
2014-01-28,18.91132164001465
2014-01-29,18.69578742980957
2014-01-30,18.14153289794922
2014-01-31,18.074817657470703
2014-02-03,17.50516700744629
2014-02-04,17.669387817382812
2014-02-05,17.448715209960938
2014-02-06,17.813085556030273
2014-02-07,18.115875244140625
2014-02-10,18.059419631958008
2014-02-11,18.033756256103516
2014-02-12,17.925987243652344
2014-02-13,18.105607986450195
2014-02-14,18.254432678222656
2014-02-18,18.197986602783203
2014-02-19,18.044029235839844
2014-02-20,18.233905792236328
2014-02-21,18.15180206298828
2014-02-24,18.15692710876465
2014-02-25,18.254432678222656
2014-02-26,18.18771743774414
2014-02-27,18.408397674560547
2014-02-28,18.608543395996094
2014-03-03,18.70604705810547
2014-03-04,19.02423667907715
2014-03-05,18.962644577026367
2014-03-06,18.93185806274414
2014-03-07,18.890804290771484
2014-03-10,18.916465759277344
2014-03-11,18.865140914916992
2014-03-12,18.79233741760254
2014-03-13,18.703943252563477
2014-03-14,18.89633560180664
2014-03-17,18.91714096069336
2014-03-18,19.026336669921875
2014-03-19,18.729944229125977
2014-03-20,18.901540756225586
2014-03-21,18.953535079956055
2014-03-24,19.078340530395508
2014-03-25,19.192733764648438
2014-03-26,19.369525909423828
2014-03-27,19.359130859375
2014-03-28,19.301931381225586
2014-03-31,19.463125228881836
2014-04-01,19.442331314086914
2014-04-02,19.541126251220703
2014-04-03,19.546321868896484
2014-04-04,19.535924911499023
2014-04-07,19.577524185180664
2014-04-08,19.702320098876953
2014-04-09,19.832313537597656
2014-04-10,19.66592025756836
2014-04-11,19.577524185180664
2014-04-14,19.889514923095703
2014-04-15,19.868715286254883
2014-04-16,19.94671630859375
2014-04-17,19.99350929260254
2014-04-21,19.977909088134766
2014-04-22,20.092309951782227
2014-04-23,19.920713424682617
2014-04-24,19.96750831604004
2014-04-25,20.336702346801758
2014-04-28,20.76309585571289
2014-04-29,20.86189079284668
2014-04-30,20.856698989868164
2014-05-01,20.711097717285156
2014-05-02,20.783885955810547
2014-05-05,20.742290496826172
2014-05-06,20.67469596862793
2014-05-07,20.830698013305664
2014-05-08,20.856698989868164
2014-05-09,20.903493881225586
2014-05-12,20.99188804626465
2014-05-13,21.116687774658203
2014-05-14,20.971086502075195
2014-05-15,20.825490951538086
2014-05-16,21.158279418945312
2014-05-19,20.9086971282959
2014-05-20,20.815095901489258
2014-05-21,21.13228416442871
2014-05-22,21.153087615966797
2014-05-23,21.153087615966797
2014-05-27,21.19988250732422
2014-05-28,21.19988250732422
2014-05-29,21.48067283630371
2014-05-30,21.610671997070312
2014-06-02,21.449472427368164
2014-06-03,21.44428253173828
2014-06-04,21.439077377319336
2014-06-05,21.470279693603516
2014-06-06,21.52227210998535
2014-06-09,21.636672973632812
2014-06-10,22.021465301513672
2014-06-11,22.146263122558594
2014-06-12,21.70975112915039
2014-06-13,21.799158096313477
2014-06-16,21.988481521606445
2014-06-17,21.920120239257812
2014-06-18,22.27248764038086
2014-06-19,22.651132583618164
2014-06-20,22.67743492126465
2014-06-23,22.451284408569336
2014-06-24,22.27248764038086
2014-06-25,22.104185104370117
2014-06-26,22.035825729370117
2014-06-27,21.99374771118164
2014-06-30,22.056848526000977
2014-07-01,21.999006271362305
2014-07-02,22.020044326782227
2014-07-03,22.293521881103516
2014-07-07,22.414480209350586
2014-07-08,22.461809158325195
2014-07-09,22.509145736694336
2014-07-10,22.58803367614746
2014-07-11,22.840469360351562
2014-07-14,22.79838752746582
2014-07-15,21.962182998657227
2014-07-16,21.99374771118164
2014-07-17,21.867525100708008
2014-07-18,22.177814483642578
2014-07-21,22.093666076660156
2014-07-22,22.05159568786621
2014-07-23,21.9411563873291
2014-07-24,22.10944366455078
2014-07-25,21.951669692993164
2014-07-28,21.904342651367188
2014-07-29,21.84649085998535
2014-07-30,21.625600814819336
2014-07-31,21.352130889892578
2014-08-01,21.299535751342773
2014-08-04,21.42049217224121
2014-08-05,21.336345672607422
2014-08-06,21.788637161254883
2014-08-07,21.64137840270996
2014-08-08,21.89381980895996
2014-08-11,22.093666076660156
2014-08-12,22.067373275756836
2014-08-13,22.125219345092773
2014-08-14,22.22515106201172
2014-08-15,22.19359588623047
2014-08-18,22.351362228393555
2014-08-19,22.4565486907959
2014-08-20,22.330326080322266
2014-08-21,22.39344596862793
2014-08-22,22.39870262145996
2014-08-25,22.493364334106445
2014-08-26,22.540691375732422
2014-08-27,22.519657135009766
2014-08-28,22.566999435424805
2014-08-29,22.65639877319336
2014-09-02,22.71424102783203
2014-09-03,22.73002052307129
2014-09-04,22.687952041625977
2014-09-05,22.81943130493164
2014-09-08,22.87202262878418
2014-09-09,22.9561710357666
2014-09-10,23.066612243652344
2014-09-11,22.986772537231445
2014-09-12,22.97081184387207
2014-09-15,23.56158447265625
2014-09-16,23.609479904174805
2014-09-17,23.74254035949707
2014-09-18,23.811731338500977
2014-09-19,23.944786071777344
2014-09-22,24.136384963989258
2014-09-23,23.85430335998535
2014-09-24,24.322664260864258
2014-09-25,24.00864601135254
2014-09-26,24.38119888305664
2014-09-29,24.503618240356445
2014-09-30,24.45039176940918
2014-10-01,24.359920501708984
2014-10-02,24.200252532958984
2014-10-03,24.58344841003418
2014-10-06,24.753761291503906
2014-10-07,24.50893783569336
2014-10-08,24.908100128173828
2014-10-09,24.67924690246582
2014-10-10,24.86552619934082
2014-10-13,24.50893783569336
2014-10-14,24.578126907348633
2014-10-15,24.232181549072266
2014-10-16,24.040578842163086
2014-10-17,24.301372528076172
2014-10-20,24.705862045288086
2014-10-21,25.02519989013672
2014-10-22,25.046489715576172
2014-10-23,25.08374786376953
2014-10-24,25.275346755981445
2014-10-27,25.355175018310547
2014-10-28,25.296630859375
2014-10-29,25.317914962768555
2014-10-30,25.28066062927246
2014-10-31,25.727731704711914
2014-11-03,26.03643035888672
2014-11-04,26.302532196044922
2014-11-05,26.47817039489746
2014-11-06,26.37705421447754
2014-11-07,26.54203224182129
2014-11-10,26.54203224182129
2014-11-11,26.228023529052734
2014-11-12,26.2546329498291
2014-11-13,26.31850814819336
2014-11-14,25.9619140625
2014-11-17,26.105609893798828
2014-11-18,26.222707748413086
2014-11-19,26.15351676940918
2014-11-20,25.988523483276367
2014-11-21,26.206735610961914
2014-11-24,26.212055206298828
2014-11-25,26.323823928833008
2014-11-26,26.462202072143555
2014-11-28,26.749601364135742
2014-12-01,26.770893096923828
2014-12-02,26.90927505493164
2014-12-03,27.244579315185547
2014-12-04,27.111515045166016
2014-12-05,27.180709838867188
2014-12-08,27.106199264526367
2014-12-09,26.98378562927246
2014-12-10,26.605905532836914
2014-12-11,26.722997665405273
2014-12-12,26.424943923950195
2014-12-15,26.350435256958008
2014-12-16,26.2546329498291
2014-12-17,26.579294204711914
2014-12-18,27.287155151367188
2014-12-19,26.90927505493164
2014-12-22,26.99532127380371
2014-12-23,27.172771453857422
2014-12-24,27.081357955932617
2014-12-26,27.21040916442871
2014-12-29,27.011442184448242
2014-12-30,26.796342849731445
2014-12-31,26.495206832885742
2015-01-02,26.333871841430664
2015-01-05,26.183298110961914
2015-01-06,26.339250564575195
2015-01-07,26.823230743408203
2015-01-08,27.274948120117188
2015-01-09,27.21040916442871
2015-01-12,27.382495880126953
2015-01-13,27.597593307495117
2015-01-14,27.81807518005371
2015-01-15,28.216005325317383
2015-01-16,28.527917861938477
2015-01-20,28.94735336303711
2015-01-21,29.18398094177246
2015-01-22,29.393695831298828
2015-01-23,29.140954971313477
2015-01-26,29.275394439697266
2015-01-27,29.339929580688477
2015-01-28,29.044158935546875
2015-01-29,29.248504638671875
2015-01-30,28.554794311523438
2015-02-02,28.931224822998047
2015-02-03,29.17859649658203
2015-02-04,29.054916381835938
2015-02-05,28.8613224029541
2015-02-06,28.678485870361328
2015-02-09,28.587066650390625
2015-02-10,28.91510009765625
2015-02-11,29.447479248046875
2015-02-12,29.86693000793457
2015-02-13,29.447479248046875
