,NKE
2014-01-02,34.4510383605957
2014-01-03,34.35856628417969
2014-01-06,34.0943603515625
2014-01-07,34.120784759521484
2014-01-08,33.94466018676758
2014-01-09,33.94466018676758
2014-01-10,33.869808197021484
2014-01-13,33.10363006591797
2014-01-14,33.099239349365234
2014-01-15,33.21372604370117
2014-01-16,32.93190002441406
2014-01-17,32.31545639038086
2014-01-21,32.47396469116211
2014-01-22,32.363895416259766
2014-01-23,32.024837493896484
2014-01-24,31.54928970336914
2014-01-27,31.659378051757812
2014-01-28,32.01604080200195
2014-01-29,31.602130889892578
2014-01-30,32.55763244628906
2014-01-31,32.07768630981445
2014-02-03,31.21023941040039
2014-02-04,31.04731559753418
2014-02-05,31.086952209472656
2014-02-06,31.487648010253906
2014-02-07,32.00722885131836
2014-02-10,31.998416900634766
2014-02-11,32.575252532958984
2014-02-12,32.63249206542969
2014-02-13,32.96713638305664
2014-02-14,33.055206298828125
2014-02-18,33.11685562133789
2014-02-19,32.94511413574219
2014-02-20,33.279788970947266
2014-02-21,33.676063537597656
2014-02-24,34.27490234375
2014-02-25,34.39379119873047
2014-02-26,34.530303955078125
2014-02-27,34.459625244140625
2014-02-28,34.583309173583984
2014-03-03,34.181373596191406
2014-03-04,34.724647521972656
2014-03-05,34.194618225097656
2014-03-06,34.5479621887207
2014-03-07,35.09563446044922
2014-03-10,34.883636474609375
2014-03-11,34.80413055419922
2014-03-12,34.87922286987305
2014-03-13,34.68489074707031
2014-03-14,34.592132568359375
2014-03-17,34.883636474609375
2014-03-18,35.17512893676758
2014-03-19,34.958717346191406
2014-03-20,35.011722564697266
2014-03-21,33.218509674072266
2014-03-24,33.06391906738281
2014-03-25,32.529483795166016
2014-03-26,32.339569091796875
2014-03-27,32.38374710083008
2014-03-28,32.48091506958008
2014-03-31,32.62224578857422
2014-04-01,32.85634994506836
2014-04-02,32.922584533691406
2014-04-03,32.67966842651367
2014-04-04,32.17174530029297
2014-04-07,31.283971786499023
2014-04-08,32.20706558227539
2014-04-09,32.48975372314453
2014-04-10,31.999479293823242
2014-04-11,31.469478607177734
2014-04-14,31.96856689453125
2014-04-15,31.92439079284668
2014-04-16,32.28657531738281
2014-04-17,32.69733810424805
2014-04-21,32.63990783691406
2014-04-22,32.83866500854492
2014-04-23,32.72825622558594
2014-04-24,32.4146614074707
2014-04-25,32.10990524291992
2014-04-28,31.65498161315918
2014-04-29,32.01273727416992
2014-04-30,32.2203254699707
2014-05-01,32.20706558227539
2014-05-02,32.23799133300781
2014-05-05,32.37049102783203
2014-05-06,31.911134719848633
2014-05-07,31.880237579345703
2014-05-08,32.26447677612305
2014-05-09,32.441158294677734
2014-05-12,32.96233367919922
2014-05-13,32.94466781616211
2014-05-14,32.49858856201172
2014-05-15,32.21590805053711
2014-05-16,32.6575813293457
2014-05-19,32.900508880615234
2014-05-20,32.35723876953125
2014-05-21,32.77683639526367
2014-05-22,33.0727653503418
2014-05-23,33.50119400024414
2014-05-27,33.836849212646484
2014-05-28,33.68668746948242
2014-05-29,33.841758728027344
2014-05-30,34.07659149169922
2014-06-02,33.9924201965332
2014-06-03,33.474021911621094
2014-06-04,33.73099136352539
2014-06-05,33.61579895019531
2014-06-06,33.775306701660156
2014-06-09,33.970252990722656
2014-06-10,33.81074523925781
2014-06-11,33.29234313964844
2014-06-12,33.128421783447266
2014-06-13,33.06196212768555
2014-06-16,33.03093719482422
2014-06-17,33.270198822021484
2014-06-18,33.76643753051758
2014-06-19,33.513885498046875
2014-06-20,33.274635314941406
2014-06-23,33.42970657348633
2014-06-24,33.22146224975586
2014-06-25,33.88163375854492
2014-06-26,34.054439544677734
2014-06-27,34.41775894165039
2014-06-30,34.36015701293945
2014-07-01,34.55954360961914
2014-07-02,34.46649169921875
2014-07-03,34.7589225769043
2014-07-07,34.8475227355957
2014-07-08,34.4133186340332
2014-07-09,34.865264892578125
2014-07-10,34.3380012512207
2014-07-11,34.244956970214844
2014-07-14,34.537376403808594
2014-07-15,34.57283401489258
2014-07-16,34.08102798461914
2014-07-17,33.90822982788086
2014-07-18,34.34687042236328
2014-07-21,34.03671646118164
2014-07-22,34.13419723510742
2014-07-23,34.28041458129883
2014-07-24,34.82538986206055
2014-07-25,34.43547821044922
2014-07-28,34.73677062988281
2014-07-29,34.603843688964844
2014-07-30,35.27288055419922
2014-07-31,34.1740608215332
2014-08-01,34.01900100708008
2014-08-04,34.18735885620117
2014-08-05,34.08102798461914
2014-08-06,34.17850112915039
2014-08-07,33.828453063964844
2014-08-08,34.14305114746094
2014-08-11,34.14305114746094
2014-08-12,33.99684143066406
2014-08-13,34.22722625732422
2014-08-14,34.249393463134766
2014-08-15,34.1740608215332
2014-08-18,34.80323028564453
2014-08-19,34.78551483154297
2014-08-20,34.962745666503906
2014-08-21,34.97602844238281
2014-08-22,35.131107330322266
2014-08-25,35.450111389160156
2014-08-26,35.21529006958008
2014-08-27,35.321617126464844
2014-08-28,35.028316497802734
2014-08-29,34.908321380615234
2014-09-02,35.23274612426758
2014-09-03,35.028316497802734
2014-09-04,35.51716613769531
2014-09-05,36.45930862426758
2014-09-08,36.619293212890625
2014-09-09,36.370426177978516
2014-09-10,36.650394439697266
2014-09-11,36.36153793334961
2014-09-12,36.370426177978516
2014-09-15,36.26820373535156
2014-09-16,36.086002349853516
2014-09-17,36.223785400390625
2014-09-18,36.42818832397461
2014-09-19,36.357093811035156
2014-09-22,35.86824417114258
2014-09-23,35.606040954589844
2014-09-24,35.92601013183594
2014-09-25,35.44160842895508
2014-09-26,39.77458572387695
2014-09-29,39.605709075927734
2014-09-30,39.64128112792969
2014-10-01,38.97465896606445
2014-10-02,39.685707092285156
2014-10-03,40.125675201416016
2014-10-06,39.650169372558594
2014-10-07,39.13908386230469
2014-10-08,39.47684860229492
2014-10-09,38.76578140258789
2014-10-10,38.74802017211914
2014-10-13,37.94807434082031
2014-10-14,37.81475067138672
2014-10-15,37.85475540161133
2014-10-16,38.68134689331055
2014-10-17,38.74357223510742
2014-10-20,39.50794982910156
2014-10-21,40.281219482421875
2014-10-22,39.934574127197266
2014-10-23,40.16123580932617
2014-10-24,40.39677429199219
2014-10-27,40.72563934326172
2014-10-28,41.08560562133789
2014-10-29,40.863399505615234
2014-10-30,41.330047607421875
2014-10-31,41.316707611083984
2014-11-03,41.5300178527832
2014-11-04,41.75222396850586
2014-11-05,42.076622009277344
2014-11-06,42.04107666015625
2014-11-07,41.67666244506836
2014-11-10,42.20107650756836
2014-11-11,42.1655158996582
2014-11-12,42.57881546020508
2014-11-13,42.716590881347656
2014-11-14,42.4410514831543
2014-11-17,42.68992614746094
2014-11-18,42.872127532958984
2014-11-19,43.0854377746582
2014-11-20,43.24098587036133
2014-11-21,43.294307708740234
2014-11-24,43.529842376708984
2014-11-25,43.236541748046875
2014-11-26,43.463191986083984
2014-11-28,44.12534713745117
2014-12-01,43.414306640625
2014-12-02,43.569854736328125
2014-12-03,43.77428436279297
2014-12-04,44.01871109008789
2014-12-05,44.143150329589844
2014-12-08,43.42764663696289
2014-12-09,43.120994567871094
2014-12-10,43.400978088378906
2014-12-11,43.20042037963867
2014-12-12,42.861698150634766
2014-12-15,42.531883239746094
2014-12-16,41.542457580566406
2014-12-17,42.117401123046875
2014-12-18,43.267269134521484
2014-12-19,42.26892852783203
2014-12-22,42.75473403930664
2014-12-23,42.772552490234375
2014-12-24,42.91516876220703
2014-12-26,43.15584945678711
2014-12-29,43.36532974243164
2014-12-30,43.17812728881836
2014-12-31,42.8527717590332
2015-01-02,42.35361099243164
2015-01-05,41.67171096801758
2015-01-06,41.426570892333984
2015-01-07,42.282291412353516
2015-01-08,43.25835037231445
2015-01-09,42.78146743774414
2015-01-12,42.72352600097656
2015-01-13,42.344696044921875
2015-01-14,41.76530456542969
2015-01-15,41.36417770385742
2015-01-16,41.44441604614258
2015-01-20,41.720726013183594
2015-01-21,41.67616271972656
2015-01-22,42.719078063964844
2015-01-23,42.85723114013672
2015-01-26,42.94190979003906
2015-01-27,42.117401123046875
2015-01-28,41.58702850341797
2015-01-29,42.282291412353516
2015-01-30,41.11460876464844
2015-02-02,40.96752166748047
2015-02-03,41.6048583984375
2015-02-04,41.243858337402344
2015-02-05,41.60038375854492
2015-02-06,40.909584045410156
