,PH
2014-01-02,105.20136260986328
2014-01-03,105.20964050292969
2014-01-06,104.05213928222656
2014-01-07,105.52381134033203
2014-01-08,105.56515502929688
2014-01-09,104.94508361816406
2014-01-10,105.16830444335938
2014-01-13,103.86199188232422
2014-01-14,105.63130950927734
2014-01-15,106.62345886230469
2014-01-16,106.79705047607422
2014-01-17,105.35846710205078
2014-01-21,104.85411834716797
2014-01-22,101.21620178222656
2014-01-23,98.18189239501953
2014-01-24,94.7755126953125
2014-01-27,94.56880187988281
2014-01-28,95.27155303955078
2014-01-29,94.25460052490234
2014-01-30,94.70935821533203
2014-01-31,93.73369598388672
2014-02-03,90.44307708740234
2014-02-04,91.68329620361328
2014-02-05,93.11363983154297
2014-02-06,94.89054870605469
2014-02-07,98.53569793701172
2014-02-10,95.9699935913086
2014-02-11,96.74219512939453
2014-02-12,97.32342529296875
2014-02-13,96.94976806640625
2014-02-14,97.85482788085938
2014-02-18,97.87974548339844
2014-02-19,96.94149780273438
2014-02-20,97.80502319335938
2014-02-21,97.78839111328125
2014-02-24,98.51082611083984
2014-02-25,97.81334686279297
2014-02-26,98.7848129272461
2014-02-27,99.78120422363281
2014-02-28,100.09675598144531
2014-03-03,99.13359069824219
2014-03-04,100.5783462524414
2014-03-05,101.22602844238281
2014-03-06,101.67439270019531
2014-03-07,103.27690887451172
2014-03-10,102.3137435913086
2014-03-11,100.26282501220703
2014-03-12,99.05882263183594
2014-03-13,96.99128723144531
2014-03-14,96.47649383544922
2014-03-17,99.49893188476562
2014-03-18,99.5404052734375
2014-03-19,99.35775756835938
2014-03-20,99.00069427490234
2014-03-21,99.12525939941406
2014-03-24,98.7432632446289
2014-03-25,100.5783462524414
2014-03-26,98.5855712890625
2014-03-27,97.9876937866211
2014-03-28,99.00901794433594
2014-03-31,99.39925384521484
2014-04-01,101.29242706298828
2014-04-02,102.75382995605469
2014-04-03,102.34696197509766
2014-04-04,101.1346664428711
2014-04-07,99.05882263183594
2014-04-08,99.36604309082031
2014-04-09,101.74079895019531
2014-04-10,99.49058532714844
2014-04-11,98.92595672607422
2014-04-14,99.9140853881836
2014-04-15,100.69459533691406
2014-04-16,103.14405822753906
2014-04-17,104.08236694335938
2014-04-21,103.9494857788086
2014-04-22,103.7419204711914
2014-04-23,103.60072326660156
2014-04-24,103.34335327148438
2014-04-25,101.63284301757812
2014-04-28,101.90689086914062
2014-04-29,104.50580596923828
2014-04-30,105.35273742675781
2014-05-01,104.69679260253906
2014-05-02,103.85813903808594
2014-05-05,103.1855697631836
2014-05-06,102.46319580078125
2014-05-07,103.2717514038086
2014-05-08,103.55517578125
2014-05-09,103.5301513671875
2014-05-12,105.43072509765625
2014-05-13,105.06398010253906
2014-05-14,104.14703369140625
2014-05-15,102.16309356689453
2014-05-16,102.55488586425781
2014-05-19,103.20507049560547
2014-05-20,101.07948303222656
2014-05-21,102.08808135986328
2014-05-22,101.59629821777344
2014-05-23,102.61322784423828
2014-05-27,104.02198028564453
2014-05-28,103.68856811523438
2014-05-29,103.92195129394531
2014-05-30,104.38877868652344
2014-06-02,104.83055114746094
2014-06-03,104.79720306396484
2014-06-04,104.89723205566406
2014-06-05,106.18930053710938
2014-06-06,106.8644790649414
2014-06-09,107.87312316894531
2014-06-10,107.96480560302734
2014-06-11,107.447998046875
2014-06-12,105.71414947509766
2014-06-13,106.00592803955078
2014-06-16,106.01422882080078
2014-06-17,106.06424713134766
2014-06-18,106.6894302368164
2014-06-19,106.26429748535156
2014-06-20,106.46436309814453
2014-06-23,105.85584259033203
2014-06-24,104.78887176513672
2014-06-25,104.96393585205078
2014-06-26,104.73885345458984
2014-06-27,104.72218322753906
2014-06-30,104.80555725097656
2014-07-01,105.75581359863281
2014-07-02,105.23900604248047
2014-07-03,106.17259979248047
2014-07-07,104.9805908203125
2014-07-08,103.98030090332031
2014-07-09,103.76358032226562
2014-07-10,102.34649658203125
2014-07-11,102.54658508300781
2014-07-14,102.54658508300781
2014-07-15,102.93834686279297
2014-07-16,103.88028717041016
2014-07-17,101.6296157836914
2014-07-18,102.88831329345703
2014-07-21,102.5382308959961
2014-07-22,103.04670715332031
2014-07-23,102.7716064453125
2014-07-24,102.80496215820312
2014-07-25,102.47151947021484
2014-07-28,101.44621276855469
2014-07-29,98.1452865600586
2014-07-30,98.03691101074219
2014-07-31,95.819580078125
2014-08-01,95.15274047851562
2014-08-04,96.33641815185547
2014-08-05,95.87796020507812
2014-08-06,91.3182601928711
2014-08-07,91.56836700439453
2014-08-08,92.99375915527344
2014-08-11,93.16046905517578
2014-08-12,93.76065826416016
2014-08-13,94.35250091552734
2014-08-14,94.6275863647461
2014-08-15,94.01073455810547
2014-08-18,95.50284576416016
2014-08-19,96.1280288696289
2014-08-20,98.1953125
2014-08-21,97.57009887695312
2014-08-22,96.81988525390625
2014-08-25,97.54510498046875
2014-08-26,97.12657928466797
2014-08-27,97.00941467285156
2014-08-28,96.0468521118164
2014-08-29,96.67460632324219
2014-09-02,97.0931167602539
2014-09-03,96.59928894042969
2014-09-04,97.96360778808594
2014-09-05,98.80897521972656
2014-09-08,98.41557312011719
2014-09-09,99.09355926513672
2014-09-10,99.13543701171875
2014-09-11,99.0600814819336
2014-09-12,98.58300018310547
2014-09-15,98.01383209228516
2014-09-16,97.92173767089844
2014-09-17,97.60369110107422
2014-09-18,98.1477279663086
2014-09-19,97.62042236328125
2014-09-22,96.03845977783203
2014-09-23,95.15962982177734
2014-09-24,95.95477294921875
2014-09-25,94.44815826416016
2014-09-26,95.31029510498047
2014-09-29,95.4442138671875
2014-09-30,95.54466247558594
2014-10-01,93.46885681152344
2014-10-02,93.0168685913086
2014-10-03,93.93759155273438
2014-10-06,93.97108459472656
2014-10-07,91.82831573486328
2014-10-08,94.08824157714844
2014-10-09,91.67765045166016
2014-10-10,91.21730041503906
2014-10-13,86.28732299804688
2014-10-14,87.20802307128906
2014-10-15,86.17849731445312
2014-10-16,87.9697036743164
2014-10-17,87.4005355834961
2014-10-20,89.41773223876953
2014-10-21,93.1507797241211
2014-10-22,91.35120391845703
2014-10-23,97.4195327758789
