,SBAC
2014-01-02,83.73188781738281
2014-01-03,83.15424346923828
2014-01-06,83.16374969482422
2014-01-07,83.8644790649414
2014-01-08,84.31904602050781
2014-01-09,83.18266296386719
2014-01-10,83.63721466064453
2014-01-13,84.39480590820312
2014-01-14,85.7679214477539
2014-01-15,85.86259460449219
2014-01-16,85.90995788574219
2014-01-17,85.23761749267578
2014-01-21,85.84367370605469
2014-01-22,86.62020111083984
2014-01-23,87.86072540283203
2014-01-24,85.1807861328125
2014-01-27,84.8493423461914
2014-01-28,85.16182708740234
2014-01-29,85.7679214477539
2014-01-30,87.39672088623047
2014-01-31,87.83233642578125
2014-02-03,87.11260986328125
2014-02-04,86.76223754882812
2014-02-05,86.8569564819336
2014-02-06,87.12208557128906
2014-02-07,87.98384857177734
2014-02-10,88.23004913330078
2014-02-11,89.70735168457031
2014-02-12,89.17703247070312
2014-02-13,90.0956039428711
2014-02-14,91.25091552734375
2014-02-18,91.47819519042969
2014-02-19,92.5103988647461
2014-02-20,93.94982147216797
2014-02-21,92.08425903320312
2014-02-24,90.8153076171875
2014-02-25,90.28498840332031
2014-02-26,87.87020111083984
2014-02-27,89.85887908935547
2014-02-28,90.12403106689453
2014-03-03,90.13348388671875
2014-03-04,90.7300796508789
2014-03-05,90.1903076171875
2014-03-06,90.46493530273438
2014-03-07,90.03880310058594
2014-03-10,89.5463638305664
2014-03-11,89.95355987548828
2014-03-12,90.15242004394531
2014-03-13,89.83993530273438
2014-03-14,89.92514038085938
2014-03-17,89.4990005493164
2014-03-18,89.6978759765625
2014-03-19,88.76982116699219
2014-03-20,88.55203247070312
2014-03-21,87.01791381835938
2014-03-24,86.54444122314453
2014-03-25,85.73950958251953
2014-03-26,85.5785140991211
2014-03-27,88.31526947021484
2014-03-28,87.35883331298828
2014-03-31,86.1372299194336
2014-04-01,86.30769348144531
2014-04-02,85.20919799804688
2014-04-03,85.37018585205078
2014-04-04,83.46675872802734
2014-04-07,82.76599884033203
2014-04-08,83.20159912109375
2014-04-09,85.44593811035156
2014-04-10,84.3569107055664
2014-04-11,83.5425033569336
2014-04-14,83.34365844726562
2014-04-15,83.33418273925781
2014-04-16,85.1334457397461
2014-04-17,86.33611297607422
2014-04-21,87.04631805419922
2014-04-22,87.33042907714844
2014-04-23,86.1845932006836
2014-04-24,85.83419036865234
2014-04-25,85.16182708740234
2014-04-28,84.37586212158203
2014-04-29,84.93457794189453
2014-04-30,85.0008544921875
2014-05-01,85.7584228515625
2014-05-02,89.85887908935547
