,SPG
2014-01-02,84.81493377685547
2014-01-03,85.85222625732422
2014-01-06,86.43217468261719
2014-01-07,86.37084197998047
2014-01-08,86.07527923583984
2014-01-09,85.99162292480469
2014-01-10,86.828125
2014-01-13,86.5325698852539
2014-01-14,87.12925720214844
2014-01-15,87.65345001220703
2014-01-16,87.77613830566406
2014-01-17,87.39136505126953
2014-01-21,88.06053161621094
2014-01-22,87.8095932006836
2014-01-23,87.06791687011719
2014-01-24,85.42839813232422
2014-01-27,84.72573852539062
2014-01-28,84.79264831542969
2014-01-29,83.99518585205078
2014-01-30,85.29454803466797
2014-01-31,86.34852600097656
2014-02-03,84.30745697021484
2014-02-04,85.55108642578125
2014-02-05,85.841064453125
2014-02-06,86.6162109375
2014-02-07,87.53634643554688
2014-02-10,88.30033874511719
2014-02-11,88.7799301147461
2014-02-12,88.77433013916016
2014-02-13,89.21835327148438
2014-02-14,90.03900146484375
2014-02-18,90.08396911621094
2014-02-19,90.03337097167969
2014-02-20,89.88724517822266
2014-02-21,89.68485260009766
2014-02-24,89.8816146850586
2014-02-25,89.57244873046875
2014-02-26,90.52798461914062
2014-02-27,90.14578247070312
2014-02-28,90.65728759765625
2014-03-03,91.02262878417969
2014-03-04,92.38284301757812
2014-03-05,92.24235534667969
2014-03-06,91.93881225585938
2014-03-07,90.89332580566406
2014-03-10,90.43807983398438
2014-03-11,91.10131072998047
2014-03-12,91.20809173583984
2014-03-13,90.91019439697266
2014-03-14,90.53361511230469
2014-03-17,91.46104431152344
2014-03-18,91.88261413574219
2014-03-19,89.72984313964844
2014-03-20,90.1176528930664
2014-03-21,90.65168762207031
2014-03-24,90.1176528930664
2014-03-25,91.00574493408203
2014-03-26,89.65675354003906
2014-03-27,90.70785522460938
2014-03-28,92.1018295288086
2014-03-31,92.18049621582031
2014-04-01,92.69759368896484
2014-04-02,92.44468688964844
2014-04-03,92.39971923828125
2014-04-04,92.9617919921875
2014-04-07,93.91169738769531
2014-04-08,94.04098510742188
2014-04-09,94.10842895507812
2014-04-10,93.90044403076172
2014-04-11,93.51821899414062
2014-04-14,94.4737777709961
2014-04-15,95.52484893798828
2014-04-16,96.44664764404297
2014-04-17,95.47425079345703
2014-04-21,95.91268920898438
2014-04-22,95.91268920898438
2014-04-23,95.98014831542969
2014-04-24,96.18807983398438
2014-04-25,95.86773681640625
2014-04-28,96.30612182617188
2014-04-29,96.80073547363281
2014-04-30,97.35157012939453
2014-05-01,97.60453796386719
