,T
2014-01-02,11.72658920288086
2014-01-03,11.676255226135254
2014-01-06,11.729941368103027
2014-01-07,11.72658920288086
2014-01-08,11.692112922668457
2014-01-09,11.453081130981445
2014-01-10,11.480393409729004
2014-01-13,11.371126174926758
2014-01-14,11.43259048461914
2014-01-15,11.538444519042969
2014-01-16,11.596497535705566
2014-01-17,11.507712364196777
2014-01-21,11.463321685791016
2014-01-22,11.384783744812012
2014-01-23,11.541861534118652
2014-01-24,11.41209888458252
2014-01-27,11.442831039428711
2014-01-28,11.507712364196777
2014-01-29,11.37453842163086
2014-01-30,11.388198852539062
2014-01-31,11.377955436706543
2014-02-03,10.910131454467773
2014-02-04,11.0808687210083
2014-02-05,10.954522132873535
2014-02-06,10.927206039428711
2014-02-07,11.029644966125488
2014-02-10,11.0774564743042
2014-02-11,11.251608848571777
2014-02-12,11.24819278717041
2014-02-13,11.43600082397461
2014-02-14,11.319901466369629
2014-02-18,11.207216262817383
2014-02-19,11.217458724975586
2014-02-20,11.330144882202148
2014-02-21,11.200384140014648
2014-02-24,11.087696075439453
2014-02-25,10.985254287719727
2014-02-26,10.927206039428711
2014-02-27,11.005744934082031
2014-02-28,10.903304100036621
2014-03-03,10.879398345947266
2014-03-04,10.978425979614258
2014-03-05,10.971598625183105
2014-03-06,11.043307304382324
2014-03-07,11.111598014831543
2014-03-10,11.101360321044922
2014-03-11,11.005744934082031
2014-03-12,11.056973457336426
2014-03-13,11.046721458435059
2014-03-14,11.094529151916504
2014-03-17,11.231120109558105
2014-03-18,11.261855125427246
2014-03-19,11.255023002624512
2014-03-20,11.640888214111328
2014-03-21,11.712602615356445
2014-03-24,11.767234802246094
2014-03-25,11.8560209274292
2014-03-26,11.818453788757324
2014-03-27,11.937969207763672
2014-03-28,11.97553539276123
2014-03-31,11.97553539276123
2014-04-01,11.982364654541016
2014-04-02,12.077973365783691
2014-04-03,12.166760444641113
2014-04-04,12.139443397521973
2014-04-07,12.118949890136719
2014-04-08,12.254120826721191
2014-04-09,12.13252067565918
2014-04-10,12.202004432678223
2014-04-11,12.2298002243042
2014-04-14,12.285390853881836
2014-04-15,12.396574974060059
2014-04-16,12.542496681213379
2014-04-17,12.521649360656738
2014-04-21,12.528595924377441
2014-04-22,12.608508110046387
2014-04-23,12.13252067565918
2014-04-24,11.986595153808594
2014-04-25,11.983121871948242
2014-04-28,12.188109397888184
2014-04-29,12.306238174438477
2014-04-30,12.403517723083496
2014-05-01,12.361825942993164
2014-05-02,12.379199028015137
2014-05-05,12.424365997314453
2014-05-06,12.330554962158203
2014-05-07,12.424365997314453
2014-05-08,12.646723747253418
2014-05-09,12.660624504089355
2014-05-12,12.705790519714355
2014-05-13,12.577239036560059
