,TDG
2014-01-02,92.93279266357422
2014-01-03,93.71319580078125
2014-01-06,93.322998046875
2014-01-07,93.78307342529297
2014-01-08,94.80226135253906
2014-01-09,95.9728775024414
2014-01-10,95.84475708007812
2014-01-13,97.50458526611328
2014-01-14,98.83827209472656
2014-01-15,100.31755065917969
2014-01-16,100.48643493652344
2014-01-17,100.87665557861328
2014-01-21,101.22608947753906
2014-01-22,102.56561279296875
2014-01-23,101.19697570800781
2014-01-24,98.4830093383789
2014-01-27,97.24250030517578
2014-01-28,99.14110565185547
2014-01-29,97.92391204833984
2014-01-30,97.80159759521484
2014-01-31,97.27745056152344
2014-02-03,96.0951919555664
2014-02-04,100.12535858154297
2014-02-05,101.01641845703125
2014-02-06,100.30008697509766
2014-02-07,100.39325714111328
2014-02-10,101.2726821899414
2014-02-11,100.92323303222656
2014-02-12,101.9540786743164
2014-02-13,101.6687240600586
2014-02-14,102.36759185791016
2014-02-18,102.44329071044922
2014-02-19,102.83932495117188
2014-02-20,103.5615005493164
2014-02-21,103.95170593261719
2014-02-24,103.79444885253906
2014-02-25,102.7170181274414
2014-02-26,102.83350372314453
2014-02-27,103.24117279052734
2014-02-28,103.74784851074219
2014-03-03,104.23706817626953
2014-03-04,106.33370208740234
2014-03-05,105.50086212158203
2014-03-06,106.3220443725586
2014-03-07,105.19801330566406
2014-03-10,104.7437515258789
2014-03-11,104.62144470214844
2014-03-12,105.0873794555664
2014-03-13,105.4775619506836
2014-03-14,104.55738067626953
2014-03-17,105.70470428466797
2014-03-18,106.1997299194336
2014-03-19,105.58821868896484
2014-03-20,105.76294708251953
2014-03-21,106.62488555908203
2014-03-24,106.57829284667969
2014-03-25,107.86540222167969
2014-03-26,107.45189666748047
2014-03-27,107.2713394165039
2014-03-28,107.07916259765625
2014-03-31,107.85956573486328
2014-04-01,108.71568298339844
2014-04-02,108.10417175292969
2014-04-03,107.70231628417969
2014-04-04,105.23296356201172
2014-04-07,103.70126342773438
2014-04-08,102.6121826171875
2014-04-09,104.22543334960938
2014-04-10,101.96572875976562
2014-04-11,100.94654846191406
2014-04-14,101.0921401977539
2014-04-15,102.68206787109375
2014-04-16,103.677978515625
2014-04-17,105.41351318359375
2014-04-21,105.59405517578125
2014-04-22,105.6581039428711
2014-04-23,105.38438415527344
2014-04-24,104.63892364501953
2014-04-25,102.11133575439453
2014-04-28,101.60464477539062
2014-04-29,101.76188659667969
2014-04-30,103.59062194824219
2014-05-01,104.12641143798828
2014-05-02,104.54573822021484
2014-05-05,106.70641326904297
2014-05-06,104.03905487060547
2014-05-07,104.22543334960938
2014-05-08,105.58238983154297
2014-05-09,104.83110809326172
2014-05-12,104.49331665039062
2014-05-13,107.0034408569336
2014-05-14,107.74309539794922
2014-05-15,106.92774200439453
2014-05-16,106.95684051513672
2014-05-19,108.69820404052734
2014-05-20,106.3220443725586
2014-05-21,107.78968048095703
2014-05-22,109.21653747558594
2014-05-23,108.52350616455078
2014-05-27,109.10591125488281
2014-05-28,109.50773620605469
2014-05-29,109.6533432006836
2014-05-30,109.9037857055664
2014-06-02,110.5968246459961
2014-06-03,111.26075744628906
2014-06-04,111.33064270019531
2014-06-05,111.2199935913086
2014-06-06,113.90482330322266
2014-06-09,114.7318344116211
2014-06-10,113.81163787841797
2014-06-11,113.70681762695312
2014-06-12,112.01029205322266
2014-06-13,112.74501037597656
2014-06-16,113.55987548828125
2014-06-17,113.00550079345703
2014-06-18,114.39478302001953
2014-06-19,113.93389892578125
2014-06-20,115.16287994384766
2014-06-23,113.70681762695312
2014-06-24,112.08377075195312
2014-06-25,112.02365112304688
2014-06-26,112.0436782836914
2014-06-27,111.78987884521484
2014-06-30,111.71639251708984
2014-07-01,112.45780181884766
2014-07-02,112.49120330810547
2014-07-03,112.34426879882812
2014-07-07,111.89674377441406
2014-07-08,110.42731475830078
2014-07-09,110.90154266357422
2014-07-10,110.61434173583984
2014-07-11,111.9301528930664
2014-07-14,113.36616516113281
2014-07-15,112.92536926269531
2014-07-16,112.6581802368164
2014-07-17,111.41584014892578
2014-07-18,113.23258972167969
2014-07-21,114.8155746459961
2014-07-22,116.21153259277344
2014-07-23,114.748779296875
2014-07-24,114.02074432373047
2014-07-25,113.68010711669922
2014-07-28,114.31462097167969
2014-07-29,113.54651641845703
2014-07-30,114.11426544189453
2014-07-31,112.15724182128906
2014-08-01,113.31272888183594
2014-08-04,113.49974822998047
2014-08-05,116.95958709716797
2014-08-06,115.21630859375
2014-08-07,116.23155212402344
2014-08-08,115.85753631591797
2014-08-11,116.45195770263672
2014-08-12,116.02450561523438
2014-08-13,118.04830169677734
2014-08-14,118.43571472167969
2014-08-15,119.21047973632812
2014-08-18,120.3392562866211
2014-08-19,120.49287414550781
2014-08-20,122.59683227539062
2014-08-21,123.51187896728516
2014-08-22,123.52525329589844
2014-08-25,125.95648193359375
2014-08-26,125.50898742675781
2014-08-27,125.6893081665039
2014-08-28,125.54905700683594
2014-08-29,125.56241607666016
2014-09-02,125.66928100585938
2014-09-03,126.01660919189453
2014-09-04,125.45555877685547
2014-09-05,125.94979858398438
2014-09-08,125.44217681884766
2014-09-09,125.46220397949219
2014-09-10,125.68262481689453
2014-09-11,125.90972900390625
2014-09-12,126.51752471923828
2014-09-15,126.89823913574219
2014-09-16,127.01847839355469
2014-09-17,126.70454406738281
2014-09-18,126.89823913574219
2014-09-19,125.70267486572266
2014-09-22,124.94121551513672
2014-09-23,123.5653305053711
2014-09-24,123.23136138916016
2014-09-25,121.97567749023438
2014-09-26,123.57200622558594
2014-09-29,123.49183654785156
2014-09-30,123.11781311035156
2014-10-01,121.81536865234375
2014-10-02,121.1741714477539
2014-10-03,123.72562408447266
2014-10-06,122.77050018310547
2014-10-07,121.21424102783203
2014-10-08,122.85063934326172
2014-10-09,119.87840270996094
2014-10-10,117.88798522949219
2014-10-13,116.017822265625
2014-10-14,115.30314636230469
2014-10-15,114.76214599609375
2014-10-16,115.50352478027344
2014-10-17,116.78594207763672
2014-10-20,116.85941314697266
2014-10-21,119.1971206665039
2014-10-22,118.37557220458984
2014-10-23,121.0472640991211
2014-10-24,122.12261199951172
2014-10-27,121.9957046508789
2014-10-28,123.2847900390625
2014-10-29,123.11113739013672
2014-10-30,123.8926010131836
2014-10-31,124.92120361328125
2014-11-03,124.09965515136719
2014-11-04,124.19984436035156
2014-11-05,124.9011459350586
2014-11-06,125.40877532958984
2014-11-07,125.12157440185547
2014-11-10,125.6559066772461
2014-11-11,124.85441589355469
2014-11-12,124.46033477783203
2014-11-13,128.10049438476562
2014-11-14,128.5413360595703
2014-11-17,128.461181640625
2014-11-18,128.43446350097656
2014-11-19,128.21405029296875
2014-11-20,128.32760620117188
2014-11-21,128.75506591796875
2014-11-24,130.13766479492188
2014-11-25,129.28271484375
2014-11-26,129.45635986328125
2014-11-28,132.1080322265625
2014-12-01,131.259765625
2014-12-02,129.970703125
2014-12-03,130.47830200195312
2014-12-04,130.99258422851562
2014-12-05,130.8990936279297
2014-12-08,129.36285400390625
2014-12-09,130.25120544433594
2014-12-10,128.66156005859375
2014-12-11,129.00218200683594
2014-12-12,128.2808380126953
2014-12-15,128.86195373535156
2014-12-16,127.73983001708984
2014-12-17,130.03746032714844
2014-12-18,131.1328887939453
2014-12-19,132.11471557617188
2014-12-22,132.0211944580078
2014-12-23,132.4219512939453
2014-12-24,133.99156188964844
2014-12-26,133.6509246826172
2014-12-29,132.6156463623047
2014-12-30,131.94772338867188
2014-12-31,131.146240234375
2015-01-02,132.08132934570312
2015-01-05,131.2130126953125
2015-01-06,131.54698181152344
2015-01-07,133.2902374267578
2015-01-08,135.52110290527344
2015-01-09,134.46580505371094
2015-01-12,134.41903686523438
2015-01-13,136.27584838867188
2015-01-14,136.33595275878906
2015-01-15,136.0821533203125
2015-01-16,136.25582885742188
2015-01-20,136.08883666992188
2015-01-21,136.92373657226562
2015-01-22,137.61837768554688
2015-01-23,139.1946563720703
2015-01-26,139.3082275390625
2015-01-27,136.02203369140625
2015-01-28,135.58787536621094
2015-01-29,137.72523498535156
2015-01-30,137.27772521972656
2015-02-02,138.23287963867188
2015-02-03,138.79391479492188
2015-02-04,140.0496063232422
2015-02-05,140.94461059570312
2015-02-06,141.67263793945312
2015-02-09,138.8406524658203
2015-02-10,138.86070251464844
2015-02-11,138.17274475097656
2015-02-12,138.03248596191406
2015-02-13,139.34161376953125
2015-02-17,139.04771423339844
2015-02-18,139.67556762695312
2015-02-19,141.5858154296875
2015-02-20,142.7546844482422
2015-02-23,148.8260955810547
2015-02-24,150.4624786376953
2015-02-25,149.24020385742188
2015-02-26,147.99786376953125
2015-02-27,144.8452606201172
2015-03-02,145.68017578125
2015-03-03,145.42637634277344
2015-03-04,143.82334899902344
2015-03-05,143.8300323486328
2015-03-06,142.34725952148438
2015-03-09,143.43594360351562
2015-03-10,142.26710510253906
2015-03-11,143.04190063476562
2015-03-12,144.45787048339844
2015-03-13,143.48272705078125
2015-03-16,145.03228759765625
2015-03-17,144.59812927246094
2015-03-18,144.56475830078125
2015-03-19,143.46266174316406
2015-03-20,144.1038818359375
2015-03-23,144.13058471679688
2015-03-24,143.70314025878906
2015-03-25,142.93502807617188
2015-03-26,143.72315979003906
2015-03-27,145.51986694335938
2015-03-30,146.82901000976562
2015-03-31,146.08761596679688
2015-04-01,146.08761596679688
2015-04-02,147.10952758789062
2015-04-06,146.76890563964844
2015-04-07,147.49691772460938
2015-04-08,147.34999084472656
2015-04-09,148.24497985839844
2015-04-10,149.07989501953125
2015-04-13,148.8260955810547
2015-04-14,148.478759765625
2015-04-15,148.49880981445312
2015-04-16,148.3318328857422
2015-04-17,146.5284423828125
2015-04-20,148.59898376464844
2015-04-21,149.34707641601562
2015-04-22,148.1514892578125
2015-04-23,148.22496032714844
2015-04-24,148.96633911132812
2015-04-27,146.30133056640625
2015-04-28,145.51986694335938
2015-04-29,142.33389282226562
2015-04-30,141.68600463867188
2015-05-01,146.1677703857422
2015-05-04,147.1295623779297
2015-05-05,143.55618286132812
2015-05-06,147.02268981933594
2015-05-07,148.32513427734375
2015-05-08,148.1848907470703
2015-05-11,148.57896423339844
2015-05-12,149.2468719482422
2015-05-13,149.96823120117188
2015-05-14,153.10076904296875
2015-05-15,151.98536682128906
2015-05-18,151.44435119628906
2015-05-19,152.8469696044922
2015-05-20,152.41281127929688
2015-05-21,152.89370727539062
2015-05-22,151.69813537597656
2015-05-26,151.5445098876953
2015-05-27,152.94715881347656
2015-05-28,151.94528198242188
2015-05-29,150.97679138183594
2015-06-01,152.45289611816406
2015-06-02,151.2239227294922
2015-06-03,151.82504272460938
2015-06-04,150.4023895263672
2015-06-05,151.0302276611328
2015-06-08,150.31553649902344
2015-06-09,150.829833984375
2015-06-10,151.28402709960938
2015-06-11,152.17906188964844
2015-06-12,150.6962432861328
2015-06-15,150.36898803710938
2015-06-16,150.93002319335938
2015-06-17,151.93191528320312
2015-06-18,152.81356811523438
2015-06-19,154.34979248046875
2015-06-22,154.34979248046875
2015-06-23,153.5015411376953
2015-06-24,152.03208923339844
2015-06-25,152.61318969726562
2015-06-26,153.0673828125
2015-06-29,150.53598022460938
2015-06-30,150.0617218017578
2015-07-01,151.95863342285156
2015-07-02,152.13897705078125
2015-07-06,151.83840942382812
2015-07-07,152.03208923339844
2015-07-08,148.49880981445312
2015-07-09,149.373779296875
2015-07-10,149.29364013671875
2015-07-13,150.45582580566406
2015-07-14,154.75721740722656
2015-07-15,152.6799774169922
2015-07-16,154.3430938720703
2015-07-17,156.02626037597656
2015-07-20,156.48045349121094
2015-07-21,153.10076904296875
2015-07-22,151.18385314941406
2015-07-23,150.80311584472656
2015-07-24,150.0216522216797
2015-07-27,144.8920440673828
2015-07-28,144.97885131835938
2015-07-29,147.6238250732422
2015-07-30,146.78224182128906
2015-07-31,151.15045166015625
2015-08-03,153.1742401123047
2015-08-04,152.51968383789062
2015-08-05,159.39259338378906
2015-08-06,159.0853271484375
2015-08-07,156.90126037597656
2015-08-10,158.29721069335938
2015-08-11,158.6979522705078
2015-08-12,156.52720642089844
2015-08-13,159.64639282226562
2015-08-14,162.35813903808594
2015-08-17,163.20640563964844
2015-08-18,162.01083374023438
2015-08-19,161.20933532714844
2015-08-20,155.4852294921875
2015-08-21,152.11892700195312
2015-08-24,147.9844970703125
2015-08-25,147.60379028320312
2015-08-26,151.93858337402344
2015-08-27,157.43560791015625
2015-08-28,158.29721069335938
2015-08-31,153.50820922851562
2015-09-01,148.62571716308594
2015-09-02,153.36793518066406
2015-09-03,153.27442932128906
2015-09-04,151.21055603027344
2015-09-08,154.91082763671875
2015-09-09,152.359375
2015-09-10,151.6179962158203
2015-09-11,152.85365295410156
2015-09-14,152.63990783691406
2015-09-15,153.24102783203125
2015-09-16,153.7353057861328
2015-09-17,155.28488159179688
2015-09-18,154.2095184326172
2015-09-21,154.08262634277344
2015-09-22,152.19906616210938
2015-09-23,151.15045166015625
2015-09-24,150.0884552001953
2015-09-25,149.5541229248047
2015-09-28,146.1677703857422
2015-09-29,141.7461395263672
2015-09-30,141.87301635742188
2015-10-01,144.0170440673828
2015-10-02,145.35289001464844
2015-10-05,146.14772033691406
2015-10-06,142.43408203125
2015-10-07,144.1105499267578
2015-10-08,146.68873596191406
2015-10-09,147.14959716796875
2015-10-12,148.0913543701172
2015-10-13,146.6553497314453
2015-10-14,141.44557189941406
2015-10-15,143.6430206298828
2015-10-16,144.43785095214844
2015-10-19,144.71836853027344
2015-10-20,144.15733337402344
2015-10-21,144.49794006347656
2015-10-22,146.2545928955078
2015-10-23,145.35289001464844
2015-10-26,145.06570434570312
2015-10-27,144.9187469482422
2015-10-28,145.326171875
2015-10-29,148.75929260253906
2015-10-30,146.84237670898438
2015-11-02,151.79833984375
2015-11-03,150.2821502685547
2015-11-04,152.31930541992188
2015-11-05,151.89183044433594
2015-11-06,151.17715454101562
2015-11-09,148.92626953125
2015-11-10,149.16004943847656
2015-11-11,146.19447326660156
2015-11-12,153.2877960205078
2015-11-13,153.43470764160156
2015-11-16,154.44998168945312
2015-11-17,154.49005126953125
2015-11-18,155.2180938720703
2015-11-19,157.56248474121094
2015-11-20,157.79624938964844
2015-11-23,157.7361602783203
2015-11-24,157.5424346923828
2015-11-25,157.85635375976562
2015-11-27,158.4374542236328
2015-11-30,156.71421813964844
2015-12-01,159.112060546875
2015-12-02,157.89642333984375
2015-12-03,156.55392456054688
2015-12-04,158.97178649902344
2015-12-07,158.3907012939453
2015-12-08,155.4050750732422
2015-12-09,153.78204345703125
2015-12-10,154.10267639160156
2015-12-11,149.18675231933594
2015-12-14,145.66014099121094
2015-12-15,145.39295959472656
2015-12-16,147.83755493164062
2015-12-17,146.72882080078125
