,WM
2014-01-02,34.97743606567383
2014-01-03,34.96951675415039
2014-01-06,34.62924575805664
2014-01-07,34.88248062133789
2014-01-08,34.811248779296875
2014-01-09,34.60548782348633
2014-01-10,34.51054000854492
2014-01-13,34.05155563354492
2014-01-14,34.265220642089844
2014-01-15,34.17818069458008
2014-01-16,33.91703414916992
2014-01-17,34.12278747558594
2014-01-21,33.95659637451172
2014-01-22,33.829986572265625
2014-01-23,33.48179626464844
2014-01-24,32.951595306396484
2014-01-27,32.87245178222656
2014-01-28,32.79331588745117
2014-01-29,32.500518798828125
2014-01-30,33.07029724121094
2014-01-31,33.06238555908203
2014-02-03,32.445125579833984
2014-02-04,32.67461013793945
2014-02-05,32.840797424316406
2014-02-06,33.291873931884766
2014-02-07,33.901206970214844
2014-02-10,33.742942810058594
2014-02-11,33.90911865234375
2014-02-12,33.932857513427734
2014-02-13,34.28896713256836
2014-02-14,34.55802536010742
2014-02-18,33.014896392822266
2014-02-19,32.595481872558594
2014-02-20,32.42930221557617
2014-02-21,32.437225341796875
2014-02-24,32.492618560791016
2014-02-25,32.25520706176758
2014-02-26,32.32642364501953
2014-02-27,32.11277770996094
2014-02-28,32.840797424316406
2014-03-03,32.66669464111328
2014-03-04,32.7379150390625
2014-03-05,32.71419143676758
2014-03-06,32.901851654052734
2014-03-07,33.04560089111328
2014-03-10,33.021636962890625
2014-03-11,32.94976043701172
2014-03-12,32.414710998535156
2014-03-13,32.27096939086914
2014-03-14,32.590415954589844
2014-03-17,32.79004669189453
2014-03-18,32.989688873291016
2014-03-19,32.885887145996094
2014-03-20,32.79804229736328
2014-03-21,32.526527404785156
2014-03-24,32.35082244873047
2014-03-25,32.43069076538086
2014-03-26,32.35882568359375
2014-03-27,32.66228485107422
2014-03-28,32.86193084716797
2014-03-31,33.596641540527344
2014-04-01,33.48482894897461
2014-04-02,33.30913543701172
2014-04-03,33.41295623779297
2014-04-04,33.40498352050781
2014-04-07,33.22128677368164
2014-04-08,33.54073715209961
2014-04-09,33.51676559448242
2014-04-10,33.04560089111328
2014-04-11,32.79004669189453
2014-04-14,33.06156921386719
2014-04-15,33.06156921386719
2014-04-16,33.66850280761719
2014-04-17,33.5646858215332
2014-04-21,33.42892074584961
2014-04-22,33.5087890625
2014-04-23,33.532737731933594
2014-04-24,34.21154022216797
2014-04-25,34.37126541137695
2014-04-28,34.98617172241211
2014-04-29,35.06602478027344
2014-04-30,35.49728012084961
2014-05-01,35.40143966674805
