,WY
2014-01-02,20.373348236083984
2014-01-03,20.418949127197266
2014-01-06,20.210458755493164
2014-01-07,20.269100189208984
2014-01-08,20.080156326293945
2014-01-09,20.197431564331055
2014-01-10,20.236513137817383
2014-01-13,19.923789978027344
2014-01-14,20.158342361450195
2014-01-15,20.23000144958496
2014-01-16,20.308191299438477
2014-01-17,20.17788314819336
2014-01-21,20.295162200927734
2014-01-22,20.269100189208984
2014-01-23,19.910755157470703
2014-01-24,19.669692993164062
2014-01-27,19.760900497436523
2014-01-28,20.021516799926758
2014-01-29,19.897724151611328
2014-01-30,20.04758071899414
2014-01-31,19.46772003173828
2014-02-03,19.14846420288086
2014-02-04,19.161495208740234
2014-02-05,18.939979553222656
2014-02-06,19.226652145385742
2014-02-07,19.46772003173828
2014-02-10,19.552412033081055
2014-02-11,19.669692993164062
2014-02-12,19.72832489013672
2014-02-13,19.79999351501465
2014-02-14,19.83909034729004
2014-02-18,19.87818145751953
2014-02-19,19.77393913269043
2014-02-20,19.83909034729004
2014-02-21,19.663183212280273
2014-02-24,19.682722091674805
2014-02-25,19.493783950805664
2014-02-26,19.592235565185547
2014-02-27,19.369075775146484
2014-02-28,19.369075775146484
2014-03-03,19.21811294555664
2014-03-04,19.441272735595703
2014-03-05,19.572546005249023
2014-03-06,19.79570198059082
2014-03-07,19.55284309387207
2014-03-10,19.474090576171875
2014-03-11,19.42814064025879
2014-03-12,19.42814064025879
2014-03-13,19.54628562927246
2014-03-14,19.598796844482422
2014-03-17,19.250925064086914
2014-03-18,19.434709548950195
2014-03-19,19.14590835571289
2014-03-20,19.21811294555664
2014-03-21,19.224668502807617
2014-03-24,19.185293197631836
2014-03-25,19.198421478271484
2014-03-26,18.962127685546875
2014-03-27,18.92931365966797
2014-03-28,19.1524715423584
2014-03-31,19.264057159423828
2014-04-01,19.55284309387207
2014-04-02,19.342815399169922
2014-04-03,19.52659797668457
2014-04-04,19.42814064025879
2014-04-07,19.040897369384766
2014-04-08,18.738967895507812
2014-04-09,18.81773567199707
2014-04-10,18.5026798248291
2014-04-11,18.19419288635254
2014-04-14,18.305770874023438
2014-04-15,18.22044563293457
2014-04-16,18.31233787536621
2014-04-17,18.29265022277832
2014-04-21,18.50924301147461
2014-04-22,18.6733341217041
2014-04-23,18.771787643432617
2014-04-24,18.863676071166992
2014-04-25,19.375635147094727
2014-04-28,19.56597900390625
2014-04-29,19.638172149658203
2014-04-30,19.592235565185547
2014-05-01,19.644739151000977
2014-05-02,19.651308059692383
2014-05-05,19.86134147644043
2014-05-06,19.86134147644043
2014-05-07,20.11258316040039
2014-05-08,19.94729232788086
2014-05-09,20.033245086669922
2014-05-12,20.053075790405273
2014-05-13,20.020015716552734
2014-05-14,20.152246475219727
2014-05-15,19.881175994873047
2014-05-16,20.039859771728516
2014-05-19,19.973735809326172
2014-05-20,19.762165069580078
2014-05-21,20.000185012817383
