,WYNN
2014-01-02,166.44503784179688
2014-01-03,164.81375122070312
2014-01-06,164.69598388671875
2014-01-07,169.44703674316406
2014-01-08,172.62554931640625
2014-01-09,172.1883087158203
2014-01-10,173.9457244873047
2014-01-13,171.09512329101562
2014-01-14,174.5680389404297
2014-01-15,176.6702117919922
2014-01-16,176.66183471679688
2014-01-17,181.3791961669922
2014-01-21,178.49496459960938
2014-01-22,175.5686798095703
2014-01-23,172.600341796875
2014-01-24,162.4087677001953
2014-01-27,161.30728149414062
2014-01-28,165.78073120117188
2014-01-29,163.02267456054688
2014-01-30,169.44703674316406
2014-01-31,182.82550048828125
2014-02-03,176.1404571533203
2014-02-04,179.57125854492188
2014-02-05,176.20777893066406
2014-02-06,182.22012329101562
2014-02-07,186.6347198486328
2014-02-10,186.9879150390625
2014-02-11,189.6685791015625
2014-02-12,186.9879150390625
2014-02-13,187.12318420410156
2014-02-14,188.0195770263672
2014-02-18,189.50791931152344
2014-02-19,186.81883239746094
2014-02-20,189.0005340576172
2014-02-21,193.10189819335938
2014-02-24,199.22433471679688
2014-02-25,198.85226440429688
2014-02-26,200.3236846923828
2014-02-27,204.61102294921875
2014-02-28,205.05926513671875
2014-03-03,205.38905334472656
2014-03-04,209.6764373779297
2014-03-05,209.51576232910156
2014-03-06,209.574951171875
2014-03-07,208.57711791992188
2014-03-10,203.4356231689453
2014-03-11,203.06353759765625
2014-03-12,202.5645751953125
2014-03-13,196.3829803466797
2014-03-14,194.20118713378906
2014-03-17,197.27088928222656
2014-03-18,198.15036010742188
2014-03-19,193.66001892089844
2014-03-20,193.30484008789062
2014-03-21,191.28375244140625
2014-03-24,189.6685791015625
2014-03-25,185.61795043945312
2014-03-26,181.70266723632812
2014-03-27,180.76400756835938
2014-03-28,183.9351806640625
2014-03-31,187.8589324951172
2014-04-01,192.1124725341797
2014-04-02,192.3492889404297
2014-04-03,188.00265502929688
2014-04-04,180.66249084472656
2014-04-07,178.18484497070312
2014-04-08,180.01138305664062
2014-04-09,186.2944793701172
2014-04-10,178.29473876953125
2014-04-11,178.70907592773438
2014-04-14,177.92262268066406
2014-04-15,171.51271057128906
2014-04-16,173.356201171875
2014-04-17,175.89315795898438
2014-04-21,172.88262939453125
2014-04-22,182.734375
2014-04-23,174.89523315429688
2014-04-24,180.2312469482422
2014-04-25,170.38804626464844
2014-04-28,163.74972534179688
2014-04-29,172.18072509765625
2014-04-30,172.41754150390625
2014-05-01,174.734619140625
2014-05-02,187.4614715576172
2014-05-05,183.2078857421875
2014-05-06,175.51258850097656
2014-05-07,173.30545043945312
2014-05-08,166.1259765625
2014-05-09,169.5423583984375
2014-05-12,172.23992919921875
2014-05-13,175.2775421142578
2014-05-14,171.21041870117188
2014-05-15,171.63583374023438
2014-05-16,171.67840576171875
2014-05-19,173.20144653320312
2014-05-20,170.34254455566406
2014-05-21,174.29904174804688
2014-05-22,177.2770233154297
2014-05-23,176.86013793945312
2014-05-27,183.48831176757812
2014-05-28,185.49639892578125
2014-05-29,187.1810760498047
2014-05-30,182.9097442626953
2014-06-02,185.50486755371094
2014-06-03,177.17495727539062
2014-06-04,178.8596954345703
2014-06-05,175.14990234375
2014-06-06,174.40963745117188
2014-06-09,169.36404418945312
2014-06-10,168.36000061035156
2014-06-11,171.09130859375
2014-06-12,167.7984619140625
2014-06-13,171.07423400878906
2014-06-16,169.42359924316406
2014-06-17,168.00270080566406
2014-06-18,169.66183471679688
2014-06-19,172.39309692382812
2014-06-20,170.84451293945312
2014-06-23,171.15933227539062
2014-06-24,171.56776428222656
2014-06-25,173.23553466796875
2014-06-26,177.01333618164062
2014-06-27,176.03482055664062
2014-06-30,176.60484313964844
2014-07-01,178.80007934570312
2014-07-02,180.06788635253906
2014-07-03,180.30613708496094
2014-07-07,177.4727783203125
2014-07-08,172.02723693847656
2014-07-09,175.3285369873047
2014-07-10,172.88662719726562
2014-07-11,172.4951934814453
2014-07-14,172.65689086914062
2014-07-15,172.30799865722656
2014-07-16,173.45668029785156
2014-07-17,169.48316955566406
2014-07-18,171.023193359375
2014-07-21,172.30799865722656
2014-07-22,176.37513732910156
2014-07-23,175.49026489257812
2014-07-24,174.4522247314453
2014-07-25,173.9757080078125
2014-07-28,179.5063018798828
2014-07-29,184.98580932617188
2014-07-30,186.0069122314453
2014-07-31,181.40371704101562
2014-08-01,178.71502685546875
2014-08-04,181.65899658203125
2014-08-05,177.9066619873047
2014-08-06,170.63182067871094
2014-08-07,166.07118225097656
2014-08-08,171.88580322265625
2014-08-11,171.47474670410156
2014-08-12,171.44049072265625
2014-08-13,172.416748046875
2014-08-14,173.17881774902344
2014-08-15,172.40818786621094
2014-08-18,173.75257873535156
2014-08-19,174.14654541015625
2014-08-20,173.4357452392578
2014-08-21,171.70590209960938
2014-08-22,171.37200927734375
2014-08-25,171.6631317138672
2014-08-26,170.65267944335938
2014-08-27,168.0150909423828
2014-08-28,168.52032470703125
2014-08-29,165.17201232910156
2014-09-02,158.4668426513672
2014-09-03,158.6295623779297
2014-09-04,158.22706604003906
2014-09-05,158.98919677734375
2014-09-08,158.17567443847656
2014-09-09,157.79031372070312
2014-09-10,156.0947723388672
2014-09-11,159.3660430908203
2014-09-12,156.30885314941406
2014-09-15,154.75885009765625
2014-09-16,154.0309600830078
2014-09-17,156.79702758789062
2014-09-18,160.84750366210938
2014-09-19,158.663818359375
2014-09-22,155.23841857910156
2014-09-23,156.5657501220703
2014-09-24,159.2375946044922
2014-09-25,155.8207244873047
2014-09-26,157.99581909179688
2014-09-29,153.2774200439453
2014-09-30,160.20526123046875
2014-10-01,156.1118621826172
2014-10-02,155.64947509765625
2014-10-03,156.0947723388672
2014-10-06,157.38784790039062
2014-10-07,154.38206481933594
2014-10-08,156.95968627929688
2014-10-09,152.4895477294922
2014-10-10,151.32496643066406
2014-10-13,148.52467346191406
2014-10-14,148.86717224121094
2014-10-15,149.26968383789062
2014-10-16,155.91490173339844
2014-10-17,156.24032592773438
2014-10-20,155.56382751464844
2014-10-21,158.07290649414062
2014-10-22,156.2146759033203
2014-10-23,157.13095092773438
2014-10-24,158.18426513671875
2014-10-27,157.28509521484375
2014-10-28,158.63809204101562
2014-10-29,159.2204132080078
2014-10-30,160.69332885742188
2014-10-31,162.71432495117188
2014-11-03,162.28614807128906
2014-11-04,158.64669799804688
2014-11-05,153.91964721679688
2014-11-06,153.03761291503906
2014-11-07,153.88006591796875
2014-11-10,154.49664306640625
2014-11-11,156.63316345214844
2014-11-12,156.58111572265625
2014-11-13,158.6133575439453
2014-11-14,159.7945098876953
2014-11-17,158.6133575439453
2014-11-18,158.1356964111328
2014-11-19,156.3466033935547
2014-11-20,154.46194458007812
2014-11-21,156.01657104492188
2014-11-24,156.5203094482422
2014-11-25,154.60092163085938
2014-11-26,153.77581787109375
2014-11-28,155.1219940185547
2014-12-01,151.55247497558594
2014-12-02,151.33534240722656
2014-12-03,147.2707977294922
2014-12-04,141.49530029296875
2014-12-05,142.34646606445312
2014-12-08,136.86622619628906
2014-12-09,136.03245544433594
2014-12-10,127.45172882080078
2014-12-11,129.30165100097656
2014-12-12,128.08572387695312
2014-12-15,126.07080078125
2014-12-16,122.04098510742188
2014-12-17,120.69483184814453
2014-12-18,126.01869201660156
2014-12-19,130.36985778808594
2014-12-22,128.08572387695312
2014-12-23,131.7421112060547
2014-12-24,131.05593872070312
2014-12-26,130.59568786621094
2014-12-29,132.87982177734375
2014-12-30,131.31655883789062
2014-12-31,129.19741821289062
2015-01-02,127.57333374023438
2015-01-05,125.40213012695312
2015-01-06,122.72712707519531
2015-01-07,126.33136749267578
2015-01-08,127.85122680664062
2015-01-09,129.4492950439453
2015-01-12,128.9368438720703
2015-01-13,130.10935974121094
2015-01-14,129.05845642089844
2015-01-15,128.23336791992188
2015-01-16,127.66016387939453
2015-01-20,123.35240936279297
2015-01-21,124.099365234375
2015-01-22,127.8686294555664
